BABA.K,BABA
TSM,TSM
V,V
WMT,WMT
JNJ,JNJ
PG,PG
UNH,UNH
JPM,JPM
MA,MA
HD,HD
BRKb,BRK.B
VZ,VZ
CRM,CRM
DIS,DIS
BAC,BAC
KO,KO
BRKa,BRK.A
TMO,TMO
NKE,NKE
MRK,MRK
PFE,PFE
ABT,ABT
T,T
NVS,NVS
TM,TM
DHR,DHR
ORCL.K,ORCL
ABBV.K,ABBV
MCD,MCD
ACN,ACN
NEE,NEE
BMY,BMY
UPS,UPS
XOM,XOM
MDT,MDT
LLY,LLY
CVX,CVX
SAP,SAP
CHL,CHL
LIN,LIN
UNP,UNP
HON,HON
LOW,LOW
SHOP.K,SHOP
NVO,NVO
HDB,HDB
SNE,SNE
PM,PM
AMT,AMT
RY,RY
NOW,NOW
IBM,IBM
LMT,LMT
BLK,BLK
MS,MS
MMM,MMM
BUD,BUD
WFC,WFC
GSK,GSK
SE,SE
HSBC.K,HSBC
C,C
BA,BA
CAT,CAT
RTX,RTX
UN,UN
SPGI.K,SPGI
EL,EL
TOT,TOT
FIS,FIS
TD,TD
BEKE.K,BEKE
DEO,DEO
ZTS,ZTS
CVS,CVS
ANTM.K,ANTM
TGT,TGT
SYK,SYK
SQ,SQ
AXP,AXP
PLD,PLD
SCHW.K,SCHW
CI,CI
DE,DE
BTI,BTI
CNI,CNI
BHP,BHP
UBER.K,UBER
RIO,RIO
FDX,FDX
SNOW.K,SNOW
CL,CL
UL,UL
CCI,CCI
GE,GE
D,D
GS,GS
DUK,DUK
MO,MO
BX,BX
BDX,BDX
APD,APD
SHW,SHW
ITW,ITW
TJX,TJX
INFY.K,INFY
SO,SO
SNAP.K,SNAP
CB,CB
USB,USB
TFC,TFC
VMW,VMW
HUM,HUM
VALE.K,VALE
NIO,NIO
ENB,ENB
NSC,NSC
PGR,PGR
ICE,ICE
ABB,ABB
ECL,ECL
RDSa,RDS.A
MMC,MMC
MCO,MCO
NEM,NEM
DG,DG
BP,BP
GM,GM
MUFG.K,MUFG
TAK,TAK
BNS,BNS
GPN,GPN
GOLD.K,GOLD
NOC,NOC
BAM,BAM
WM,WM
BSX,BSX
UBS,UBS
PNC,PNC
TWLO.K,TWLO
EW,EW
DELL.K,DELL
SPOT.K,SPOT
RDSb,RDS.B
WBK,WBK
HCA,HCA
PHG,PHG
KMB,KMB
EQNR.K,EQNR
VEEV.K,VEEV
DD,DD
NGG,NGG
ETN,ETN
BBL,BBL
CP,CP
HMC,HMC
CEO,CEO
TAL,TAL
TRI,TRI
AON,AON
RELX.K,RELX
EMR,EMR
SCCO.K,SCCO
RKT,RKT
IBN,IBN
ROP,ROP
BMO,BMO
PSA,PSA
LVS,LVS
RACE.K,RACE
GD,GD
BAX,BAX
DLR,DLR
CNC,CNC
PINS.K,PINS
SMFG.K,SMFG
ABEV.K,ABEV
LHX,LHX
TRP,TRP
EPD,EPD
MET,MET
GIS,GIS
BCE,BCE
CMG,CMG
SRE,SRE
DOW,DOW
COF,COF
SAN,SAN
APH,APH
PUK,PUK
INFO.K,INFO
TWTR.K,TWTR
CM,CM
TEL,TEL
MSCI.K,MSCI
A,A
CMI,CMI
TT,TT
LU,LU
CARR.K,CARR
IQV,IQV
PPG,PPG
ZTO,ZTO
JCI,JCI
TRV,TRV
KKR,KKR
COP,COP
WEC,WEC
BBY,BBY
BLL,BLL
ES,ES
BK,BK
F,F
STZ,STZ
SYY,SYY
RMD,RMD
STM,STM
PH,PH
ALC,ALC
EDU,EDU
RSG,RSG
YUM,YUM
TDOC.K,TDOC
HSY,HSY
ORAN.K,ORAN
CHT,CHT
PEG,PEG
U,U
W,W
CRH,CRH
WIT,WIT
AMX,AMX
ROK,ROK
ZBH,ZBH
AIG,AIG
AWK,AWK
FNV,FNV
SWK,SWK
APTV.K,APTV
TDG,TDG
MFC,MFC
VFC,VFC
WCN,WCN
CHWY.K,CHWY
ING,ING
E,E
ALL,ALL
MCK,MCK
FCX,FCX
MSI,MSI
OTIS.K,OTIS
KMI,KMI
CLX,CLX
PBR,PBR
HRL,HRL
CHA,CHA
ED,ED
ADM,ADM
AZO,AZO
TME,TME
DHI,DHI
MTD,MTD
GLW,GLW
XPEV.K,XPEV
HPQ,HPQ
AFL,AFL
HLT,HLT
PRU,PRU
RNG,RNG
CS,CS
CTVA.K,CTVA
QSR,QSR
KR,KR
SLF,SLF
LYG,LYG
AME,AME
BCS,BCS
LYB,LYB
FMS,FMS
LUV,LUV
DTE,DTE
WELL.K,WELL
YUMC.K,YUMC
MKC,MKC
BFb,BF.B
PANW.K,PANW
WMB,WMB
NTR,NTR
FTV,FTV
TU,TU
EIX,EIX
CHD,CHD
ITUB.K,ITUB
BSBR.K,BSBR
STT,STT
K,K
WPM,WPM
FRC,FRC
PAYC.K,PAYC
WST,WST
LEN,LEN
SLB,SLB
PPL,PPL
ABC,ABC
WY,WY
ETR,ETR
ARE,ARE
AJG,AJG
PSX,PSX
TSN,TSN
DFS,DFS
FCAU.K,FCAU
LH,LH
KEYS.K,KEYS
DB,DB
ROL,ROL
EOG,EOG
MPC,MPC
AVB,AVB
AMP,AMP
DAL,DAL
AEE,AEE
O,O
CHU,CHU
GWW,GWW
EC,EC
AEM,AEM
PBRa,PBR.A
BBVA.K,BBVA
FLT,FLT
NOK,NOK
CNQ,CNQ
NWG,NWG
PLTR.K,PLTR
PCG,PCG
ANET.K,ANET
SPG,SPG
EPAM.K,EPAM
EQR,EQR
BIP,BIP
MPLX.K,MPLX
FTS,FTS
TLK,TLK
CCC,CCC
CMS,CMS
EFX,EFX
IP,IP
APO,APO
CAJ,CAJ
VMC,VMC
TEF,TEF
BEP,BEP
SU,SU
AMCR.K,AMCR
CBRE.K,CBRE
NET,NET
COO,COO
CAG,CAG
GSX,GSX
DGX,DGX
KSU,KSU
DOV,DOV
CTLT.K,CTLT
LFC,LFC
RCI,RCI
TRU,TRU
BBD,BBD
BR,BR
IR,IR
MGA,MGA
TYL,TYL
ATUS.K,ATUS
IX,IX
XYL,XYL
INVH.K,INVH
MLM,MLM
CCEP.K,CCEP
SNN,SNN
PKX,PKX
VLO,VLO
BKR,BKR
SYF,SYF
FE,FE
TIF,TIF
NVR,NVR
AGR,AGR
VAR,VAR
TFX,TFX
WORK.K,WORK
DPZ,DPZ
BIO,BIO
CAH,CAH
PKI,PKI
PEAK.K,PEAK
ELAN.K,ELAN
VTR,VTR
HUBS.K,HUBS
KMX,KMX
STE,STE
DRE,DRE
MAS,MAS
GIB,GIB
KB,KB
VIPS.K,VIPS
BBDO.K,BBDO
BKI,BKI
ESS,ESS
NUE,NUE
EXR,EXR
AVTR.K,AVTR
MT,MT
SKM,SKM
NMR,NMR
CPB,CPB
GNRC.K,GNRC
ET,ET
CVNA.K,CVNA
ZEN,ZEN
PAGS.K,PAGS
HIG,HIG
MAA,MAA
FMC,FMC
CE,CE
AES,AES
GPC,GPC
SUI,SUI
MKL,MKL
AVLR.K,AVLR
KL,KL
URI,URI
BURL.K,BURL
SHG,SHG
WAT,WAT
RCL,RCL
IEX,IEX
CDAY.K,CDAY
MTB,MTB
DRI,DRI
SJM,SJM
RF,RF
MGP,MGP
UMC,UMC
PXD,PXD
IT,IT
LDOS.K,LDOS
VICI.K,VICI
BRO,BRO
FICO.K,FICO
MOH,MOH
CCK,CCK
KEY,KEY
FTCH.K,FTCH
GDDY.K,GDDY
J,J
OKE,OKE
FDS,FDS
LN,LN
SUZ,SUZ
SAM,SAM
NI_pb,NI$B
EVRG.K,EVRG
CRL,CRL
NTCO.K,NTCO
CNHI.K,CNHI
UI,UI
WHR,WHR
ATHM.K,ATHM
FMX,FMX
TDY,TDY
FBHS.K,FBHS
CNP,CNP
CFG,CFG
PHM,PHM
OSH,OSH
AVY,AVY
LYV,LYV
PBA,PBA
JHX,JHX
HPE,HPE
BAH,BAH
RPM,RPM
WAB,WAB
QGEN.K,QGEN
BFa,BF.A
CABO.K,CABO
ATO,ATO
EMN,EMN
KEP,KEP
LII,LII
BXP,BXP
PKG,PKG
WPC,WPC
IFF,IFF
ARES.K,ARES
BAP,BAP
HES,HES
ALB,ALB
ELS,ELS
DNB,DNB
WRB,WRB
RDY,RDY
GFI,GFI
AU,AU
KGC,KGC
HAL,HAL
DVA,DVA
GGG,GGG
RJF,RJF
DT,DT
AAP,AAP
MGM,MGM
ENIA.K,ENIA
OMC,OMC
ALLY.K,ALLY
SNP,SNP
WPP,WPP
L,L
NLY,NLY
WTRG.K,WTRG
ASX,ASX
EQH,EQH
CCL,CCL
WRK,WRK
LUMN.K,LUMN
IHG,IHG
CHGG.K,CHGG
UHS,UHS
BEN,BEN
UDR,UDR
MPW,MPW
LW,LW
ESTC.K,ESTC
BFAM.K,BFAM
FNF,FNF
OXY,OXY
MTN,MTN
ALLE.K,ALLE
AYX,AYX
SMG,SMG
PNW,PNW
CPT,CPT
LB,LB
TEVA.K,TEVA
WLK,WLK
AQN,AQN
SBSW.K,SBSW
GL,GL
TTC,TTC
NI,NI
BWA,BWA
VST,VST
PEN,PEN
AMH,AMH
XPO,XPO
BILL.K,BILL
OCFT.K,OCFT
PWR,PWR
TREX.K,TREX
PNR,PNR
TXT,TXT
CNA,CNA
