TSM,TSM
V,V
BABA.K,BABA
JNJ,JNJ
JPM,JPM
WMT,WMT
UNH,UNH
BRKb,BRK.B
MA,MA
PG,PG
BAC,BAC
HD,HD
DIS,DIS
PFE,PFE
BRKa,BRK.A
NKE,NKE
LLY,LLY
ORCL.K,ORCL
TM,TM
KO,KO
CRM,CRM
XOM,XOM
VZ,VZ
DHR,DHR
ABT,ABT
ACN,ACN
TMO,TMO
NVS,NVS
ABBV.K,ABBV
T,T
WFC,WFC
MRK,MRK
CVX,CVX
SHOP.K,SHOP
MS,MS
NVO,NVO
MCD,MCD
SAP,SAP
MDT,MDT
SE,SE
UPS,UPS
NEE,NEE
LIN,LIN
PM,PM
BMY,BMY
RY,RY
UNP,UNP
UL,UL
C,C
LOW,LOW
HDB,HDB
BLK,BLK
SCHW.K,SCHW
GS,GS
BX,BX
AMT,AMT
AXP,AXP
BA,BA
RTX,RTX
IBM,IBM
TD,TD
SONY.K,SONY
TGT,TGT
SQ,SQ
DE,DE
DEO,DEO
EL,EL
NOW,NOW
CAT,CAT
TTE,TTE
SNAP.K,SNAP
MMM,MMM
HSBC.K,HSBC
CVS,CVS
GE,GE
GSK,GSK
SPGI.K,SPGI
BUD,BUD
INFY.K,INFY
SYK,SYK
LMT,LMT
PLD,PLD
VALE.K,VALE
BHP,BHP
ZTS,ZTS
RIO,RIO
ANTM.K,ANTM
UN,UN
MO,MO
TJX,TJX
BAM,BAM
BTI,BTI
CCI,CCI
USB,USB
FIS,FIS
SNOW.K,SNOW
DUK,DUK
BP,BP
CB,CB
RDSa,RDS.A
SHW,SHW
PNC,PNC
HCA,HCA
MMC,MMC
ENB,ENB
UBER.K,UBER
BNS,BNS
COF,COF
ABB,ABB
CNI,CNI
TFC,TFC
DELL.K,DELL
GM,GM
FDX,FDX
EW,EW
ITW,ITW
COP,COP
BDX,BDX
RDSb,RDS.B
MUFG.K,MUFG
CI,CI
SO,SO
MCO,MCO
EQNR.K,EQNR
WBK,WBK
ETN,ETN
CL,CL
NSC,NSC
BMO,BMO
STLA.K,STLA
ICE,ICE
DASH.K,DASH
VMW,VMW
BBL,BBL
IBN,IBN
SAN,SAN
NIO,NIO
D,D
WM,WM
BSX,BSX
ECL,ECL
AON,AON
UBS,UBS
EMR,EMR
CVNA.K,CVNA
APD,APD
TWLO.K,TWLO
NOC,NOC
RELX.K,RELX
CPNG.K,CPNG
PSA,PSA
TRI,TRI
PGR,PGR
GD,GD
DG,DG
HMC,HMC
KKR,KKR
PUK,PUK
HUM,HUM
TAK,TAK
MET,MET
CM,CM
ING,ING
CMG,CMG
JCI,JCI
F,F
ROP,ROP
MSCI.K,MSCI
FCX,FCX
TWTR.K,TWTR
A,A
PLTR.K,PLTR
GPN,GPN
IQV,IQV
TEL,TEL
NGG,NGG
VEEV.K,VEEV
WIT,WIT
SCCO.K,SCCO
RBLX.K,RBLX
CARR.K,CARR
EPD,EPD
ABEV.K,ABEV
CP,CP
SMFG.K,SMFG
LHX,LHX
BCE,BCE
BK,BK
DOW,DOW
INFO.K,INFO
KMB,KMB
AIG,AIG
TRP,TRP
TT,TT
NEM,NEM
DLR,DLR
BBVA.K,BBVA
APH,APH
E,E
LYG,LYG
BCS,BCS
APTV.K,APTV
RACE.K,RACE
SRE,SRE
SPG,SPG
RMD,RMD
PRU,PRU
PHG,PHG
CRH,CRH
AMX,AMX
ALC,ALC
KMI,KMI
YUM,YUM
ALL,ALL
BSMX.K,BSMX
MSI,MSI
TRV,TRV
SYY,SYY
SPOT.K,SPOT
PPG,PPG
DFS,DFS
DD,DD
OTIS.K,OTIS
MFC,MFC
DIDI.K,DIDI
STM,STM
EOG,EOG
PBR,PBR
RSG,RSG
CHWY.K,CHWY
PH,PH
AFL,AFL
IFF,IFF
BAX,BAX
SLB,SLB
MT,MT
CNC,CNC
CNQ,CNQ
HSY,HSY
MFG,MFG
NET,NET
ROK,ROK
STZ,STZ
GIS,GIS
MPC,MPC
WELL.K,WELL
NUE,NUE
RKT,RKT
PANW.K,PANW
EPAM.K,EPAM
MTD,MTD
PINS.K,PINS
FRC,FRC
AZO,AZO
PXD,PXD
GLW,GLW
GOLD.K,GOLD
KR,KR
NTR,NTR
ADM,ADM
HPQ,HPQ
XPEV.K,XPEV
NWG,NWG
LYB,LYB
NOK,NOK
DHI,DHI
CMI,CMI
U,U
TDG,TDG
HLT,HLT
WST,WST
WCN,WCN
CHT,CHT
AWK,AWK
PEG,PEG
CTVA.K,CTVA
SWK,SWK
AME,AME
ARE,ARE
AVB,AVB
EFX,EFX
ES,ES
CSAN.K,CSAN
MCK,MCK
CBRE.K,CBRE
PATH.K,PATH
FERG.K,FERG
EQR,EQR
SLF,SLF
HUBS.K,HUBS
WEC,WEC
ORAN.K,ORAN
ZBH,ZBH
KEYS.K,KEYS
AMP,AMP
STT,STT
VFC,VFC
PSX,PSX
QSR,QSR
BLL,BLL
LVS,LVS
TSN,TSN
WMB,WMB
AJG,AJG
W,W
TU,TU
LH,LH
LUV,LUV
LEN,LEN
SYF,SYF
MPLX.K,MPLX
FNV,FNV
O,O
TEF,TEF
PBRa,PBR.A
ANET.K,ANET
PAYC.K,PAYC
BBY,BBY
EC,EC
ED,ED
ITUB.K,ITUB
SU,SU
KSU,KSU
FTV,FTV
CCEP.K,CCEP
DB,DB
ALB,ALB
VLO,VLO
UMC,UMC
WY,WY
IT,IT
HRL,HRL
YUMC.K,YUMC
CS,CS
CAJ,CAJ
DAL,DAL
DOV,DOV
APO,APO
ABC,ABC
URI,URI
GNRC.K,GNRC
ET,ET
MGA,MGA
WAT,WAT
VMC,VMC
BEKE.K,BEKE
FMS,FMS
BIP,BIP
XYL,XYL
MLM,MLM
EXR,EXR
DTE,DTE
HIG,HIG
TLK,TLK
INVH.K,INVH
AEE,AEE
IP,IP
RNG,RNG
SUI,SUI
OKE,OKE
CNHI.K,CNHI
PPL,PPL
BURL.K,BURL
TRU,TRU
AVTR.K,AVTR
K,K
GWW,GWW
CCL,CCL
EIX,EIX
IX,IX
ETR,ETR
BKR,BKR
TDOC.K,TDOC
OXY,OXY
ZTO,ZTO
LU,LU
MAA,MAA
STE,STE
FTS,FTS
MKC,MKC
FLT,FLT
COO,COO
BFb,BF.B
IR,IR
AGR,AGR
TDY,TDY
VTR,VTR
CRL,CRL
PKX,PKX
CHD,CHD
FE,FE
CLX,CLX
BBD,BBD
ESS,ESS
CTLT.K,CTLT
ARES.K,ARES
KMX,KMX
PKI,PKI
BR,BR
HES,HES
RCL,RCL
RCI,RCI
MGP,MGP
DPZ,DPZ
WPM,WPM
GIB,GIB
HPE,HPE
KEY,KEY
DRE,DRE
BIO,BIO
PEAK.K,PEAK
TYL,TYL
FMX,FMX
RF,RF
ALLY.K,ALLY
AMC,AMC
PAGS.K,PAGS
AMCR.K,AMCR
UI,UI
MGM,MGM
ROL,ROL
RJF,RJF
CMS,CMS
CFG,CFG
ASX,ASX
DGX,DGX
NVR,NVR
PCG,PCG
SKM,SKM
BBDO.K,BBDO
AVY,AVY
DRI,DRI
DT,DT
LYV,LYV
DVN,DVN
BXP,BXP
GPC,GPC
SHG,SHG
MTB,MTB
J,J
TFX,TFX
KB,KB
MKL,MKL
CE,CE
BILL.K,BILL
PBA,PBA
HAL,HAL
SNN,SNN
IEX,IEX
WAB,WAB
JHX,JHX
WPP,WPP
OWL,OWL
TXT,TXT
CAG,CAG
BRO,BRO
VICI.K,VICI
AES,AES
CDAY.K,CDAY
BBWI.K,BBWI
EVRG.K,EVRG
CNP,CNP
OMC,OMC
UDR,UDR
BEN,BEN
CVE,CVE
ELS,ELS
EMN,EMN
NMR,NMR
CAH,CAH
ELAN.K,ELAN
CLVT.K,CLVT
BEPC.K,BEPC
MAS,MAS
MOH,MOH
CPT,CPT
FTCH.K,FTCH
DOCS.K,DOCS
WPC,WPC
ZEN,ZEN
IPG,IPG
RH,RH
VEDL.K,VEDL
AVLR.K,AVLR
SJM,SJM
CCK,CCK
ENIA.K,ENIA
L,L
SUZ,SUZ
ESTC.K,ESTC
FNF,FNF
HWM,HWM
WHR,WHR
AEM,AEM
PKG,PKG
SJR,SJR
DVA,DVA
LDOS.K,LDOS
VIV,VIV
MHK,MHK
FDS,FDS
ACI,ACI
AGL,AGL
AAP,AAP
PHM,PHM
FBHS.K,FBHS
PWR,PWR
NTCO.K,NTCO
WRK,WRK
LSPD.K,LSPD
TME,TME
KEP,KEP
WRB,WRB
AMH,AMH
IRM,IRM
GGG,GGG
CPB,CPB
KIM,KIM
ATO,ATO
PNR,PNR
TTM,TTM
LUMN.K,LUMN
FICO.K,FICO
ASAN.K,ASAN
S,S
EQH,EQH
SC,SC
LFC,LFC
ATUS.K,ATUS
ALLE.K,ALLE
LNC,LNC
CLR,CLR
CLF,CLF
UHS,UHS
NLY,NLY
DAR,DAR
WSM,WSM
ATH,ATH
QGEN.K,QGEN
FND,FND
LII,LII
CABO.K,CABO
JLL,JLL
WTRG.K,WTRG
CX,CX
TREX.K,TREX
YMM,YMM
UWMC.K,UWMC
TTC,TTC
GLOB.K,GLOB
DECK.K,DECK
SNA,SNA
MPW,MPW
BKI,BKI
FMC,FMC
MOS,MOS
GDDY.K,GDDY
