BABA.K,BABA
TSM,TSM
V,V
WMT,WMT
JNJ,JNJ
JPM,JPM
PG,PG
MA,MA
UNH,UNH
BRKb,BRK.B
HD,HD
DIS,DIS
VZ,VZ
CRM,CRM
BAC,BAC
KO,KO
BRKa,BRK.A
NKE,NKE
MRK,MRK
T,T
PFE,PFE
NVS,NVS
TM,TM
ABT,ABT
TMO,TMO
ABBV.K,ABBV
ORCL.K,ORCL
CVX,CVX
DHR,DHR
MCD,MCD
ACN,ACN
XOM,XOM
MDT,MDT
NEE,NEE
UPS,UPS
HON,HON
SAP,SAP
BMY,BMY
UNP,UNP
LLY,LLY
LIN,LIN
CHL,CHL
HDB,HDB
PM,PM
NVO,NVO
SHOP.K,SHOP
BA,BA
RY,RY
LOW,LOW
SNE,SNE
C,C
BUD,BUD
TOT,TOT
WFC,WFC
RTX,RTX
MS,MS
AMT,AMT
LMT,LMT
IBM,IBM
HSBC.K,HSBC
BLK,BLK
NOW,NOW
MMM,MMM
TD,TD
CAT,CAT
GSK,GSK
DEO,DEO
AXP,AXP
FIS,FIS
SCHW.K,SCHW
SYK,SYK
EL,EL
UBER.K,UBER
CVS,CVS
SQ,SQ
UN,UN
TGT,TGT
SE,SE
BTI,BTI
GE,GE
SPGI.K,SPGI
DE,DE
ZTS,ZTS
RIO,RIO
BHP,BHP
CNI,CNI
ANTM.K,ANTM
GS,GS
MO,MO
CI,CI
PLD,PLD
TJX,TJX
FDX,FDX
CL,CL
SNOW.K,SNOW
CCI,CCI
BX,BX
UL,UL
RDSa,RDS.A
BEKE.K,BEKE
BDX,BDX
DUK,DUK
CB,CB
SHW,SHW
NIO,NIO
BP,BP
ITW,ITW
VALE.K,VALE
USB,USB
D,D
SO,SO
TFC,TFC
SNAP.K,SNAP
INFY.K,INFY
VMW,VMW
BAM,BAM
NSC,NSC
GM,GM
ECL,ECL
APD,APD
ENB,ENB
BNS,BNS
RDSb,RDS.B
MMC,MMC
MUFG.K,MUFG
GPN,GPN
ICE,ICE
ABB,ABB
UBS,UBS
PNC,PNC
PGR,PGR
TAK,TAK
HUM,HUM
EW,EW
DG,DG
WBK,WBK
NOC,NOC
MCO,MCO
CEO,CEO
DELL.K,DELL
HCA,HCA
WM,WM
EQNR.K,EQNR
NEM,NEM
HMC,HMC
BSX,BSX
SAN,SAN
KMB,KMB
TWLO.K,TWLO
PHG,PHG
ETN,ETN
SPOT.K,SPOT
AON,AON
EMR,EMR
BBL,BBL
RELX.K,RELX
DD,DD
CP,CP
BMO,BMO
IBN,IBN
LVS,LVS
PUK,PUK
ABEV.K,ABEV
NGG,NGG
SCCO.K,SCCO
GD,GD
GOLD.K,GOLD
ROP,ROP
EPD,EPD
RKT,RKT
COP,COP
SMFG.K,SMFG
RACE.K,RACE
LHX,LHX
VEEV.K,VEEV
DOW,DOW
MET,MET
PINS.K,PINS
BAX,BAX
TRI,TRI
DLR,DLR
PSA,PSA
TRP,TRP
BCE,BCE
CVNA.K,CVNA
COF,COF
APH,APH
GIS,GIS
LU,LU
SRE,SRE
CM,CM
CNC,CNC
INFO.K,INFO
TEL,TEL
SYY,SYY
CMG,CMG
ING,ING
XPEV.K,XPEV
TT,TT
TWTR.K,TWTR
E,E
PH,PH
STZ,STZ
CMI,CMI
F,F
PBR,PBR
BK,BK
CARR.K,CARR
TRV,TRV
PPG,PPG
A,A
MSCI.K,MSCI
AIG,AIG
VFC,VFC
LYG,LYG
JCI,JCI
PLTR.K,PLTR
KKR,KKR
STM,STM
ORAN.K,ORAN
KMI,KMI
IQV,IQV
AMX,AMX
TDG,TDG
BLL,BLL
MFC,MFC
BCS,BCS
RSG,RSG
YUM,YUM
U,U
ZTO,ZTO
CRH,CRH
APTV.K,APTV
ALC,ALC
HSY,HSY
BBY,BBY
EDU,EDU
AFL,AFL
RMD,RMD
FCX,FCX
ALL,ALL
ZBH,ZBH
ES,ES
WEC,WEC
PRU,PRU
SWK,SWK
TAL,TAL
CS,CS
CHT,CHT
PEG,PEG
ROK,ROK
MSI,MSI
OTIS.K,OTIS
HLT,HLT
SLB,SLB
WIT,WIT
AWK,AWK
BBVA.K,BBVA
HPQ,HPQ
QSR,QSR
WCN,WCN
BSBR.K,BSBR
GLW,GLW
TDOC.K,TDOC
MCK,MCK
CTVA.K,CTVA
TME,TME
CHWY.K,CHWY
LYB,LYB
PANW.K,PANW
DHI,DHI
MTD,MTD
ADM,ADM
WELL.K,WELL
LUV,LUV
AME,AME
HRL,HRL
PSX,PSX
RNG,RNG
EOG,EOG
SLF,SLF
AZO,AZO
ITUB.K,ITUB
ED,ED
NTR,NTR
CLX,CLX
MPC,MPC
KR,KR
YUMC.K,YUMC
CNQ,CNQ
DTE,DTE
PBRa,PBR.A
NWG,NWG
CHA,CHA
FMS,FMS
BFb,BF.B
W,W
SPG,SPG
WMB,WMB
STT,STT
PCG,PCG
FNV,FNV
EC,EC
DAL,DAL
EIX,EIX
FTV,FTV
TU,TU
FCAU.K,FCAU
AVB,AVB
SU,SU
DFS,DFS
PAYC.K,PAYC
MKC,MKC
FRC,FRC
TSN,TSN
GWW,GWW
PPL,PPL
K,K
AJG,AJG
EQR,EQR
DB,DB
MPLX.K,MPLX
ARE,ARE
KEYS.K,KEYS
TLK,TLK
NOK,NOK
TEF,TEF
ETR,ETR
FLT,FLT
AMP,AMP
WY,WY
BIP,BIP
O,O
CHD,CHD
EFX,EFX
LEN,LEN
VLO,VLO
ABC,ABC
WST,WST
ANET.K,ANET
BBD,BBD
NET,NET
APO,APO
CBRE.K,CBRE
AEE,AEE
LH,LH
IP,IP
CCEP.K,CCEP
ROL,ROL
CAJ,CAJ
CHU,CHU
BKR,BKR
FTS,FTS
EPAM.K,EPAM
AMCR.K,AMCR
IX,IX
VMC,VMC
BBDO.K,BBDO
IR,IR
WPM,WPM
TRU,TRU
VTR,VTR
MGA,MGA
RCI,RCI
DOV,DOV
MT,MT
ATUS.K,ATUS
BEP,BEP
COO,COO
KSU,KSU
CAG,CAG
SYF,SYF
CMS,CMS
TFX,TFX
BEPC.K,BEPC
CTLT.K,CTLT
XYL,XYL
GSX,GSX
SNN,SNN
LFC,LFC
CCC,CCC
BR,BR
HUBS.K,HUBS
MLM,MLM
PKX,PKX
TYL,TYL
RCL,RCL
STE,STE
ESS,ESS
HIG,HIG
DGX,DGX
ET,ET
PEAK.K,PEAK
FMX,FMX
AEM,AEM
KB,KB
GIB,GIB
TIF,TIF
NUE,NUE
PXD,PXD
VAR,VAR
WORK.K,WORK
VIPS.K,VIPS
FE,FE
INVH.K,INVH
NVR,NVR
URI,URI
CE,CE
SHG,SHG
KMX,KMX
FTCH.K,FTCH
MTB,MTB
BURL.K,BURL
AVTR.K,AVTR
CAH,CAH
UI,UI
KEY,KEY
DPZ,DPZ
NMR,NMR
BXP,BXP
SKM,SKM
FMC,FMC
CPB,CPB
RF,RF
IEX,IEX
ZEN,ZEN
OKE,OKE
BKI,BKI
PKI,PKI
EXR,EXR
LYV,LYV
PAGS.K,PAGS
MAS,MAS
HES,HES
AGR,AGR
MAA,MAA
TDY,TDY
CNHI.K,CNHI
DRE,DRE
CDAY.K,CDAY
MGP,MGP
DRI,DRI
LDOS.K,LDOS
BIO,BIO
HAL,HAL
GPC,GPC
WAT,WAT
CFG,CFG
UMC,UMC
FICO.K,FICO
ELAN.K,ELAN
MKL,MKL
AES,AES
VICI.K,VICI
AVLR.K,AVLR
WAB,WAB
SUI,SUI
J,J
GNRC.K,GNRC
IT,IT
HPE,HPE
BRO,BRO
MGM,MGM
ALB,ALB
SJM,SJM
PBA,PBA
CCL,CCL
EMN,EMN
JHX,JHX
CCK,CCK
GDDY.K,GDDY
SUZ,SUZ
OMC,OMC
CNP,CNP
NTCO.K,NTCO
BAP,BAP
OXY,OXY
MOH,MOH
NI_pb,NI$B
BFa,BF.A
PKG,PKG
WPC,WPC
AVY,AVY
YSG,YSG
RJF,RJF
EVRG.K,EVRG
BAH,BAH
KEP,KEP
FDS,FDS
WPP,WPP
DVA,DVA
WHR,WHR
ATO,ATO
IFF,IFF
CABO.K,CABO
WRB,WRB
ATHM.K,ATHM
FBHS.K,FBHS
L,L
SNP,SNP
PHM,PHM
DNB,DNB
ARES.K,ARES
CRL,CRL
RPM,RPM
ENIA.K,ENIA
GGG,GGG
LII,LII
UDR,UDR
SAM,SAM
UHS,UHS
CXO,CXO
ALLY.K,ALLY
MTN,MTN
KL,KL
ELS,ELS
WRK,WRK
ASX,ASX
LB,LB
NLY,NLY
OSH,OSH
IHG,IHG
EQH,EQH
QGEN.K,QGEN
LUMN.K,LUMN
WTRG.K,WTRG
ALLE.K,ALLE
FNF,FNF
LW,LW
RDY,RDY
TXT,TXT
BEN,BEN
MPW,MPW
TEVA.K,TEVA
HWM,HWM
BFAM.K,BFAM
DT,DT
AAP,AAP
GWRE.K,GWRE
GL,GL
XPO,XPO
VIV,VIV
CPT,CPT
CNA,CNA
WLK,WLK
TTC,TTC
HEIa,HEI.A
PWR,PWR
KGC,KGC
BCH,BCH
PNW,PNW
MMP,MMP
ESTC.K,ESTC
SMG,SMG
RE,RE
SNA,SNA
PEN,PEN
AU,AU
BWA,BWA
AQN,AQN
PLAN.K,PLAN
