TSM,TSM
BABA.K,BABA
V,V
JPM,JPM
JNJ,JNJ
WMT,WMT
UNH,UNH
MA,MA
BRKb,BRK.B
HD,HD
PG,PG
BAC,BAC
DIS,DIS
BRKa,BRK.A
NKE,NKE
TM,TM
ORCL.K,ORCL
KO,KO
XOM,XOM
VZ,VZ
PFE,PFE
LLY,LLY
CRM,CRM
ABT,ABT
ACN,ACN
TMO,TMO
ABBV.K,ABBV
DHR,DHR
NVS,NVS
T,T
MRK,MRK
SHOP.K,SHOP
CVX,CVX
WFC,WFC
UPS,UPS
MCD,MCD
MS,MS
SAP,SAP
MDT,MDT
UL,UL
NVO,NVO
NEE,NEE
LIN,LIN
BMY,BMY
PM,PM
SE,SE
UNP,UNP
RY,RY
LOW,LOW
C,C
AXP,AXP
BLK,BLK
RTX,RTX
AMT,AMT
SCHW.K,SCHW
HDB,HDB
BA,BA
TGT,TGT
IBM,IBM
BX,BX
GS,GS
SONY.K,SONY
TD,TD
EL,EL
MMM,MMM
CAT,CAT
SQ,SQ
NOW,NOW
GE,GE
VALE.K,VALE
HSBC.K,HSBC
BUD,BUD
DEO,DEO
BHP,BHP
DE,DE
TTE,TTE
CVS,CVS
LMT,LMT
RIO,RIO
SPGI.K,SPGI
GSK,GSK
SNAP.K,SNAP
SYK,SYK
ANTM.K,ANTM
ZTS,ZTS
PLD,PLD
FIS,FIS
UN,UN
INFY.K,INFY
CCI,CCI
MO,MO
UBER.K,UBER
BTI,BTI
HCA,HCA
USB,USB
GM,GM
TJX,TJX
DUK,DUK
FDX,FDX
CI,CI
BP,BP
BAM,BAM
PNC,PNC
ENB,ENB
RDSa,RDS.A
SNOW.K,SNOW
CB,CB
SHW,SHW
BNS,BNS
COP,COP
DELL.K,DELL
TFC,TFC
CNI,CNI
NIO,NIO
ITW,ITW
MMC,MMC
BDX,BDX
COF,COF
ABB,ABB
MCO,MCO
CL,CL
MUFG.K,MUFG
TWLO.K,TWLO
CPNG.K,CPNG
ICE,ICE
WBK,WBK
SO,SO
RDSb,RDS.B
EW,EW
VMW,VMW
NSC,NSC
BBL,BBL
APD,APD
BMO,BMO
EQNR.K,EQNR
ETN,ETN
