BABA.K,BABA
TSM,TSM
V,V
WMT,WMT
JNJ,JNJ
JPM,JPM
PG,PG
MA,MA
UNH,UNH
BRKb,BRK.B
HD,HD
DIS,DIS
BAC,BAC
VZ,VZ
PFE,PFE
KO,KO
BRKa,BRK.A
T,T
NKE,NKE
MRK,MRK
NVS,NVS
CRM,CRM
TM,TM
ABBV.K,ABBV
ABT,ABT
XOM,XOM
TMO,TMO
CVX,CVX
ORCL.K,ORCL
ACN,ACN
DHR,DHR
MCD,MCD
UL,UL
LLY,LLY
MDT,MDT
HON,HON
SAP,SAP
NEE,NEE
UPS,UPS
UNP,UNP
BMY,BMY
BA,BA
PM,PM
LIN,LIN
SHOP.K,SHOP
C,C
HDB,HDB
NVO,NVO
WFC,WFC
TOT,TOT
RY,RY
CHL,CHL
LOW,LOW
MS,MS
BUD,BUD
SNE,SNE
IBM,IBM
RTX,RTX
HSBC.K,HSBC
BLK,BLK
SNOW.K,SNOW
NOW,NOW
TD,TD
MMM,MMM
LMT,LMT
GE,GE
SE,SE
AXP,AXP
SQ,SQ
AMT,AMT
CAT,CAT
UBER.K,UBER
BHP,BHP
GSK,GSK
CVS,CVS
SCHW.K,SCHW
DEO,DEO
RIO,RIO
FIS,FIS
BTI,BTI
UN,UN
EL,EL
SYK,SYK
VALE.K,VALE
TGT,TGT
GS,GS
BEKE.K,BEKE
TJX,TJX
MO,MO
DE,DE
SNAP.K,SNAP
RDSa,RDS.A
SPGI.K,SPGI
CNI,CNI
ANTM.K,ANTM
CI,CI
FDX,FDX
BP,BP
ZTS,ZTS
BX,BX
CL,CL
PLD,PLD
BDX,BDX
USB,USB
CB,CB
ENB,ENB
CCI,CCI
RDSb,RDS.B
DUK,DUK
INFY.K,INFY
SHW,SHW
BNS,BNS
TFC,TFC
SPOT.K,SPOT
ITW,ITW
BAM,BAM
SO,SO
ECL,ECL
NIO,NIO
GM,GM
ICE,ICE
PNC,PNC
D,D
NSC,NSC
VMW,VMW
APD,APD
DASH.K,DASH
TAK,TAK
MMC,MMC
SAN,SAN
GPN,GPN
EQNR.K,EQNR
ABB,ABB
BBL,BBL
PGR,PGR
MUFG.K,MUFG
HCA,HCA
UBS,UBS
WBK,WBK
DELL.K,DELL
EW,EW
TWLO.K,TWLO
HUM,HUM
MCO,MCO
HMC,HMC
DG,DG
NOC,NOC
ABEV.K,ABEV
BMO,BMO
DD,DD
BSX,BSX
EMR,EMR
WM,WM
IBN,IBN
PHG,PHG
NEM,NEM
PLTR.K,PLTR
RELX.K,RELX
COP,COP
AON,AON
EPD,EPD
ETN,ETN
SCCO.K,SCCO
CP,CP
KMB,KMB
PUK,PUK
CVNA.K,CVNA
PINS.K,PINS
LVS,LVS
ROP,ROP
COF,COF
GD,GD
TRP,TRP
U,U
MET,MET
PBR,PBR
NGG,NGG
BCE,BCE
RACE.K,RACE
RKT,RKT
TAL,TAL
GOLD.K,GOLD
TWTR.K,TWTR
BAX,BAX
DOW,DOW
SMFG.K,SMFG
VEEV.K,VEEV
TRI,TRI
LHX,LHX
SYY,SYY
APH,APH
TEL,TEL
CM,CM
CEO,CEO
E,E
ING,ING
PSA,PSA
INFO.K,INFO
SRE,SRE
CMG,CMG
BK,BK
A,A
DLR,DLR
FCX,FCX
GIS,GIS
F,F
CNC,CNC
XPEV.K,XPEV
PH,PH
STZ,STZ
MFC,MFC
MSCI.K,MSCI
TRV,TRV
AIG,AIG
VFC,VFC
PPG,PPG
APTV.K,APTV
KMI,KMI
LU,LU
TT,TT
ORAN.K,ORAN
KKR,KKR
LYG,LYG
BSBR.K,BSBR
JCI,JCI
BCS,BCS
BBVA.K,BBVA
TDG,TDG
SLB,SLB
CARR.K,CARR
CMI,CMI
IQV,IQV
CHWY.K,CHWY
ALC,ALC
YUM,YUM
STM,STM
AMX,AMX
ALL,ALL
EOG,EOG
AFL,AFL
PRU,PRU
TME,TME
HSY,HSY
CRH,CRH
RNG,RNG
PBRa,PBR.A
PSX,PSX
CS,CS
BLL,BLL
WIT,WIT
ZBH,ZBH
RMD,RMD
ITUB.K,ITUB
HPQ,HPQ
RSG,RSG
HLT,HLT
SPG,SPG
CNQ,CNQ
CHT,CHT
LYB,LYB
ES,ES
PANW.K,PANW
ZTO,ZTO
MSI,MSI
WEC,WEC
QSR,QSR
CTVA.K,CTVA
TDOC.K,TDOC
ROK,ROK
SU,SU
PEG,PEG
MCK,MCK
MPC,MPC
SWK,SWK
GLW,GLW
NTR,NTR
EC,EC
OTIS.K,OTIS
EDU,EDU
LUV,LUV
MTD,MTD
ADM,ADM
AME,AME
DAL,DAL
AWK,AWK
WCN,WCN
WELL.K,WELL
WMB,WMB
BBY,BBY
QS,QS
AZO,AZO
SLF,SLF
NWG,NWG
FCAU.K,FCAU
NET,NET
DFS,DFS
TU,TU
DHI,DHI
STT,STT
CLX,CLX
TSN,TSN
HRL,HRL
ED,ED
FNV,FNV
PAYC.K,PAYC
VLO,VLO
WORK.K,WORK
FMS,FMS
W,W
KR,KR
YUMC.K,YUMC
DTE,DTE
TEF,TEF
BKR,BKR
MPLX.K,MPLX
PCG,PCG
EIX,EIX
WY,WY
NOK,NOK
BBD,BBD
BFb,BF.B
KEYS.K,KEYS
MT,MT
FTV,FTV
MKC,MKC
ARE,ARE
AJG,AJG
TLK,TLK
FLT,FLT
AMP,AMP
DB,DB
AVB,AVB
FRC,FRC
CHA,CHA
EFX,EFX
EQR,EQR
CBRE.K,CBRE
BIP,BIP
PPL,PPL
GWW,GWW
CCEP.K,CCEP
K,K
CHD,CHD
O,O
APO,APO
ANET.K,ANET
BBDO.K,BBDO
ETR,ETR
CAJ,CAJ
UMC,UMC
CCL,CCL
FTCH.K,FTCH
ABC,ABC
LH,LH
PKX,PKX
LEN,LEN
OXY,OXY
WST,WST
PXD,PXD
ATUS.K,ATUS
SYF,SYF
FTS,FTS
IP,IP
AEE,AEE
RCI,RCI
IR,IR
MGA,MGA
IX,IX
OKE,OKE
COO,COO
ET,ET
WPM,WPM
BEP,BEP
VTR,VTR
VMC,VMC
KSU,KSU
TRU,TRU
HUBS.K,HUBS
TYL,TYL
RCL,RCL
AMCR.K,AMCR
EPAM.K,EPAM
SNN,SNN
TFX,TFX
CCC,CCC
ROL,ROL
XYL,XYL
HAL,HAL
HES,HES
DOV,DOV
URI,URI
CHU,CHU
CAG,CAG
NUE,NUE
GIB,GIB
AEM,AEM
VIPS.K,VIPS
CMS,CMS
HIG,HIG
DGX,DGX
BR,BR
BEPC.K,BEPC
KB,KB
LFC,LFC
MLM,MLM
MTB,MTB
FE,FE
SHG,SHG
FMX,FMX
UI,UI
PKI,PKI
CAH,CAH
NMR,NMR
INVH.K,INVH
STE,STE
ZEN,ZEN
ESS,ESS
VAR,VAR
TIF,TIF
PEAK.K,PEAK
BXP,BXP
SKM,SKM
LYV,LYV
KEY,KEY
HPE,HPE
CTLT.K,CTLT
AVTR.K,AVTR
KMX,KMX
GSX,GSX
BURL.K,BURL
VIV,VIV
CFG,CFG
BAP,BAP
MGP,MGP
PAGS.K,PAGS
CE,CE
MGM,MGM
FMC,FMC
RF,RF
DPZ,DPZ
ALB,ALB
DRI,DRI
WAT,WAT
PBA,PBA
LDOS.K,LDOS
CNHI.K,CNHI
NVR,NVR
FICO.K,FICO
IEX,IEX
TDY,TDY
WAB,WAB
CDAY.K,CDAY
CPB,CPB
GDDY.K,GDDY
MAS,MAS
DRE,DRE
EXR,EXR
MKL,MKL
J,J
GPC,GPC
AVLR.K,AVLR
AGR,AGR
EMN,EMN
IT,IT
KEP,KEP
AES,AES
SUI,SUI
OMC,OMC
MAA,MAA
BIO,BIO
BKI,BKI
SUZ,SUZ
VICI.K,VICI
ELAN.K,ELAN
BFa,BF.A
OSH,OSH
GNRC.K,GNRC
FDS,FDS
SJM,SJM
CCK,CCK
NTCO.K,NTCO
ALLY.K,ALLY
PKG,PKG
CABO.K,CABO
BRO,BRO
RJF,RJF
AVY,AVY
WPP,WPP
CXO,CXO
DVA,DVA
ARES.K,ARES
EVRG.K,EVRG
AI,AI
NI_pb,NI$B
ESTC.K,ESTC
ATO,ATO
ASX,ASX
BEN,BEN
QGEN.K,QGEN
JHX,JHX
MOH,MOH
BAH,BAH
ENIA.K,ENIA
IFF,IFF
WPC,WPC
L,L
CRL,CRL
CNP,CNP
YSG,YSG
WTRG.K,WTRG
EQH,EQH
MTN,MTN
FBHS.K,FBHS
IHG,IHG
ATHM.K,ATHM
SAM,SAM
TEVA.K,TEVA
WRB,WRB
WRK,WRK
NLY,NLY
GGG,GGG
UHS,UHS
WHR,WHR
LB,LB
RDY,RDY
HWM,HWM
RPM,RPM
PHM,PHM
UDR,UDR
KL,KL
LW,LW
BILL.K,BILL
SNP,SNP
LUMN.K,LUMN
TXT,TXT
FSLY.K,FSLY
XPO,XPO
MPW,MPW
DT,DT
FNF,FNF
DNB,DNB
ELS,ELS
WLK,WLK
AAP,AAP
LII,LII
SMG,SMG
CHGG.K,CHGG
MMP,MMP
GWRE.K,GWRE
ALLE.K,ALLE
LNC,LNC
NVTA.K,NVTA
PWR,PWR
BCH,BCH
CNA,CNA
PLAN.K,PLAN
BFAM.K,BFAM
TS,TS
GL,GL
SNA,SNA
