TSM,TSM
V,V
BABA.K,BABA
JPM,JPM
JNJ,JNJ
WMT,WMT
UNH,UNH
MA,MA
BRKb,BRK.B
HD,HD
PG,PG
BAC,BAC
DIS,DIS
BRKa,BRK.A
NKE,NKE
TM,TM
XOM,XOM
KO,KO
ORCL.K,ORCL
PFE,PFE
LLY,LLY
VZ,VZ
CRM,CRM
ACN,ACN
ABT,ABT
ABBV.K,ABBV
TMO,TMO
DHR,DHR
NVS,NVS
T,T
SHOP.K,SHOP
MRK,MRK
CVX,CVX
WFC,WFC
UPS,UPS
MCD,MCD
MS,MS
MDT,MDT
SAP,SAP
LIN,LIN
NVO,NVO
PM,PM
SE,SE
BMY,BMY
NEE,NEE
UL,UL
UNP,UNP
RY,RY
C,C
LOW,LOW
AXP,AXP
BX,BX
BLK,BLK
BA,BA
RTX,RTX
HDB,HDB
AMT,AMT
TGT,TGT
SCHW.K,SCHW
GS,GS
IBM,IBM
SONY.K,SONY
EL,EL
SNAP.K,SNAP
TD,TD
SQ,SQ
MMM,MMM
BHP,BHP
VALE.K,VALE
CAT,CAT
NOW,NOW
TTE,TTE
HSBC.K,HSBC
BUD,BUD
GE,GE
DEO,DEO
DE,DE
CVS,CVS
RIO,RIO
LMT,LMT
SPGI.K,SPGI
SYK,SYK
GSK,GSK
ZTS,ZTS
PLD,PLD
ANTM.K,ANTM
INFY.K,INFY
FIS,FIS
UN,UN
BTI,BTI
MO,MO
UBER.K,UBER
USB,USB
CCI,CCI
TJX,TJX
HCA,HCA
BP,BP
GM,GM
RDSa,RDS.A
DUK,DUK
BAM,BAM
SNOW.K,SNOW
FDX,FDX
ENB,ENB
PNC,PNC
CI,CI
COP,COP
SHW,SHW
CB,CB
BNS,BNS
MMC,MMC
CNI,CNI
DELL.K,DELL
ABB,ABB
TFC,TFC
COF,COF
BDX,BDX
ITW,ITW
CL,CL
MCO,MCO
NIO,NIO
RDSb,RDS.B
BBL,BBL
TWLO.K,TWLO
MUFG.K,MUFG
ICE,ICE
EW,EW
SO,SO
WBK,WBK
NSC,NSC
VMW,VMW
SAN,SAN
EQNR.K,EQNR
BMO,BMO
CPNG.K,CPNG
APD,APD
IBN,IBN
ECL,ECL
BSX,BSX
ETN,ETN
WM,WM
D,D
HUM,HUM
UBS,UBS
DASH.K,DASH
EMR,EMR
STLA.K,STLA
CVNA.K,CVNA
NOC,NOC
AON,AON
GPN,GPN
PGR,PGR
F,F
PSA,PSA
TWTR.K,TWTR
RELX.K,RELX
HMC,HMC
DG,DG
GD,GD
FCX,FCX
KKR,KKR
TAK,TAK
EPD,EPD
ROP,ROP
TRI,TRI
CM,CM
ABEV.K,ABEV
MET,MET
CMG,CMG
JCI,JCI
ING,ING
VEEV.K,VEEV
SCCO.K,SCCO
PUK,PUK
PINS.K,PINS
CP,CP
NEM,NEM
TRP,TRP
TT,TT
MSCI.K,MSCI
IQV,IQV
LHX,LHX
SMFG.K,SMFG
DOW,DOW
TEL,TEL
SPOT.K,SPOT
NGG,NGG
WIT,WIT
A,A
KMB,KMB
INFO.K,INFO
LYG,LYG
CARR.K,CARR
BCE,BCE
RBLX.K,RBLX
BK,BK
DLR,DLR
EOG,EOG
APTV.K,APTV
BBVA.K,BBVA
CNC,CNC
APH,APH
PHG,PHG
E,E
SPG,SPG
PLTR.K,PLTR
SLB,SLB
SRE,SRE
RACE.K,RACE
AIG,AIG
BAX,BAX
BCS,BCS
KMI,KMI
PBR,PBR
BSMX.K,BSMX
PH,PH
DD,DD
PRU,PRU
PPG,PPG
ALL,ALL
CNQ,CNQ
PANW.K,PANW
DIDI.K,DIDI
CRH,CRH
OTIS.K,OTIS
DFS,DFS
STZ,STZ
RMD,RMD
MSI,MSI
CSAN.K,CSAN
SYY,SYY
MFC,MFC
TRV,TRV
IFF,IFF
GOLD.K,GOLD
RSG,RSG
HSY,HSY
YUM,YUM
WELL.K,WELL
AFL,AFL
MT,MT
NET,NET
AMX,AMX
GIS,GIS
CHWY.K,CHWY
MFG,MFG
TDG,TDG
MPC,MPC
STM,STM
PXD,PXD
HLT,HLT
ALC,ALC
GLW,GLW
AZO,AZO
XPEV.K,XPEV
LVS,LVS
CMI,CMI
ROK,ROK
FRC,FRC
RKT,RKT
MTD,MTD
HPQ,HPQ
NTR,NTR
ZBH,ZBH
SWK,SWK
DHI,DHI
LYB,LYB
NOK,NOK
VFC,VFC
ADM,ADM
PSX,PSX
WCN,WCN
NWG,NWG
SU,SU
CHT,CHT
PATH.K,PATH
AME,AME
FERG.K,FERG
EQR,EQR
AVB,AVB
MCK,MCK
EPAM.K,EPAM
CTVA.K,CTVA
PEG,PEG
WMB,WMB
EFX,EFX
LUV,LUV
ORAN.K,ORAN
QSR,QSR
AWK,AWK
CBRE.K,CBRE
ARE,ARE
SLF,SLF
KR,KR
WEC,WEC
PBRa,PBR.A
W,W
STT,STT
ES,ES
KEYS.K,KEYS
NUE,NUE
MPLX.K,MPLX
AMP,AMP
BEKE.K,BEKE
U,U
ANET.K,ANET
FNV,FNV
BBY,BBY
AJG,AJG
TU,TU
CCEP.K,CCEP
GNRC.K,GNRC
HUBS.K,HUBS
WST,WST
LEN,LEN
O,O
LH,LH
EC,EC
ITUB.K,ITUB
YUMC.K,YUMC
ET,ET
SYF,SYF
VLO,VLO
DAL,DAL
BLL,BLL
ED,ED
TSN,TSN
WY,WY
DB,DB
APO,APO
HRL,HRL
OXY,OXY
CAJ,CAJ
TEF,TEF
ABC,ABC
RNG,RNG
MGA,MGA
KSU,KSU
CS,CS
OKE,OKE
GWW,GWW
URI,URI
FMS,FMS
WAT,WAT
PAYC.K,PAYC
UMC,UMC
DOV,DOV
HES,HES
PKX,PKX
FTV,FTV
VMC,VMC
TDOC.K,TDOC
CCL,CCL
CLX,CLX
IP,IP
INVH.K,INVH
EXR,EXR
BIP,BIP
ALB,ALB
IT,IT
BBD,BBD
DTE,DTE
VTR,VTR
BFb,BF.B
XYL,XYL
CNHI.K,CNHI
TRU,TRU
HIG,HIG
TLK,TLK
KMX,KMX
ZTO,ZTO
MLM,MLM
BURL.K,BURL
PPL,PPL
BKR,BKR
K,K
ESS,ESS
AVTR.K,AVTR
MAA,MAA
FLT,FLT
LB,LB
MKC,MKC
AEE,AEE
CHD,CHD
IX,IX
SUI,SUI
FE,FE
EIX,EIX
FTS,FTS
ETR,ETR
RCL,RCL
IR,IR
GIB,GIB
AMC,AMC
RCI,RCI
TYL,TYL
BR,BR
COO,COO
BBDO.K,BBDO
WPM,WPM
CRL,CRL
DPZ,DPZ
PEAK.K,PEAK
PKI,PKI
UI,UI
DRI,DRI
CTLT.K,CTLT
ALLY.K,ALLY
MGM,MGM
DRE,DRE
HPE,HPE
CFG,CFG
LU,LU
KEY,KEY
RF,RF
TFX,TFX
PAGS.K,PAGS
SNN,SNN
GPC,GPC
HAL,HAL
MGP,MGP
ROL,ROL
ARES.K,ARES
NVR,NVR
STE,STE
FMX,FMX
DVN,DVN
BXP,BXP
PBA,PBA
LYV,LYV
CMS,CMS
RJF,RJF
ASX,ASX
ZEN,ZEN
DT,DT
AMCR.K,AMCR
TME,TME
SHG,SHG
KB,KB
PCG,PCG
OWL,OWL
J,J
IEX,IEX
CAH,CAH
CE,CE
AVY,AVY
BILL.K,BILL
FTCH.K,FTCH
MTB,MTB
VICI.K,VICI
ELAN.K,ELAN
BIO,BIO
DGX,DGX
SKM,SKM
MKL,MKL
CVE,CVE
TDY,TDY
CAG,CAG
UDR,UDR
ATUS.K,ATUS
AGR,AGR
AES,AES
NTCO.K,NTCO
WPP,WPP
XPO,XPO
OMC,OMC
CLVT.K,CLVT
FICO.K,FICO
WAB,WAB
NMR,NMR
TXT,TXT
BRO,BRO
JHX,JHX
EMN,EMN
BEN,BEN
MOH,MOH
LDOS.K,LDOS
MAS,MAS
ELS,ELS
BEPC.K,BEPC
EVRG.K,EVRG
SUZ,SUZ
CDAY.K,CDAY
AEM,AEM
WPC,WPC
CNP,CNP
ENIA.K,ENIA
AVLR.K,AVLR
GDDY.K,GDDY
OSH,OSH
AGL,AGL
CPT,CPT
LUMN.K,LUMN
RH,RH
L,L
SJM,SJM
HWM,HWM
PHM,PHM
IPG,IPG
AAP,AAP
KEP,KEP
VEDL.K,VEDL
SJR,SJR
WHR,WHR
FMC,FMC
ESTC.K,ESTC
AMH,AMH
FBHS.K,FBHS
CPB,CPB
VIV,VIV
MHK,MHK
WRB,WRB
GME,GME
UHS,UHS
CCK,CCK
WRK,WRK
TTM,TTM
ATO,ATO
CLR,CLR
FNF,FNF
GGG,GGG
S,S
FDS,FDS
PCOR.K,PCOR
EQH,EQH
PKG,PKG
DVA,DVA
MTN,MTN
SID,SID
BKI,BKI
IRM,IRM
LFC,LFC
FND,FND
SC,SC
ATH,ATH
CX,CX
CHGG.K,CHGG
ALLE.K,ALLE
NI_pb,NI$B
PWR,PWR
MPW,MPW
TS,TS
UWMC.K,UWMC
BAH,BAH
LII,LII
ASAN.K,ASAN
IHG,IHG
RDY,RDY
TTC,TTC
WTRG.K,WTRG
CNA,CNA
SNA,SNA
DOCS.K,DOCS
NLY,NLY
QGEN.K,QGEN
LSPD.K,LSPD
SNP,SNP
WSM,WSM
LNC,LNC
