BABA.K,BABA
TSM,TSM
V,V
WMT,WMT
JNJ,JNJ
PG,PG
MA,MA
UNH,UNH
JPM,JPM
HD,HD
BRKb,BRK.B
VZ,VZ
CRM,CRM
DIS,DIS
BAC,BAC
KO,KO
BRKa,BRK.A
PFE,PFE
MRK,MRK
NKE,NKE
NVS,NVS
T,T
ABT,ABT
SAP,SAP
ORCL.K,ORCL
TMO,TMO
TM,TM
MCD,MCD
DHR,DHR
ABBV.K,ABBV
UPS,UPS
NEE,NEE
LLY,LLY
ACN,ACN
MDT,MDT
XOM,XOM
CVX,CVX
UNP,UNP
BMY,BMY
CHL,CHL
SHOP.K,SHOP
LOW,LOW
NVO,NVO
LIN,LIN
PM,PM
HON,HON
IBM,IBM
AMT,AMT
LMT,LMT
RY,RY
WFC,WFC
HDB,HDB
BUD,BUD
NOW,NOW
MMM,MMM
C,C
BA,BA
GSK,GSK
BLK,BLK
RTX,RTX
FIS,FIS
MS,MS
SNE,SNE
UN,UN
TOT,TOT
CAT,CAT
SPGI.K,SPGI
AXP,AXP
SYK,SYK
TD,TD
DEO,DEO
HSBC.K,HSBC
TGT,TGT
SQ,SQ
EL,EL
BTI,BTI
SE,SE
ZTS,ZTS
PLD,PLD
CNI,CNI
CVS,CVS
BHP,BHP
RIO,RIO
MO,MO
ANTM.K,ANTM
DE,DE
UL,UL
GS,GS
BEKE.K,BEKE
SCHW.K,SCHW
FDX,FDX
CCI,CCI
TJX,TJX
D,D
CL,CL
BDX,BDX
DUK,DUK
SNOW.K,SNOW
APD,APD
INFY.K,INFY
BX,BX
CI,CI
ITW,ITW
VMW,VMW
SHW,SHW
UBER.K,UBER
SO,SO
ENB,ENB
BSX,BSX
USB,USB
GE,GE
PGR,PGR
MMC,MMC
TFC,TFC
BP,BP
ECL,ECL
ICE,ICE
ABB,ABB
VALE.K,VALE
HUM,HUM
TAK,TAK
CB,CB
NSC,NSC
MCO,MCO
DG,DG
GPN,GPN
RDSa,RDS.A
BAM,BAM
EW,EW
NOC,NOC
MUFG.K,MUFG
BNS,BNS
KMB,KMB
DELL.K,DELL
NEM,NEM
GOLD.K,GOLD
AON,AON
PNC,PNC
WM,WM
TWLO.K,TWLO
EQNR.K,EQNR
WBK,WBK
TAL,TAL
SPOT.K,SPOT
VEEV.K,VEEV
RDSb,RDS.B
RKT,RKT
GM,GM
UBS,UBS
BBL,BBL
PHG,PHG
ROP,ROP
HCA,HCA
CEO,CEO
ETN,ETN
NGG,NGG
RELX.K,RELX
DD,DD
CP,CP
DLR,DLR
HMC,HMC
EMR,EMR
GD,GD
TRI,TRI
PSA,PSA
TRP,TRP
BMO,BMO
BAX,BAX
PUK,PUK
ABEV.K,ABEV
SNAP.K,SNAP
SMFG.K,SMFG
BCE,BCE
COP,COP
TWTR.K,TWTR
GIS,GIS
IBN,IBN
EPD,EPD
LHX,LHX
CNC,CNC
SCCO.K,SCCO
COF,COF
SRE,SRE
MET,MET
DOW,DOW
RACE.K,RACE
CMG,CMG
CVNA.K,CVNA
TEL,TEL
LVS,LVS
CM,CM
SYY,SYY
APH,APH
BK,BK
CMI,CMI
SAN,SAN
IQV,IQV
A,A
JCI,JCI
PPG,PPG
ES,ES
MFG,MFG
INFO.K,INFO
STZ,STZ
TT,TT
WEC,WEC
STM,STM
ZTO,ZTO
CRH,CRH
ZBH,ZBH
HSY,HSY
WIT,WIT
ALC,ALC
KKR,KKR
BBY,BBY
ING,ING
VFC,VFC
ORAN.K,ORAN
RSG,RSG
F,F
NIO,NIO
TRV,TRV
MSCI.K,MSCI
ALL,ALL
BLL,BLL
PEG,PEG
AMX,AMX
YUM,YUM
KMI,KMI
CHT,CHT
AWK,AWK
E,E
MFC,MFC
CARR.K,CARR
MSI,MSI
DHI,DHI
OTIS.K,OTIS
SWK,SWK
ROK,ROK
PH,PH
W,W
QSR,QSR
ADM,ADM
ED,ED
WCN,WCN
GSX,GSX
AFL,AFL
PRU,PRU
FNV,FNV
HPQ,HPQ
EDU,EDU
PBR,PBR
CLX,CLX
HRL,HRL
KR,KR
AZO,AZO
CHWY.K,CHWY
APTV.K,APTV
PINS.K,PINS
GLW,GLW
TDG,TDG
AIG,AIG
CS,CS
LYB,LYB
RMD,RMD
CHA,CHA
LYG,LYG
RNG,RNG
HLT,HLT
CTVA.K,CTVA
FMS,FMS
MKC,MKC
SLF,SLF
AME,AME
MTD,MTD
MCK,MCK
BFb,BF.B
FCX,FCX
PANW.K,PANW
BCS,BCS
U,U
TME,TME
STT,STT
TU,TU
WMB,WMB
NTR,NTR
PSX,PSX
WELL.K,WELL
DTE,DTE
LUV,LUV
LEN,LEN
CHD,CHD
FTV,FTV
WPM,WPM
K,K
NOK,NOK
YUMC.K,YUMC
AVB,AVB
SLB,SLB
PPL,PPL
WST,WST
EOG,EOG
WY,WY
O,O
FRC,FRC
BSBR.K,BSBR
TSN,TSN
PAYC.K,PAYC
CHU,CHU
EIX,EIX
ETR,ETR
CNQ,CNQ
FLT,FLT
ARE,ARE
AJG,AJG
ITUB.K,ITUB
GWW,GWW
DAL,DAL
SPG,SPG
AMP,AMP
EQR,EQR
AEE,AEE
EC,EC
PBRa,PBR.A
PCG,PCG
AEM,AEM
EFX,EFX
VMC,VMC
BIP,BIP
MPC,MPC
DFS,DFS
TEF,TEF
KEYS.K,KEYS
ABC,ABC
CCC,CCC
SU,SU
FTS,FTS
FCAU.K,FCAU
APO,APO
DB,DB
EPAM.K,EPAM
COO,COO
ROL,ROL
LH,LH
CMS,CMS
CAG,CAG
TLK,TLK
BBVA.K,BBVA
MPLX.K,MPLX
CCEP.K,CCEP
WORK.K,WORK
TDOC.K,TDOC
AMCR.K,AMCR
NWG,NWG
SNN,SNN
LFC,LFC
VLO,VLO
IP,IP
NET,NET
ANET.K,ANET
KSU,KSU
AGR,AGR
TFX,TFX
TRU,TRU
FE,FE
CBRE.K,CBRE
SYF,SYF
BEP,BEP
MLM,MLM
CAJ,CAJ
BBD,BBD
INVH.K,INVH
XYL,XYL
VTR,VTR
BR,BR
IX,IX
DOV,DOV
NVR,NVR
STE,STE
ET,ET
PLTR.K,PLTR
RCI,RCI
ATUS.K,ATUS
GIB,GIB
ELAN.K,ELAN
TYL,TYL
MGA,MGA
DGX,DGX
VAR,VAR
CTLT.K,CTLT
IR,IR
DPZ,DPZ
PEAK.K,PEAK
SKM,SKM
KMX,KMX
MAS,MAS
DRE,DRE
RCL,RCL
BBDO.K,BBDO
NUE,NUE
CPB,CPB
HUBS.K,HUBS
EXR,EXR
SUI,SUI
XPEV.K,XPEV
PXD,PXD
MT,MT
GPC,GPC
BKI,BKI
TIF,TIF
URI,URI
PKI,PKI
BURL.K,BURL
IEX,IEX
PKX,PKX
MAA,MAA
AVTR.K,AVTR
NMR,NMR
KL,KL
ESS,ESS
CAH,CAH
FMC,FMC
MKL,MKL
HIG,HIG
BIO,BIO
CE,CE
KB,KB
SJM,SJM
BRO,BRO
UMC,UMC
BKR,BKR
PAGS.K,PAGS
FSLY.K,FSLY
PHM,PHM
MTB,MTB
J,J
MGP,MGP
CDAY.K,CDAY
DRI,DRI
FMX,FMX
AES,AES
ZEN,ZEN
KEY,KEY
OKE,OKE
GDDY.K,GDDY
FICO.K,FICO
BXP,BXP
AVLR.K,AVLR
GNRC.K,GNRC
HPE,HPE
LDOS.K,LDOS
VICI.K,VICI
IFF,IFF
QGEN.K,QGEN
FDS,FDS
WAT,WAT
WHR,WHR
OSH,OSH
NI_pb,NI$B
RF,RF
LN,LN
FBHS.K,FBHS
DT,DT
CFG,CFG
PBA,PBA
LYV,LYV
EVRG.K,EVRG
MOH,MOH
UI,UI
CRL,CRL
BFa,BF.A
TDY,TDY
SUZ,SUZ
ATHM.K,ATHM
WAB,WAB
ELS,ELS
ATO,ATO
HES,HES
WPC,WPC
SHG,SHG
CNP,CNP
RDY,RDY
BAP,BAP
DNB,DNB
KEP,KEP
EMN,EMN
SAM,SAM
AU,AU
KGC,KGC
OMC,OMC
CNHI.K,CNHI
NTCO.K,NTCO
WRB,WRB
RPM,RPM
GFI,GFI
JHX,JHX
BEN,BEN
VIPS.K,VIPS
IT,IT
BAH,BAH
DVA,DVA
HAL,HAL
ARES.K,ARES
LII,LII
CABO.K,CABO
PKG,PKG
CCK,CCK
LUMN.K,LUMN
RJF,RJF
CCL,CCL
GGG,GGG
AAP,AAP
AVY,AVY
ESTC.K,ESTC
LW,LW
WPP,WPP
MGM,MGM
SNP,SNP
UDR,UDR
L,L
ALLY.K,ALLY
WTRG.K,WTRG
TEVA.K,TEVA
CHGG.K,CHGG
IHG,IHG
NLY,NLY
WRK,WRK
ALB,ALB
OXY,OXY
ALLE.K,ALLE
FNF,FNF
MPW,MPW
MTN,MTN
AYX,AYX
ENIA.K,ENIA
GWRE.K,GWRE
NVTA.K,NVTA
EQH,EQH
CPT,CPT
TTC,TTC
BFAM.K,BFAM
UHS,UHS
BILL.K,BILL
ASX,ASX
AQN,AQN
TREX.K,TREX
PNW,PNW
WU,WU
AOS,AOS
SMG,SMG
RNR,RNR
AMH,AMH
FTCH.K,FTCH
SJR,SJR
LB,LB
WLK,WLK
VIV,VIV
NI,NI
VST,VST
CXO,CXO
GL,GL
