TSM,TSM
BABA.K,BABA
V,V
JPM,JPM
JNJ,JNJ
WMT,WMT
UNH,UNH
BRKb,BRK.B
MA,MA
HD,HD
PG,PG
BAC,BAC
DIS,DIS
NKE,NKE
BRKa,BRK.A
PFE,PFE
LLY,LLY
TM,TM
ORCL.K,ORCL
KO,KO
XOM,XOM
CRM,CRM
VZ,VZ
DHR,DHR
ABT,ABT
ACN,ACN
TMO,TMO
NVS,NVS
ABBV.K,ABBV
WFC,WFC
T,T
CVX,CVX
SHOP.K,SHOP
MRK,MRK
MS,MS
MCD,MCD
NVO,NVO
SAP,SAP
MDT,MDT
UPS,UPS
SE,SE
NEE,NEE
LIN,LIN
PM,PM
BMY,BMY
UL,UL
RY,RY
C,C
UNP,UNP
SCHW.K,SCHW
HDB,HDB
BX,BX
BLK,BLK
BA,BA
AXP,AXP
GS,GS
LOW,LOW
RTX,RTX
TGT,TGT
SQ,SQ
AMT,AMT
SONY.K,SONY
IBM,IBM
SNAP.K,SNAP
TD,TD
EL,EL
TTE,TTE
NOW,NOW
DEO,DEO
HSBC.K,HSBC
DE,DE
CAT,CAT
MMM,MMM
GE,GE
BHP,BHP
CVS,CVS
RIO,RIO
SPGI.K,SPGI
VALE.K,VALE
GSK,GSK
BUD,BUD
LMT,LMT
SYK,SYK
INFY.K,INFY
PLD,PLD
ZTS,ZTS
ANTM.K,ANTM
BAM,BAM
UN,UN
MO,MO
BTI,BTI
BP,BP
USB,USB
RDSa,RDS.A
CCI,CCI
TJX,TJX
SNOW.K,SNOW
FIS,FIS
DUK,DUK
UBER.K,UBER
PNC,PNC
HCA,HCA
ENB,ENB
GM,GM
SHW,SHW
CB,CB
BNS,BNS
CNI,CNI
MMC,MMC
TFC,TFC
DELL.K,DELL
RDSb,RDS.B
COP,COP
COF,COF
NIO,NIO
ABB,ABB
FDX,FDX
CI,CI
ITW,ITW
EW,EW
MCO,MCO
MUFG.K,MUFG
SO,SO
BDX,BDX
CPNG.K,CPNG
WBK,WBK
ICE,ICE
BBL,BBL
TWLO.K,TWLO
IBN,IBN
STLA.K,STLA
SAN,SAN
CL,CL
VMW,VMW
EQNR.K,EQNR
ETN,ETN
