BABA.K,BABA
TSM,TSM
V,V
JNJ,JNJ
WMT,WMT
JPM,JPM
PG,PG
MA,MA
UNH,UNH
DIS,DIS
BRKb,BRK.B
HD,HD
BAC,BAC
VZ,VZ
BRKa,BRK.A
NKE,NKE
KO,KO
TM,TM
NVS,NVS
T,T
MRK,MRK
PFE,PFE
CRM,CRM
ABT,ABT
TMO,TMO
XOM,XOM
ABBV.K,ABBV
ORCL.K,ORCL
CVX,CVX
ACN,ACN
DHR,DHR
MDT,MDT
UL,UL
MCD,MCD
LLY,LLY
SAP,SAP
NEE,NEE
HON,HON
LIN,LIN
UNP,UNP
BMY,BMY
UPS,UPS
C,C
WFC,WFC
MS,MS
SHOP.K,SHOP
HDB,HDB
PM,PM
SNE,SNE
NVO,NVO
RY,RY
TOT,TOT
LOW,LOW
BA,BA
BUD,BUD
IBM,IBM
HSBC.K,HSBC
CHL,CHL
BLK,BLK
SCHW.K,SCHW
RTX,RTX
BHP,BHP
CAT,CAT
TD,TD
RIO,RIO
SQ,SQ
MMM,MMM
GE,GE
SE,SE
NOW,NOW
AXP,AXP
GS,GS
LMT,LMT
GSK,GSK
AMT,AMT
CVS,CVS
TGT,TGT
EL,EL
VALE.K,VALE
DEO,DEO
UBER.K,UBER
SYK,SYK
DE,DE
UN,UN
BTI,BTI
FIS,FIS
TJX,TJX
RDSa,RDS.A
ANTM.K,ANTM
CNI,CNI
ZTS,ZTS
NIO,NIO
BP,BP
SPGI.K,SPGI
MO,MO
SNOW.K,SNOW
CI,CI
INFY.K,INFY
SNAP.K,SNAP
USB,USB
BDX,BDX
BX,BX
BEKE.K,BEKE
RDSb,RDS.B
CB,CB
CL,CL
PLD,PLD
TFC,TFC
FDX,FDX
DUK,DUK
ENB,ENB
PNC,PNC
ITW,ITW
SHW,SHW
BNS,BNS
CCI,CCI
ICE,ICE
SO,SO
ECL,ECL
APD,APD
ABB,ABB
GPN,GPN
BBL,BBL
NSC,NSC
GM,GM
D,D
BAM,BAM
EQNR.K,EQNR
MUFG.K,MUFG
SPOT.K,SPOT
VMW,VMW
UBS,UBS
SAN,SAN
HUM,HUM
HCA,HCA
MMC,MMC
DD,DD
TAK,TAK
WBK,WBK
DELL.K,DELL
PGR,PGR
EW,EW
SCCO.K,SCCO
MCO,MCO
TWLO.K,TWLO
DG,DG
BSX,BSX
NEM,NEM
IBN,IBN
PUK,PUK
PHG,PHG
ETN,ETN
RELX.K,RELX
NOC,NOC
BMO,BMO
WM,WM
COF,COF
EMR,EMR
HMC,HMC
CP,CP
ABEV.K,ABEV
AON,AON
COP,COP
EPD,EPD
KMB,KMB
LVS,LVS
SMFG.K,SMFG
MET,MET
DASH.K,DASH
ROP,ROP
FCX,FCX
GOLD.K,GOLD
DOW,DOW
PBR,PBR
CVNA.K,CVNA
RACE.K,RACE
GD,GD
TWTR.K,TWTR
NGG,NGG
TEL,TEL
PINS.K,PINS
BAX,BAX
CEO,CEO
PLTR.K,PLTR
VEEV.K,VEEV
TRI,TRI
TAL,TAL
APH,APH
E,E
BK,BK
BCE,BCE
ING,ING
CNC,CNC
TRP,TRP
CM,CM
CHWY.K,CHWY
SYY,SYY
LHX,LHX
RKT,RKT
INFO.K,INFO
STZ,STZ
A,A
CMG,CMG
PSA,PSA
U,U
APTV.K,APTV
DLR,DLR
CRH,CRH
BCS,BCS
PH,PH
MSCI.K,MSCI
MFC,MFC
JCI,JCI
TT,TT
GIS,GIS
SRE,SRE
IQV,IQV
STM,STM
BBVA.K,BBVA
TRV,TRV
PPG,PPG
TME,TME
LYG,LYG
CARR.K,CARR
AIG,AIG
CMI,CMI
WIT,WIT
F,F
AMX,AMX
VFC,VFC
SLB,SLB
LU,LU
KKR,KKR
ALL,ALL
RNG,RNG
CS,CS
ZBH,ZBH
ORAN.K,ORAN
PANW.K,PANW
ALC,ALC
TDG,TDG
XPEV.K,XPEV
KMI,KMI
PRU,PRU
LYB,LYB
HPQ,HPQ
EOG,EOG
YUM,YUM
BSBR.K,BSBR
PBRa,PBR.A
AFL,AFL
CNQ,CNQ
HSY,HSY
PSX,PSX
RMD,RMD
HLT,HLT
CTVA.K,CTVA
RSG,RSG
ES,ES
CHT,CHT
ROK,ROK
BLL,BLL
TDOC.K,TDOC
NTR,NTR
ADM,ADM
EDU,EDU
DFS,DFS
OTIS.K,OTIS
MSI,MSI
ITUB.K,ITUB
PEG,PEG
WEC,WEC
MCK,MCK
AME,AME
MTD,MTD
QSR,QSR
SU,SU
SWK,SWK
GLW,GLW
AZO,AZO
MPC,MPC
SPG,SPG
EC,EC
FCAU.K,FCAU
AWK,AWK
LUV,LUV
SLF,SLF
BBY,BBY
NWG,NWG
STT,STT
FRC,FRC
WCN,WCN
MT,MT
WELL.K,WELL
TU,TU
WMB,WMB
DAL,DAL
KEYS.K,KEYS
FMS,FMS
FNV,FNV
MPLX.K,MPLX
CLX,CLX
HRL,HRL
WY,WY
PCG,PCG
KR,KR
ED,ED
YUMC.K,YUMC
PAYC.K,PAYC
WORK.K,WORK
TLK,TLK
W,W
DHI,DHI
BFb,BF.B
FTV,FTV
VLO,VLO
TSN,TSN
DB,DB
CHA,CHA
EIX,EIX
ZTO,ZTO
DTE,DTE
AJG,AJG
MKC,MKC
AMP,AMP
TEF,TEF
BKR,BKR
QS,QS
FLT,FLT
NOK,NOK
ARE,ARE
BBD,BBD
MGA,MGA
NET,NET
CCEP.K,CCEP
AVB,AVB
EFX,EFX
BEPC.K,BEPC
EQR,EQR
WST,WST
ABC,ABC
ANET.K,ANET
PPL,PPL
SYF,SYF
CHD,CHD
GWW,GWW
VMC,VMC
LH,LH
K,K
APO,APO
O,O
UMC,UMC
PXD,PXD
IP,IP
PKX,PKX
ATUS.K,ATUS
FTCH.K,FTCH
BIP,BIP
WPM,WPM
CBRE.K,CBRE
LEN,LEN
CAJ,CAJ
BBDO.K,BBDO
IX,IX
KSU,KSU
ETR,ETR
SNN,SNN
IR,IR
ROL,ROL
VIPS.K,VIPS
RCI,RCI
AEE,AEE
FTS,FTS
TFX,TFX
MLM,MLM
CHU,CHU
CCL,CCL
XYL,XYL
ALB,ALB
OXY,OXY
URI,URI
CCC,CCC
AMCR.K,AMCR
EPAM.K,EPAM
HAL,HAL
DOV,DOV
CNHI.K,CNHI
HES,HES
AEM,AEM
HIG,HIG
VTR,VTR
BR,BR
COO,COO
GIB,GIB
MTB,MTB
ET,ET
TRU,TRU
KEY,KEY
BURL.K,BURL
OKE,OKE
PKI,PKI
CTLT.K,CTLT
TYL,TYL
CAG,CAG
NMR,NMR
NUE,NUE
HUBS.K,HUBS
PAGS.K,PAGS
CMS,CMS
DGX,DGX
UI,UI
STE,STE
AES,AES
CFG,CFG
RF,RF
SKM,SKM
FE,FE
FMX,FMX
LFC,LFC
AVTR.K,AVTR
INVH.K,INVH
WAT,WAT
RCL,RCL
CAH,CAH
ZEN,ZEN
TIF,TIF
VAR,VAR
KB,KB
CE,CE
KMX,KMX
KEP,KEP
LYV,LYV
PEAK.K,PEAK
DRI,DRI
SHG,SHG
FMC,FMC
HPE,HPE
GNRC.K,GNRC
ESS,ESS
MGM,MGM
BAP,BAP
IEX,IEX
DPZ,DPZ
BIO,BIO
WAB,WAB
J,J
GPC,GPC
ELAN.K,ELAN
LDOS.K,LDOS
NVR,NVR
SUZ,SUZ
CDAY.K,CDAY
IT,IT
MKL,MKL
EMN,EMN
MGP,MGP
FICO.K,FICO
MAS,MAS
CPB,CPB
PBA,PBA
OMC,OMC
VIV,VIV
AGR,AGR
EXR,EXR
MAA,MAA
BXP,BXP
DRE,DRE
SUI,SUI
OSH,OSH
WPP,WPP
MOH,MOH
ALLY.K,ALLY
BKI,BKI
ASX,ASX
PKG,PKG
RJF,RJF
TDY,TDY
GDDY.K,GDDY
CVE,CVE
CCK,CCK
SJM,SJM
DVA,DVA
VICI.K,VICI
BRO,BRO
AVY,AVY
BEP,BEP
JHX,JHX
BEN,BEN
L,L
AVLR.K,AVLR
CRL,CRL
LN,LN
NTCO.K,NTCO
CABO.K,CABO
FDS,FDS
ENIA.K,ENIA
CXO,CXO
NI_pb,NI$B
EVRG.K,EVRG
ESTC.K,ESTC
BFa,BF.A
BAH,BAH
GGG,GGG
WRK,WRK
TEVA.K,TEVA
HWM,HWM
QGEN.K,QGEN
LB,LB
IFF,IFF
EQH,EQH
ARES.K,ARES
RDY,RDY
SMG,SMG
CNP,CNP
FBHS.K,FBHS
IHG,IHG
UHS,UHS
SNP,SNP
WPC,WPC
SAM,SAM
KL,KL
YSG,YSG
WRB,WRB
ATO,ATO
ATHM.K,ATHM
WTRG.K,WTRG
FNF,FNF
MTN,MTN
LUMN.K,LUMN
CHGG.K,CHGG
NLY,NLY
WLK,WLK
RPM,RPM
AAP,AAP
DT,DT
XPO,XPO
MPW,MPW
UDR,UDR
LW,LW
WHR,WHR
ELS,ELS
GSX,GSX
SBSW.K,SBSW
CNA,CNA
PHM,PHM
TXT,TXT
AI,AI
BCH,BCH
ALLE.K,ALLE
GWRE.K,GWRE
TTC,TTC
LII,LII
BILL.K,BILL
DNB,DNB
PWR,PWR
TS,TS
DAR,DAR
TECK.K,TECK
FND,FND
GL,GL
MHK,MHK
AU,AU
