BABA.K,BABA
TSM,TSM
V,V
JPM,JPM
JNJ,JNJ
WMT,WMT
MA,MA
UNH,UNH
BRKb,BRK.B
HD,HD
BAC,BAC
PG,PG
DIS,DIS
BRKa,BRK.A
VZ,VZ
XOM,XOM
KO,KO
ORCL.K,ORCL
PFE,PFE
ABT,ABT
TM,TM
T,T
CRM,CRM
NKE,NKE
MRK,MRK
NVS,NVS
CVX,CVX
ABBV.K,ABBV
ACN,ACN
TMO,TMO
LLY,LLY
WFC,WFC
MDT,MDT
DHR,DHR
MCD,MCD
SAP,SAP
HON,HON
UPS,UPS
NEE,NEE
LIN,LIN
UL,UL
UNP,UNP
MS,MS
BMY,BMY
C,C
PM,PM
LOW,LOW
SHOP.K,SHOP
BA,BA
SONY.K,SONY
RY,RY
NVO,NVO
IBM,IBM
CAT,CAT
HDB,HDB
SE,SE
BLK,BLK
SCHW.K,SCHW
TD,TD
RTX,RTX
HSBC.K,HSBC
AXP,AXP
TOT,TOT
DE,DE
GE,GE
MMM,MMM
GS,GS
BUD,BUD
EL,EL
AMT,AMT
SQ,SQ
BHP,BHP
LMT,LMT
RIO,RIO
NOW,NOW
DEO,DEO
UBER.K,UBER
TGT,TGT
CVS,CVS
VALE.K,VALE
SYK,SYK
BX,BX
GSK,GSK
FIS,FIS
ANTM.K,ANTM
SPGI.K,SPGI
UN,UN
BTI,BTI
MO,MO
SNAP.K,SNAP
CI,CI
USB,USB
PLD,PLD
BP,BP
GM,GM
TJX,TJX
ZTS,ZTS
RDSa,RDS.A
CCI,CCI
CNI,CNI
DUK,DUK
DELL.K,DELL
INFY.K,INFY
TFC,TFC
NSC,NSC
ENB,ENB
BNS,BNS
BDX,BDX
PNC,PNC
CB,CB
FDX,FDX
SHW,SHW
CPNG.K,CPNG
ITW,ITW
WBK,WBK
SO,SO
VMW,VMW
MUFG.K,MUFG
CL,CL
BAM,BAM
RDSb,RDS.B
COP,COP
ICE,ICE
SNOW.K,SNOW
HCA,HCA
ABB,ABB
BBL,BBL
MMC,MMC
D,D
ECL,ECL
APD,APD
BEKE.K,BEKE
NIO,NIO
GPN,GPN
EQNR.K,EQNR
TWLO.K,TWLO
COF,COF
MCO,MCO
BSX,BSX
UBS,UBS
EW,EW
PGR,PGR
BMO,BMO
SAN,SAN
HUM,HUM
WM,WM
ETN,ETN
SCCO.K,SCCO
NOC,NOC
MET,MET
EMR,EMR
PUK,PUK
PHG,PHG
STLA.K,STLA
TWTR.K,TWTR
NEM,NEM
TAK,TAK
AON,AON
GD,GD
FCX,FCX
RELX.K,RELX
HMC,HMC
DG,DG
IBN,IBN
EPD,EPD
SPOT.K,SPOT
DOW,DOW
ING,ING
KMB,KMB
PSA,PSA
SMFG.K,SMFG
CP,CP
TRP,TRP
LVS,LVS
CVNA.K,CVNA
DASH.K,DASH
PINS.K,PINS
F,F
TRI,TRI
ABEV.K,ABEV
KKR,KKR
ROP,ROP
NGG,NGG
JCI,JCI
INFO.K,INFO
BAX,BAX
E,E
CM,CM
TEL,TEL
BCS,BCS
LHX,LHX
RKT,RKT
CMG,CMG
DLR,DLR
BCE,BCE
HPQ,HPQ
SYY,SYY
IQV,IQV
SRE,SRE
VEEV.K,VEEV
RACE.K,RACE
DD,DD
BK,BK
PLTR.K,PLTR
MFC,MFC
PPG,PPG
STZ,STZ
PH,PH
LYG,LYG
A,A
TT,TT
APH,APH
GOLD.K,GOLD
AIG,AIG
EOG,EOG
TRV,TRV
RBLX.K,RBLX
MSCI.K,MSCI
PRU,PRU
SPG,SPG
CMI,CMI
GIS,GIS
WIT,WIT
BSMX.K,BSMX
CNC,CNC
KMI,KMI
TAL,TAL
CRH,CRH
APTV.K,APTV
ALC,ALC
CARR.K,CARR
ALL,ALL
ZBH,ZBH
AFL,AFL
LUV,LUV
MFG,MFG
LYB,LYB
SLB,SLB
PATH.K,PATH
IFF,IFF
CTVA.K,CTVA
GLW,GLW
CNQ,CNQ
YUM,YUM
MPC,MPC
PANW.K,PANW
BBVA.K,BBVA
HLT,HLT
STM,STM
VFC,VFC
DHI,DHI
RSG,RSG
ORAN.K,ORAN
PSX,PSX
HSY,HSY
SWK,SWK
ADM,ADM
CHWY.K,CHWY
LU,LU
W,W
AMX,AMX
AZO,AZO
TDG,TDG
PEG,PEG
PXD,PXD
WELL.K,WELL
MT,MT
CHT,CHT
MSI,MSI
MCK,MCK
YSG,YSG
ROK,ROK
SU,SU
NWG,NWG
QSR,QSR
PBR,PBR
NTR,NTR
SLF,SLF
ES,ES
WCN,WCN
AME,AME
WEC,WEC
TME,TME
MTD,MTD
OTIS.K,OTIS
BLL,BLL
FRC,FRC
RMD,RMD
DFS,DFS
BBY,BBY
RNG,RNG
DAL,DAL
AWK,AWK
TSN,TSN
FERG.K,FERG
AMP,AMP
MGA,MGA
VLO,VLO
WMB,WMB
WY,WY
KR,KR
TDOC.K,TDOC
U,U
EDU,EDU
LEN,LEN
STT,STT
EQR,EQR
MPLX.K,MPLX
CBRE.K,CBRE
DTE,DTE
FNV,FNV
KSU,KSU
AVB,AVB
KEYS.K,KEYS
ED,ED
AJG,AJG
CCL,CCL
ARE,ARE
TU,TU
XPEV.K,XPEV
O,O
EC,EC
CCEP.K,CCEP
HRL,HRL
LH,LH
EPAM.K,EPAM
FTV,FTV
CS,CS
TEF,TEF
ABC,ABC
DB,DB
CLX,CLX
WORK.K,WORK
YUMC.K,YUMC
CAJ,CAJ
ZTO,ZTO
ANET.K,ANET
HIG,HIG
FLT,FLT
UMC,UMC
PKX,PKX
NUE,NUE
WST,WST
BFb,BF.B
PBRa,PBR.A
NOK,NOK
EFX,EFX
VMC,VMC
HUBS.K,HUBS
PAYC.K,PAYC
SYF,SYF
ITUB.K,ITUB
OKE,OKE
APO,APO
EIX,EIX
FMS,FMS
NET,NET
URI,URI
MKC,MKC
OXY,OXY
BIP,BIP
TLK,TLK
PPL,PPL
IP,IP
GWW,GWW
PCG,PCG
CHD,CHD
K,K
MLM,MLM
AEE,AEE
BBD,BBD
ETR,ETR
ET,ET
RCL,RCL
BURL.K,BURL
DOV,DOV
IR,IR
FTS,FTS
KMX,KMX
VTR,VTR
HES,HES
HPE,HPE
CNHI.K,CNHI
TFX,TFX
MGM,MGM
BKR,BKR
VIPS.K,VIPS
GNRC.K,GNRC
IX,IX
FE,FE
BBDO.K,BBDO
COO,COO
RF,RF
XYL,XYL
MTB,MTB
KEY,KEY
EXR,EXR
WPM,WPM
RCI,RCI
SKM,SKM
VICI.K,VICI
ESS,ESS
GIB,GIB
INVH.K,INVH
AES,AES
CTLT.K,CTLT
AVTR.K,AVTR
CMS,CMS
TRU,TRU
CFG,CFG
DRI,DRI
WAT,WAT
AMCR.K,AMCR
BR,BR
CAG,CAG
PEAK.K,PEAK
TYL,TYL
KB,KB
LB,LB
STE,STE
CAH,CAH
CE,CE
SUI,SUI
ALLY.K,ALLY
SNN,SNN
MAA,MAA
ALB,ALB
LYV,LYV
SHG,SHG
J,J
UI,UI
RJF,RJF
GPC,GPC
SUZ,SUZ
NVR,NVR
FMX,FMX
OMC,OMC
ROL,ROL
MGP,MGP
ZEN,ZEN
DRE,DRE
DGX,DGX
IEX,IEX
ASX,ASX
HAL,HAL
IT,IT
BXP,BXP
ATUS.K,ATUS
MKL,MKL
FTCH.K,FTCH
AVY,AVY
AEM,AEM
PBA,PBA
CRL,CRL
MAS,MAS
AGR,AGR
TDY,TDY
WPP,WPP
NMR,NMR
WAB,WAB
BIO,BIO
EMN,EMN
LFC,LFC
CLVT.K,CLVT
RLX,RLX
BEPC.K,BEPC
FICO.K,FICO
SAM,SAM
DPZ,DPZ
CPB,CPB
CVE,CVE
JHX,JHX
ARES.K,ARES
PKI,PKI
BEN,BEN
XPO,XPO
FMC,FMC
MOH,MOH
PAGS.K,PAGS
ELAN.K,ELAN
WHR,WHR
EVRG.K,EVRG
SJM,SJM
L,L
CCK,CCK
GDDY.K,GDDY
DT,DT
LDOS.K,LDOS
EQH,EQH
WRB,WRB
LUMN.K,LUMN
DVN,DVN
OSH,OSH
WRK,WRK
FBHS.K,FBHS
BRO,BRO
PHM,PHM
MHK,MHK
HWM,HWM
KEP,KEP
RH,RH
UDR,UDR
CDAY.K,CDAY
SBSW.K,SBSW
PKG,PKG
TXT,TXT
CNP,CNP
RE,RE
PWR,PWR
SJR,SJR
VIV,VIV
CHGG.K,CHGG
SNP,SNP
MPW,MPW
AAP,AAP
GGG,GGG
WPC,WPC
TTM,TTM
FNF,FNF
SNA,SNA
IHG,IHG
SMG,SMG
WSM,WSM
TS,TS
CNA,CNA
MTN,MTN
AGL,AGL
MOS,MOS
ATO,ATO
LII,LII
ELS,ELS
UHS,UHS
QS,QS
BILL.K,BILL
BCH,BCH
TPR,TPR
TTC,TTC
DVA,DVA
NLY,NLY
GPS,GPS
WLK,WLK
BFa,BF.A
RPM,RPM
NTCO.K,NTCO
FDS,FDS
NI_pb,NI$B
LNC,LNC
AVLR.K,AVLR
IVZ,IVZ
IPG,IPG
CPT,CPT
BWA,BWA
ALLE.K,ALLE
QGEN.K,QGEN
ENIA.K,ENIA
UWMC.K,UWMC
TREX.K,TREX
LW,LW
BAP,BAP
SID,SID
