TSM,TSM
BABA.K,BABA
V,V
JPM,JPM
JNJ,JNJ
WMT,WMT
BRKb,BRK.B
UNH,UNH
BAC,BAC
MA,MA
PG,PG
HD,HD
DIS,DIS
BRKa,BRK.A
XOM,XOM
TM,TM
ORCL.K,ORCL
KO,KO
VZ,VZ
PFE,PFE
CRM,CRM
LLY,LLY
NKE,NKE
CVX,CVX
T,T
NVS,NVS
ABBV.K,ABBV
ABT,ABT
WFC,WFC
ACN,ACN
MRK,MRK
TMO,TMO
UPS,UPS
MCD,MCD
MS,MS
DHR,DHR
MDT,MDT
SAP,SAP
C,C
UL,UL
LIN,LIN
SHOP.K,SHOP
PM,PM
UNP,UNP
RY,RY
BMY,BMY
BA,BA
NVO,NVO
NEE,NEE
HDB,HDB
SE,SE
SCHW.K,SCHW
LOW,LOW
IBM,IBM
RTX,RTX
BLK,BLK
AXP,AXP
TD,TD
GS,GS
BUD,BUD
CAT,CAT
TOT,TOT
HSBC.K,HSBC
AMT,AMT
SONY.K,SONY
GE,GE
MMM,MMM
TGT,TGT
DEO,DEO
VALE.K,VALE
BX,BX
CVS,CVS
BHP,BHP
DE,DE
RIO,RIO
EL,EL
LMT,LMT
GSK,GSK
SQ,SQ
SYK,SYK
ANTM.K,ANTM
SNAP.K,SNAP
BP,BP
SPGI.K,SPGI
MO,MO
UBER.K,UBER
NOW,NOW
BTI,BTI
PLD,PLD
GM,GM
FIS,FIS
UN,UN
USB,USB
CCI,CCI
ZTS,ZTS
INFY.K,INFY
CI,CI
RDSa,RDS.A
PNC,PNC
BNS,BNS
ENB,ENB
COP,COP
DELL.K,DELL
TFC,TFC
TJX,TJX
BAM,BAM
DUK,DUK
CNI,CNI
FDX,FDX
WBK,WBK
CB,CB
EQNR.K,EQNR
SHW,SHW
MUFG.K,MUFG
ITW,ITW
SNOW.K,SNOW
SAN,SAN
COF,COF
BDX,BDX
ABB,ABB
HCA,HCA
MMC,MMC
CL,CL
RDSb,RDS.B
NSC,NSC
BMO,BMO
VMW,VMW
SO,SO
APD,APD
CPNG.K,CPNG
STLA.K,STLA
BBL,BBL
MCO,MCO
UBS,UBS
ICE,ICE
D,D
ECL,ECL
