TSM,TSM
JPM,JPM
V,V
BABA.K,BABA
JNJ,JNJ
UNH,UNH
WMT,WMT
BAC,BAC
HD,HD
BRKb,BRK.B
MA,MA
PG,PG
DIS,DIS
CRM,CRM
XOM,XOM
BRKa,BRK.A
ORCL.K,ORCL
NKE,NKE
PFE,PFE
TM,TM
TMO,TMO
LLY,LLY
KO,KO
ACN,ACN
ABT,ABT
CVX,CVX
VZ,VZ
DHR,DHR
MRK,MRK
WFC,WFC
ABBV.K,ABBV
UPS,UPS
NVS,NVS
SE,SE
MS,MS
NVO,NVO
T,T
MCD,MCD
SAP,SAP
BX,BX
SHOP.K,SHOP
NEE,NEE
MDT,MDT
LIN,LIN
LOW,LOW
SCHW.K,SCHW
UNP,UNP
RY,RY
PM,PM
SONY.K,SONY
AXP,AXP
C,C
BLK,BLK
GS,GS
HDB,HDB
UL,UL
TTE,TTE
NOW,NOW
RTX,RTX
TD,TD
AMT,AMT
BMY,BMY
TGT,TGT
HSBC.K,HSBC
BA,BA
SQ,SQ
EL,EL
GE,GE
DEO,DEO
CVS,CVS
IBM,IBM
SPGI.K,SPGI
CAT,CAT
PLD,PLD
ANTM.K,ANTM
DE,DE
MMM,MMM
SYK,SYK
SNOW.K,SNOW
COP,COP
GSK,GSK
RDSa,RDS.A
ZTS,ZTS
BP,BP
BAM,BAM
INFY.K,INFY
CNI,CNI
BUD,BUD
USB,USB
PNC,PNC
LMT,LMT
EQNR.K,EQNR
UN,UN
RDSb,RDS.B
MO,MO
SNAP.K,SNAP
UBER.K,UBER
ENB,ENB
TFC,TFC
MMC,MMC
DELL.K,DELL
BHP,BHP
GM,GM
SHW,SHW
BTI,BTI
RIO,RIO
BNS,BNS
CB,CB
DUK,DUK
TJX,TJX
CCI,CCI
HCA,HCA
FIS,FIS
ICE,ICE
IBN,IBN
COF,COF
CI,CI
EW,EW
MCO,MCO
MUFG.K,MUFG
AON,AON
BMO,BMO
DASH.K,DASH
WBK,WBK
NSC,NSC
BDX,BDX
ITW,ITW
VALE.K,VALE
SAN,SAN
SO,SO
WM,WM
UBS,UBS
NIO,NIO
VMW,VMW
ECL,ECL
KKR,KKR
ABB,ABB
APD,APD
ETN,ETN
CL,CL
STLA.K,STLA
NOC,NOC
FDX,FDX
BSX,BSX
TWLO.K,TWLO
F,F
D,D
HUM,HUM
RELX.K,RELX
ING,ING
TRI,TRI
EMR,EMR
NET,NET
BBL,BBL
PSA,PSA
GD,GD
PUK,PUK
FCX,FCX
PGR,PGR
MET,MET
EOG,EOG
CM,CM
TRP,TRP
MSCI.K,MSCI
EPD,EPD
JCI,JCI
CPNG.K,CPNG
DG,DG
ROP,ROP
INFO.K,INFO
E,E
HMC,HMC
AIG,AIG
CP,CP
CVNA.K,CVNA
CNQ,CNQ
WIT,WIT
PLTR.K,PLTR
SCCO.K,SCCO
VEEV.K,VEEV
PANW.K,PANW
CMG,CMG
IQV,IQV
TWTR.K,TWTR
BK,BK
TEL,TEL
SPG,SPG
SPOT.K,SPOT
SLB,SLB
A,A
BCS,BCS
LYG,LYG
APH,APH
LHX,LHX
PXD,PXD
CARR.K,CARR
RBLX.K,RBLX
BCE,BCE
NEM,NEM
GPN,GPN
NGG,NGG
APTV.K,APTV
DLR,DLR
SMFG.K,SMFG
KMB,KMB
RACE.K,RACE
PRU,PRU
TAK,TAK
MPC,MPC
BBVA.K,BBVA
DOW,DOW
PHG,PHG
KMI,KMI
TT,TT
ABEV.K,ABEV
SRE,SRE
U,U
MSI,MSI
ALC,ALC
RSG,RSG
CNC,CNC
BAX,BAX
DIDI.K,DIDI
STM,STM
HLT,HLT
NTR,NTR
TRV,TRV
SYY,SYY
MFC,MFC
PBR,PBR
AMX,AMX
PH,PH
RMD,RMD
XPEV.K,XPEV
BSMX.K,BSMX
FRC,FRC
PPG,PPG
AFL,AFL
AZO,AZO
ALL,ALL
HUBS.K,HUBS
IFF,IFF
DD,DD
GIS,GIS
HSY,HSY
YUM,YUM
CRH,CRH
EPAM.K,EPAM
DFS,DFS
NWG,NWG
MT,MT
ROK,ROK
ADM,ADM
PSX,PSX
STT,STT
STZ,STZ
TDG,TDG
SU,SU
CBRE.K,CBRE
HPQ,HPQ
WMB,WMB
GOLD.K,GOLD
APO,APO
WCN,WCN
CMI,CMI
OTIS.K,OTIS
MTD,MTD
WELL.K,WELL
AJG,AJG
AMP,AMP
SLF,SLF
MFG,MFG
VLO,VLO
FERG.K,FERG
EFX,EFX
OXY,OXY
RKT,RKT
KEYS.K,KEYS
AVB,AVB
PEG,PEG
LYB,LYB
PAYC.K,PAYC
EQR,EQR
MCK,MCK
NOK,NOK
NUE,NUE
ARE,ARE
DHI,DHI
AWK,AWK
MPLX.K,MPLX
EC,EC
CTVA.K,CTVA
ZBH,ZBH
GLW,GLW
WST,WST
ANET.K,ANET
PINS.K,PINS
CHT,CHT
SWK,SWK
AME,AME
TSN,TSN
GNRC.K,GNRC
LVS,LVS
BBY,BBY
KR,KR
ES,ES
OKE,OKE
BILL.K,BILL
ORAN.K,ORAN
BLL,BLL
TU,TU
O,O
PBRa,PBR.A
WEC,WEC
DB,DB
CHWY.K,CHWY
VFC,VFC
DNA,DNA
LUV,LUV
DVN,DVN
KSU,KSU
ALB,ALB
HES,HES
CSAN.K,CSAN
WY,WY
FNV,FNV
PATH.K,PATH
LH,LH
LEN,LEN
IT,IT
ED,ED
BKR,BKR
TOST.K,TOST
FTV,FTV
ET,ET
TLK,TLK
UMC,UMC
URI,URI
CS,CS
ABC,ABC
DAL,DAL
HIG,HIG
ZTO,ZTO
VMC,VMC
EXR,EXR
YUMC.K,YUMC
BEKE.K,BEKE
BIP,BIP
TEF,TEF
W,W
MLM,MLM
INVH.K,INVH
ARES.K,ARES
DOV,DOV
MGA,MGA
CVE,CVE
IX,IX
CNHI.K,CNHI
MAA,MAA
STE,STE
EIX,EIX
HAL,HAL
ASAN.K,ASAN
XYL,XYL
RF,RF
PCG,PCG
SUI,SUI
AVTR.K,AVTR
HRL,HRL
KEY,KEY
CTLT.K,CTLT
FLT,FLT
MGM,MGM
OWL,OWL
IR,IR
DTE,DTE
CAJ,CAJ
TDOC.K,TDOC
GWW,GWW
PPL,PPL
LYV,LYV
KMX,KMX
WAT,WAT
RNG,RNG
DT,DT
TTM,TTM
ESS,ESS
AEE,AEE
TRU,TRU
CRL,CRL
TYL,TYL
RCL,RCL
BFb,BF.B
BR,BR
CCL,CCL
CFG,CFG
VICI.K,VICI
RJF,RJF
DRE,DRE
FTS,FTS
K,K
ETR,ETR
CHD,CHD
IP,IP
VTR,VTR
COO,COO
FE,FE
TDY,TDY
ITUB.K,ITUB
AGR,AGR
MKC,MKC
PKX,PKX
FMS,FMS
MTB,MTB
GIB,GIB
PKI,PKI
CLX,CLX
KB,KB
HPE,HPE
ROL,ROL
GPC,GPC
CLR,CLR
BIO,BIO
CDAY.K,CDAY
CE,CE
UI,UI
DRI,DRI
PEAK.K,PEAK
BBWI.K,BBWI
SKM,SKM
WPM,WPM
BXP,BXP
FMX,FMX
SHG,SHG
AMC,AMC
BURL.K,BURL
PBA,PBA
AMCR.K,AMCR
CTRA.K,CTRA
MKL,MKL
QSR,QSR
ALLY.K,ALLY
BRO,BRO
J,J
RCI,RCI
DGX,DGX
BBD,BBD
AVY,AVY
CMS,CMS
JHX,JHX
S,S
MOH,MOH
TFX,TFX
WAB,WAB
ATH,ATH
NVR,NVR
DPZ,DPZ
LU,LU
AES,AES
YMM,YMM
IEX,IEX
PWR,PWR
FDS,FDS
UDR,UDR
TXT,TXT
CPT,CPT
VEDL.K,VEDL
MOS,MOS
SNN,SNN
CAG,CAG
ELAN.K,ELAN
ESTC.K,ESTC
CNP,CNP
ELS,ELS
BBDO.K,BBDO
BEN,BEN
AVLR.K,AVLR
WPP,WPP
OMC,OMC
MAS,MAS
ASX,ASX
ZEN,ZEN
NMR,NMR
WPC,WPC
TECK.K,TECK
EVRG.K,EVRG
EMN,EMN
L,L
AAP,AAP
FTCH.K,FTCH
WRB,WRB
BEPC.K,BEPC
CLVT.K,CLVT
IPG,IPG
LDOS.K,LDOS
KIM,KIM
MTN,MTN
LNC,LNC
ACI,ACI
RH,RH
LSPD.K,LSPD
FND,FND
AEM,AEM
EQH,EQH
FNF,FNF
CAH,CAH
TS,TS
GME,GME
GFL,GFL
WSM,WSM
TME,TME
SJM,SJM
FBHS.K,FBHS
VIV,VIV
LUMN.K,LUMN
LFC,LFC
IRM,IRM
SJR,SJR
JLL,JLL
MHK,MHK
CCK,CCK
MRO,MRO
WLK,WLK
ENIA.K,ENIA
AMH,AMH
WRK,WRK
PKG,PKG
WHR,WHR
GLOB.K,GLOB
DAR,DAR
HWM,HWM
TRGP.K,TRGP
GGG,GGG
CLF,CLF
SC,SC
SNP,SNP
PAGS.K,PAGS
QGEN.K,QGEN
IHG,IHG
CF,CF
KEP,KEP
NLY,NLY
RHI,RHI
CNA,CNA
MPW,MPW
BG,BG
PCOR.K,PCOR
WAL,WAL
DOCS.K,DOCS
PHM,PHM
CPB,CPB
ATO,ATO
PNR,PNR
SUZ,SUZ
BLDR.K,BLDR
BAP,BAP
IS,IS
CSL,CSL
KL,KL
VER,VER
EDR,EDR
FMC,FMC
GDDY.K,GDDY
IVZ,IVZ
DVA,DVA
FICO.K,FICO
ALLE.K,ALLE
WTRG.K,WTRG
AFG,AFG
RPM,RPM
CMA,CMA
BKI,BKI
RE,RE
TREX.K,TREX
BAH,BAH
UWMC.K,UWMC
LII,LII
SNA,SNA
SSL,SSL
DKS,DKS
ONON.K,ONON
BFa,BF.A
MMP,MMP
ICL,ICL
TPR,TPR
CABO.K,CABO
OSH,OSH
QS,QS
WOLF.K,WOLF
CUBE.K,CUBE
TFII.K,TFII
PTR,PTR
LEVI.K,LEVI
SCI,SCI
CCJ,CCJ
AEG,AEG
TTC,TTC
LSI,LSI
JEF,JEF
