BABA.K,BABA
AEE,AEE
ZEN,ZEN
PAGS.K,PAGS
VTR,VTR
HIG,HIG
TRU,TRU
DGX,DGX
ET,ET
AVTR.K,AVTR
XYL,XYL
MTB,MTB
TYL,TYL
FE,FE
KEY,KEY
DOV,DOV
AMCR.K,AMCR
AES,AES
RF,RF
BR,BR
INVH.K,INVH
CAG,CAG
PKI,PKI
AEM,AEM
GNRC.K,GNRC
HES,HES
BURL.K,BURL
NVR,NVR
CMS,CMS
PEAK.K,PEAK
STE,STE
NMR,NMR
CFG,CFG
SKM,SKM
SUZ,SUZ
VAR,VAR
LFC,LFC
DRI,DRI
CAH,CAH
HPE,HPE
HAL,HAL
ESS,ESS
MAA,MAA
QS,QS
RCL,RCL
DRE,DRE
EXR,EXR
LYV,LYV
NUE,NUE
MGP,MGP
MGM,MGM
ASX,ASX
LDOS.K,LDOS
WAB,WAB
SHG,SHG
DPZ,DPZ
ALLY.K,ALLY
FMX,FMX
VIV,VIV
BIO,BIO
KB,KB
SUI,SUI
IEX,IEX
CE,CE
CDAY.K,CDAY
PBA,PBA
AGR,AGR
BAP,BAP
MAS,MAS
RJF,RJF
FMC,FMC
GDDY.K,GDDY
VICI.K,VICI
CPB,CPB
TDY,TDY
ESTC.K,ESTC
ATHM.K,ATHM
BXP,BXP
AI,AI
GPC,GPC
ELAN.K,ELAN
MKL,MKL
IT,IT
AVLR.K,AVLR
EMN,EMN
J,J
TTM,TTM
FICO.K,FICO
BKI,BKI
CRL,CRL
KEP,KEP
OMC,OMC
TEVA.K,TEVA
IFF_w,IFFV
WPP,WPP
IFF,IFF
SAM,SAM
SJM,SJM
AVY,AVY
BEN,BEN
PKG,PKG
OSH,OSH
JHX,JHX
QGEN.K,QGEN
SMG,SMG
BRO,BRO
L,L
CHGG.K,CHGG
LN,LN
MPW,MPW
NTCO.K,NTCO
BEP,BEP
LUMN.K,LUMN
YSG,YSG
ARES.K,ARES
MOH,MOH
CABO.K,CABO
DVA,DVA
