BABA.K,BABA
TSM,TSM
V,V
WMT,WMT
JNJ,JNJ
PG,PG
JPM,JPM
UNH,UNH
MA,MA
BRKb,BRK.B
HD,HD
VZ,VZ
DIS,DIS
BAC,BAC
KO,KO
CRM,CRM
BRKa,BRK.A
PFE,PFE
T,T
MRK,MRK
NKE,NKE
ABT,ABT
TM,TM
NVS,NVS
TMO,TMO
ABBV.K,ABBV
ORCL.K,ORCL
DHR,DHR
CVX,CVX
ACN,ACN
MCD,MCD
XOM,XOM
MDT,MDT
NEE,NEE
BMY,BMY
SAP,SAP
UPS,UPS
HON,HON
UNP,UNP
LLY,LLY
LIN,LIN
CHL,CHL
HDB,HDB
LOW,LOW
NVO,NVO
PM,PM
SHOP.K,SHOP
SNE,SNE
BUD,BUD
RY,RY
AMT,AMT
BA,BA
LMT,LMT
IBM,IBM
MS,MS
BLK,BLK
TOT,TOT
C,C
RTX,RTX
HSBC.K,HSBC
WFC,WFC
NOW,NOW
MMM,MMM
GSK,GSK
CAT,CAT
CVS,CVS
AXP,AXP
EL,EL
UN,UN
DEO,DEO
FIS,FIS
TD,TD
SE,SE
SYK,SYK
SCHW.K,SCHW
BTI,BTI
UBER.K,UBER
ANTM.K,ANTM
SPGI.K,SPGI
BEKE.K,BEKE
TGT,TGT
GE,GE
SQ,SQ
CI,CI
DE,DE
ZTS,ZTS
BHP,BHP
RIO,RIO
CNI,CNI
PLD,PLD
GS,GS
MO,MO
UL,UL
CL,CL
CCI,CCI
TJX,TJX
FDX,FDX
BDX,BDX
DUK,DUK
D,D
SO,SO
CB,CB
BX,BX
ITW,ITW
SHW,SHW
USB,USB
SNOW.K,SNOW
INFY.K,INFY
RDSa,RDS.A
TFC,TFC
BP,BP
NSC,NSC
NIO,NIO
SNAP.K,SNAP
VALE.K,VALE
VMW,VMW
ECL,ECL
GM,GM
APD,APD
ENB,ENB
MMC,MMC
HUM,HUM
ABB,ABB
GPN,GPN
BAM,BAM
BNS,BNS
PGR,PGR
ICE,ICE
MUFG.K,MUFG
RDSb,RDS.B
BSX,BSX
TAK,TAK
DG,DG
NEM,NEM
UBS,UBS
PNC,PNC
NOC,NOC
MCO,MCO
WM,WM
EW,EW
HCA,HCA
CEO,CEO
DELL.K,DELL
WBK,WBK
HMC,HMC
PHG,PHG
EQNR.K,EQNR
KMB,KMB
SPOT.K,SPOT
LU,LU
AON,AON
GOLD.K,GOLD
BBL,BBL
ETN,ETN
IBN,IBN
RELX.K,RELX
EMR,EMR
DD,DD
CP,CP
LVS,LVS
NGG,NGG
SAN,SAN
ABEV.K,ABEV
TWLO.K,TWLO
GD,GD
RKT,RKT
PUK,PUK
BMO,BMO
BAX,BAX
SCCO.K,SCCO
ROP,ROP
TRI,TRI
PSA,PSA
SMFG.K,SMFG
LHX,LHX
DLR,DLR
EPD,EPD
MET,MET
RACE.K,RACE
CNC,CNC
VEEV.K,VEEV
COF,COF
TRP,TRP
SRE,SRE
DOW,DOW
PINS.K,PINS
BCE,BCE
COP,COP
GIS,GIS
APH,APH
INFO.K,INFO
SYY,SYY
CVNA.K,CVNA
TEL,TEL
CM,CM
TT,TT
CMG,CMG
CMI,CMI
TWTR.K,TWTR
ING,ING
BK,BK
STZ,STZ
TRV,TRV
ZTO,ZTO
A,A
PPG,PPG
F,F
PH,PH
IQV,IQV
JCI,JCI
CARR.K,CARR
ORAN.K,ORAN
E,E
WEC,WEC
RSG,RSG
MSCI.K,MSCI
ALC,ALC
AIG,AIG
KKR,KKR
HSY,HSY
AMX,AMX
ES,ES
LYG,LYG
PBR,PBR
ZBH,ZBH
RMD,RMD
U,U
YUM,YUM
CRH,CRH
STM,STM
VFC,VFC
BLL,BLL
TDG,TDG
XPEV.K,XPEV
BCS,BCS
MFC,MFC
PEG,PEG
TAL,TAL
CHT,CHT
KMI,KMI
APTV.K,APTV
BBY,BBY
ALL,ALL
MCK,MCK
HLT,HLT
EDU,EDU
FCX,FCX
AWK,AWK
AFL,AFL
SWK,SWK
PRU,PRU
MSI,MSI
WIT,WIT
WCN,WCN
CS,CS
OTIS.K,OTIS
HRL,HRL
MTD,MTD
ROK,ROK
ADM,ADM
TME,TME
PLTR.K,PLTR
GLW,GLW
WELL.K,WELL
ED,ED
QSR,QSR
AME,AME
HPQ,HPQ
CTVA.K,CTVA
AZO,AZO
DHI,DHI
RNG,RNG
TDOC.K,TDOC
CLX,CLX
SLF,SLF
FNV,FNV
CHWY.K,CHWY
LUV,LUV
CHA,CHA
LYB,LYB
DTE,DTE
PSX,PSX
FMS,FMS
SLB,SLB
ITUB.K,ITUB
BBVA.K,BBVA
EOG,EOG
KR,KR
BSBR.K,BSBR
BFb,BF.B
PANW.K,PANW
MPC,MPC
WMB,WMB
EIX,EIX
YUMC.K,YUMC
STT,STT
TU,TU
FTV,FTV
NTR,NTR
CNQ,CNQ
AVB,AVB
DFS,DFS
W,W
PBRa,PBR.A
NWG,NWG
DAL,DAL
FRC,FRC
MKC,MKC
PPL,PPL
SPG,SPG
TSN,TSN
PCG,PCG
K,K
EC,EC
FCAU.K,FCAU
EQR,EQR
PAYC.K,PAYC
AJG,AJG
ARE,ARE
DB,DB
O,O
ABC,ABC
ETR,ETR
AMP,AMP
WY,WY
KEYS.K,KEYS
CHD,CHD
FLT,FLT
GWW,GWW
WST,WST
NOK,NOK
BIP,BIP
SU,SU
TEF,TEF
LEN,LEN
VLO,VLO
TLK,TLK
ANET.K,ANET
MPLX.K,MPLX
WPM,WPM
AEE,AEE
EFX,EFX
NET,NET
CHU,CHU
APO,APO
BBD,BBD
LH,LH
CBRE.K,CBRE
ROL,ROL
FTS,FTS
IP,IP
CAJ,CAJ
VTR,VTR
EPAM.K,EPAM
CMS,CMS
BKR,BKR
AMCR.K,AMCR
VMC,VMC
COO,COO
BEP,BEP
AEM,AEM
RCI,RCI
IX,IX
IR,IR
MGA,MGA
SNN,SNN
BEPC.K,BEPC
TRU,TRU
MT,MT
DOV,DOV
CAG,CAG
SYF,SYF
KSU,KSU
CCEP.K,CCEP
CTLT.K,CTLT
BBDO.K,BBDO
XYL,XYL
ATUS.K,ATUS
PKX,PKX
TFX,TFX
BR,BR
LFC,LFC
CAH,CAH
CCC,CCC
TYL,TYL
GSX,GSX
ESS,ESS
STE,STE
MLM,MLM
DGX,DGX
INVH.K,INVH
HIG,HIG
KB,KB
HUBS.K,HUBS
FE,FE
PEAK.K,PEAK
TIF,TIF
UI,UI
VAR,VAR
RCL,RCL
NVR,NVR
GIB,GIB
KMX,KMX
AGR,AGR
NUE,NUE
VIPS.K,VIPS
FTCH.K,FTCH
AVTR.K,AVTR
DPZ,DPZ
MTB,MTB
EXR,EXR
SKM,SKM
MAA,MAA
CE,CE
DRE,DRE
NMR,NMR
URI,URI
BURL.K,BURL
PXD,PXD
BIO,BIO
CPB,CPB
BKI,BKI
PKI,PKI
FMX,FMX
WORK.K,WORK
IEX,IEX
KEY,KEY
ET,ET
WAT,WAT
MAS,MAS
ZEN,ZEN
SUI,SUI
PAGS.K,PAGS
MKL,MKL
LYV,LYV
RF,RF
GPC,GPC
BXP,BXP
ELAN.K,ELAN
CDAY.K,CDAY
SHG,SHG
IT,IT
FMC,FMC
OKE,OKE
MGP,MGP
LDOS.K,LDOS
DRI,DRI
TDY,TDY
AES,AES
VICI.K,VICI
UMC,UMC
FICO.K,FICO
CNHI.K,CNHI
SJM,SJM
GNRC.K,GNRC
CFG,CFG
J,J
BRO,BRO
HES,HES
WAB,WAB
CNP,CNP
HPE,HPE
ALB,ALB
MOH,MOH
EVRG.K,EVRG
SUZ,SUZ
NTCO.K,NTCO
ATO,ATO
AVLR.K,AVLR
CCK,CCK
MGM,MGM
EMN,EMN
HAL,HAL
OMC,OMC
JHX,JHX
AVY,AVY
FDS,FDS
KEP,KEP
GDDY.K,GDDY
NI_pb,NI$B
PBA,PBA
DVA,DVA
KL,KL
PKG,PKG
BFa,BF.A
WRB,WRB
WPC,WPC
ATHM.K,ATHM
BAH,BAH
IFF,IFF
CABO.K,CABO
CRL,CRL
WPP,WPP
BAP,BAP
WHR,WHR
RPM,RPM
RJF,RJF
FBHS.K,FBHS
L,L
SNP,SNP
DNB,DNB
CCL,CCL
PHM,PHM
SAM,SAM
UDR,UDR
LII,LII
ARES.K,ARES
ELS,ELS
GGG,GGG
ENIA.K,ENIA
UHS,UHS
ALLY.K,ALLY
MTN,MTN
QGEN.K,QGEN
OXY,OXY
WTRG.K,WTRG
OSH,OSH
EQH,EQH
IHG,IHG
LUMN.K,LUMN
RDY,RDY
NLY,NLY
LW,LW
WRK,WRK
ALLE.K,ALLE
AAP,AAP
ASX,ASX
TEVA.K,TEVA
MPW,MPW
BEN,BEN
FNF,FNF
KGC,KGC
BFAM.K,BFAM
PNW,PNW
AU,AU
CXO,CXO
TXT,TXT
DT,DT
CPT,CPT
HWM,HWM
VST,VST
GL,GL
AMH,AMH
PWR,PWR
XPO,XPO
HEIa,HEI.A
PEN,PEN
LB,LB
CNA,CNA
BCH,BCH
AQN,AQN
WLK,WLK
GFI,GFI
NI,NI
TTC,TTC
SNA,SNA
RE,RE
SMG,SMG
GWRE.K,GWRE
BWA,BWA
VIV,VIV
CHGG.K,CHGG
