BABA.K,BABA
TSM,TSM
V,V
JPM,JPM
JNJ,JNJ
MA,MA
WMT,WMT
DIS,DIS
BRKb,BRK.B
UNH,UNH
BAC,BAC
PG,PG
HD,HD
EDU,EDU
XOM,XOM
BRKa,BRK.A
VZ,VZ
KO,KO
NKE,NKE
CVX,CVX
T,T
TM,TM
ORCL.K,ORCL
ABT,ABT
LLY,LLY
PFE,PFE
CRM,CRM
ABBV.K,ABBV
NVS,NVS
MRK,MRK
TMO,TMO
ACN,ACN
WFC,WFC
MDT,MDT
MCD,MCD
MS,MS
C,C
HDB,HDB
DHR,DHR
SAP,SAP
HON,HON
NEE,NEE
UL,UL
UPS,UPS
BA,BA
UNP,UNP
LIN,LIN
BMY,BMY
PM,PM
SHOP.K,SHOP
RY,RY
TOT,TOT
NVO,NVO
SNE,SNE
HSBC.K,HSBC
LOW,LOW
SCHW.K,SCHW
CAT,CAT
GS,GS
AXP,AXP
TD,TD
RTX,RTX
GE,GE
IBM,IBM
DE,DE
BLK,BLK
SE,SE
BHP,BHP
UBER.K,UBER
MMM,MMM
BUD,BUD
EL,EL
SQ,SQ
RIO,RIO
DEO,DEO
LMT,LMT
CVS,CVS
NOW,NOW
RDSa,RDS.A
AMT,AMT
BP,BP
SYK,SYK
FIS,FIS
MO,MO
GSK,GSK
UN,UN
TGT,TGT
VALE.K,VALE
BTI,BTI
BX,BX
CI,CI
SNAP.K,SNAP
SPGI.K,SPGI
GM,GM
ANTM.K,ANTM
CNI,CNI
USB,USB
COP,COP
INFY.K,INFY
TFC,TFC
TJX,TJX
RDSb,RDS.B
CB,CB
BNS,BNS
PNC,PNC
ENB,ENB
PLD,PLD
ZTS,ZTS
MUFG.K,MUFG
DUK,DUK
WBK,WBK
BDX,BDX
FDX,FDX
EQNR.K,EQNR
ITW,ITW
DELL.K,DELL
CCI,CCI
NSC,NSC
NIO,NIO
ICE,ICE
BAM,BAM
CL,CL
SNOW.K,SNOW
BEKE.K,BEKE
SO,SO
BBL,BBL
HCA,HCA
SHW,SHW
ABB,ABB
ECL,ECL
GPN,GPN
SAN,SAN
VMW,VMW
UBS,UBS
TWLO.K,TWLO
APD,APD
MMC,MMC
IBN,IBN
COF,COF
D,D
SCCO.K,SCCO
TAK,TAK
BMO,BMO
STLA.K,STLA
BSX,BSX
PUK,PUK
ETN,ETN
EMR,EMR
MCO,MCO
CEO,CEO
PGR,PGR
MET,MET
HUM,HUM
AON,AON
EW,EW
HMC,HMC
TWTR.K,TWTR
RKT,RKT
SPOT.K,SPOT
WM,WM
PHG,PHG
EPD,EPD
F,F
SMFG.K,SMFG
FCX,FCX
NOC,NOC
CP,CP
GD,GD
ING,ING
DOW,DOW
LVS,LVS
NEM,NEM
RELX.K,RELX
DG,DG
TME,TME
KMB,KMB
PLTR.K,PLTR
TRP,TRP
CVNA.K,CVNA
CM,CM
EOG,EOG
DASH.K,DASH
E,E
JCI,JCI
PINS.K,PINS
TRI,TRI
TEL,TEL
ABEV.K,ABEV
BCS,BCS
PSA,PSA
SLB,SLB
BCE,BCE
MFC,MFC
NGG,NGG
SYY,SYY
AIG,AIG
DD,DD
KKR,KKR
ROP,ROP
CMI,CMI
BK,BK
APTV.K,APTV
TAL,TAL
CMG,CMG
LYG,LYG
INFO.K,INFO
PH,PH
BAX,BAX
TRV,TRV
LHX,LHX
TT,TT
PSX,PSX
STZ,STZ
SRE,SRE
RBLX.K,RBLX
DLR,DLR
VEEV.K,VEEV
MFG,MFG
MPC,MPC
HPQ,HPQ
CNQ,CNQ
CRH,CRH
LU,LU
SPG,SPG
BBVA.K,BBVA
APH,APH
RACE.K,RACE
PRU,PRU
KMI,KMI
A,A
LYB,LYB
IQV,IQV
CNC,CNC
GIS,GIS
GOLD.K,GOLD
WIT,WIT
PPG,PPG
AFL,AFL
CTVA.K,CTVA
HLT,HLT
LUV,LUV
ALC,ALC
ALL,ALL
SU,SU
PXD,PXD
MSCI.K,MSCI
BSMX.K,BSMX
CARR.K,CARR
IFF,IFF
CS,CS
ZBH,ZBH
CHWY.K,CHWY
VLO,VLO
TDG,TDG
ADM,ADM
PANW.K,PANW
ORAN.K,ORAN
NTR,NTR
W,W
NWG,NWG
HSY,HSY
YUM,YUM
STM,STM
VFC,VFC
WELL.K,WELL
SWK,SWK
ROK,ROK
RSG,RSG
DFS,DFS
DAL,DAL
CHT,CHT
AMX,AMX
RNG,RNG
QSR,QSR
SLF,SLF
MSI,MSI
GLW,GLW
DHI,DHI
FRC,FRC
STT,STT
MCK,MCK
PBR,PBR
PEG,PEG
WMB,WMB
OTIS.K,OTIS
AZO,AZO
AME,AME
VIPS.K,VIPS
TDOC.K,TDOC
ES,ES
BBY,BBY
BLL,BLL
U,U
WEC,WEC
EC,EC
OXY,OXY
MPLX.K,MPLX
FERG.K,FERG
TSN,TSN
WCN,WCN
RMD,RMD
TU,TU
MT,MT
KR,KR
MGA,MGA
EQR,EQR
WY,WY
ZTO,ZTO
DB,DB
AMP,AMP
TEF,TEF
HRL,HRL
CCL,CCL
AVB,AVB
CBRE.K,CBRE
YUMC.K,YUMC
BKR,BKR
KEYS.K,KEYS
LEN,LEN
AWK,AWK
MTD,MTD
CCEP.K,CCEP
DTE,DTE
SYF,SYF
AJG,AJG
XPEV.K,XPEV
ED,ED
RLX,RLX
CLX,CLX
FLT,FLT
WORK.K,WORK
TLK,TLK
FTV,FTV
ET,ET
CAJ,CAJ
ITUB.K,ITUB
O,O
ABC,ABC
PCG,PCG
PAYC.K,PAYC
VMC,VMC
LH,LH
OKE,OKE
BFb,BF.B
NOK,NOK
RCL,RCL
ARE,ARE
EIX,EIX
PBRa,PBR.A
BIP,BIP
URI,URI
NET,NET
HES,HES
KMX,KMX
FNV,FNV
IP,IP
HAL,HAL
VTR,VTR
MKC,MKC
MLM,MLM
CNHI.K,CNHI
FMS,FMS
PPL,PPL
EFX,EFX
HUBS.K,HUBS
IX,IX
UI,UI
ANET.K,ANET
GWW,GWW
UMC,UMC
RF,RF
GSX,GSX
IR,IR
KEY,KEY
K,K
APO,APO
MTB,MTB
NUE,NUE
FTCH.K,FTCH
CHD,CHD
EPAM.K,EPAM
WST,WST
GNRC.K,GNRC
HPE,HPE
HIG,HIG
TFX,TFX
KSU,KSU
NMR,NMR
BURL.K,BURL
PKX,PKX
AEE,AEE
BBD,BBD
LYV,LYV
QS,QS
FTS,FTS
DOV,DOV
CFG,CFG
ETR,ETR
COO,COO
FE,FE
AMCR.K,AMCR
MGM,MGM
DRI,DRI
GME,GME
AES,AES
RCI,RCI
XYL,XYL
VICI.K,VICI
CAG,CAG
SUZ,SUZ
ESS,ESS
ALB,ALB
GIB,GIB
NVR,NVR
CTLT.K,CTLT
KB,KB
BBDO.K,BBDO
EXR,EXR
SNN,SNN
ALLY.K,ALLY
WAT,WAT
WPM,WPM
CE,CE
CVE,CVE
TRU,TRU
GPC,GPC
INVH.K,INVH
BXP,BXP
PEAK.K,PEAK
CMS,CMS
CAH,CAH
BR,BR
OMC,OMC
ROL,ROL
IT,IT
PAGS.K,PAGS
SHG,SHG
PBA,PBA
TYL,TYL
J,J
RJF,RJF
VAR,VAR
FMX,FMX
ATUS.K,ATUS
DVN,DVN
SKM,SKM
AVTR.K,AVTR
SUI,SUI
LFC,LFC
EMN,EMN
BEPC.K,BEPC
MKL,MKL
DGX,DGX
WPP,WPP
ELAN.K,ELAN
MAA,MAA
MGP,MGP
STE,STE
ASX,ASX
LB,LB
ZEN,ZEN
LUMN.K,LUMN
IEX,IEX
AVY,AVY
AGR,AGR
DRE,DRE
MAS,MAS
TTM,TTM
CPB,CPB
BAP,BAP
BEN,BEN
TDY,TDY
DT,DT
WAB,WAB
SNP,SNP
ARES.K,ARES
AEM,AEM
EQH,EQH
WRK,WRK
DPZ,DPZ
BIO,BIO
TS,TS
UWMC.K,UWMC
CRL,CRL
FMC,FMC
CLVT.K,CLVT
HWM,HWM
SAM,SAM
PKI,PKI
L,L
WRB,WRB
FICO.K,FICO
LDOS.K,LDOS
PKG,PKG
OSH,OSH
SJM,SJM
CCK,CCK
IHG,IHG
BRO,BRO
KEP,KEP
VIV,VIV
MHK,MHK
MOH,MOH
PHM,PHM
EVRG.K,EVRG
UDR,UDR
WHR,WHR
JHX,JHX
CDAY.K,CDAY
ENIA.K,ENIA
MOS,MOS
GDDY.K,GDDY
SBSW.K,SBSW
CNA,CNA
FBHS.K,FBHS
MPW,MPW
TEVA.K,TEVA
MTN,MTN
NI_pb,NI$B
BCH,BCH
SMG,SMG
DAR,DAR
NLY,NLY
XPO,XPO
WPC,WPC
WLK,WLK
TXT,TXT
TPR,TPR
BWA,BWA
BKI,BKI
BILL.K,BILL
SNA,SNA
FDS,FDS
CHGG.K,CHGG
PWR,PWR
LW,LW
LNC,LNC
FNF,FNF
CNP,CNP
AVLR.K,AVLR
BSAC.K,BSAC
DVA,DVA
BHC,BHC
ATHM.K,ATHM
NTCO.K,NTCO
IVZ,IVZ
AAP,AAP
VEDL.K,VEDL
RPM,RPM
GGG,GGG
IPG,IPG
UHS,UHS
BFa,BF.A
BG,BG
GPS,GPS
CLR,CLR
TECK.K,TECK
ELS,ELS
ATO,ATO
CABO.K,CABO
