BABA.K,BABA
TSM,TSM
V,V
WMT,WMT
JNJ,JNJ
JPM,JPM
PG,PG
MA,MA
UNH,UNH
BRKb,BRK.B
HD,HD
DIS,DIS
VZ,VZ
BAC,BAC
PFE,PFE
KO,KO
BRKa,BRK.A
T,T
NKE,NKE
MRK,MRK
CRM,CRM
NVS,NVS
TM,TM
ABBV.K,ABBV
ABT,ABT
TMO,TMO
XOM,XOM
ORCL.K,ORCL
CVX,CVX
ACN,ACN
DHR,DHR
MCD,MCD
UL,UL
MDT,MDT
HON,HON
SAP,SAP
NEE,NEE
UPS,UPS
LLY,LLY
UNP,UNP
BMY,BMY
SHOP.K,SHOP
BA,BA
LIN,LIN
PM,PM
HDB,HDB
C,C
NVO,NVO
CHL,CHL
WFC,WFC
RY,RY
TOT,TOT
MS,MS
SNE,SNE
BUD,BUD
RTX,RTX
IBM,IBM
LOW,LOW
SNOW.K,SNOW
BLK,BLK
HSBC.K,HSBC
NOW,NOW
SE,SE
TD,TD
LMT,LMT
MMM,MMM
AXP,AXP
AMT,AMT
CAT,CAT
CVS,CVS
SQ,SQ
GE,GE
SCHW.K,SCHW
GSK,GSK
FIS,FIS
UBER.K,UBER
BHP,BHP
DEO,DEO
RIO,RIO
EL,EL
UN,UN
BTI,BTI
SYK,SYK
TGT,TGT
VALE.K,VALE
GS,GS
SPGI.K,SPGI
ANTM.K,ANTM
DE,DE
FDX,FDX
CI,CI
TJX,TJX
MO,MO
CNI,CNI
BEKE.K,BEKE
RDSa,RDS.A
ZTS,ZTS
BX,BX
SNAP.K,SNAP
BP,BP
CL,CL
PLD,PLD
CCI,CCI
BDX,BDX
CB,CB
INFY.K,INFY
USB,USB
ENB,ENB
DUK,DUK
RDSb,RDS.B
SHW,SHW
ITW,ITW
BNS,BNS
SO,SO
TFC,TFC
ECL,ECL
NIO,NIO
BAM,BAM
GM,GM
SPOT.K,SPOT
ICE,ICE
D,D
NSC,NSC
PNC,PNC
VMW,VMW
GPN,GPN
TAK,TAK
APD,APD
MMC,MMC
ABB,ABB
UBS,UBS
MUFG.K,MUFG
EQNR.K,EQNR
SAN,SAN
BBL,BBL
PGR,PGR
HUM,HUM
WBK,WBK
DELL.K,DELL
HCA,HCA
EW,EW
MCO,MCO
DG,DG
TWLO.K,TWLO
HMC,HMC
NOC,NOC
PLTR.K,PLTR
NEM,NEM
WM,WM
BMO,BMO
DD,DD
EMR,EMR
BSX,BSX
IBN,IBN
AON,AON
ETN,ETN
PHG,PHG
SCCO.K,SCCO
RELX.K,RELX
ABEV.K,ABEV
KMB,KMB
EPD,EPD
COP,COP
U,U
CP,CP
CVNA.K,CVNA
LVS,LVS
PUK,PUK
GD,GD
ROP,ROP
PINS.K,PINS
MET,MET
GOLD.K,GOLD
TRP,TRP
COF,COF
RACE.K,RACE
TAL,TAL
NGG,NGG
VEEV.K,VEEV
BCE,BCE
DOW,DOW
SMFG.K,SMFG
CEO,CEO
RKT,RKT
TRI,TRI
APH,APH
BAX,BAX
LHX,LHX
PBR,PBR
TEL,TEL
SYY,SYY
INFO.K,INFO
PSA,PSA
CM,CM
ING,ING
E,E
TWTR.K,TWTR
CNC,CNC
CMG,CMG
STM,STM
DLR,DLR
SRE,SRE
GIS,GIS
LU,LU
F,F
BK,BK
STZ,STZ
A,A
XPEV.K,XPEV
FCX,FCX
MSCI.K,MSCI
PH,PH
MFC,MFC
VFC,VFC
LYG,LYG
PPG,PPG
AIG,AIG
TRV,TRV
KKR,KKR
BCS,BCS
TT,TT
KMI,KMI
BBVA.K,BBVA
APTV.K,APTV
ORAN.K,ORAN
IQV,IQV
TDG,TDG
JCI,JCI
CMI,CMI
AMX,AMX
CHWY.K,CHWY
DASH.K,DASH
SLB,SLB
CARR.K,CARR
CRH,CRH
HPQ,HPQ
ALC,ALC
ALL,ALL
PRU,PRU
AFL,AFL
BSBR.K,BSBR
YUM,YUM
CS,CS
BLL,BLL
HSY,HSY
RNG,RNG
RMD,RMD
WIT,WIT
EOG,EOG
ZBH,ZBH
HLT,HLT
TME,TME
RSG,RSG
CHT,CHT
ES,ES
SPG,SPG
PANW.K,PANW
WEC,WEC
PSX,PSX
LYB,LYB
PBRa,PBR.A
MSI,MSI
ROK,ROK
ZTO,ZTO
GLW,GLW
CNQ,CNQ
MCK,MCK
TDOC.K,TDOC
PEG,PEG
OTIS.K,OTIS
CTVA.K,CTVA
ITUB.K,ITUB
NTR,NTR
SWK,SWK
QSR,QSR
ADM,ADM
LUV,LUV
SU,SU
MTD,MTD
MPC,MPC
AME,AME
EDU,EDU
WELL.K,WELL
WCN,WCN
AWK,AWK
DAL,DAL
NWG,NWG
WMB,WMB
STT,STT
BBY,BBY
SLF,SLF
FNV,FNV
EC,EC
DHI,DHI
PAYC.K,PAYC
NET,NET
HRL,HRL
CLX,CLX
ED,ED
TU,TU
AZO,AZO
DFS,DFS
FCAU.K,FCAU
TSN,TSN
WORK.K,WORK
PCG,PCG
BFb,BF.B
FMS,FMS
W,W
KR,KR
TEF,TEF
DTE,DTE
VLO,VLO
YUMC.K,YUMC
MPLX.K,MPLX
KEYS.K,KEYS
NOK,NOK
DB,DB
AVB,AVB
EIX,EIX
CHA,CHA
MKC,MKC
EQR,EQR
BKR,BKR
FTV,FTV
ARE,ARE
MT,MT
WY,WY
TLK,TLK
AMP,AMP
FRC,FRC
AJG,AJG
EFX,EFX
CBRE.K,CBRE
FLT,FLT
BBD,BBD
PPL,PPL
GWW,GWW
UMC,UMC
CCL,CCL
CHD,CHD
BIP,BIP
K,K
ANET.K,ANET
APO,APO
CCEP.K,CCEP
O,O
ETR,ETR
ABC,ABC
FTCH.K,FTCH
QS,QS
CAJ,CAJ
LEN,LEN
WST,WST
LH,LH
ATUS.K,ATUS
IP,IP
PKX,PKX
BBDO.K,BBDO
VMC,VMC
AEE,AEE
FTS,FTS
WPM,WPM
SYF,SYF
MGA,MGA
PXD,PXD
IX,IX
IR,IR
RCL,RCL
ROL,ROL
TRU,TRU
EPAM.K,EPAM
COO,COO
BEP,BEP
VTR,VTR
RCI,RCI
KSU,KSU
ET,ET
OKE,OKE
AMCR.K,AMCR
TYL,TYL
SNN,SNN
TFX,TFX
OXY,OXY
XYL,XYL
CHU,CHU
AEM,AEM
HUBS.K,HUBS
MLM,MLM
CCC,CCC
DOV,DOV
URI,URI
HAL,HAL
CAG,CAG
VIPS.K,VIPS
GIB,GIB
CMS,CMS
BEPC.K,BEPC
NUE,NUE
BR,BR
UI,UI
DGX,DGX
LFC,LFC
PEAK.K,PEAK
CAH,CAH
PKI,PKI
HIG,HIG
INVH.K,INVH
ESS,ESS
FE,FE
FMX,FMX
KB,KB
HES,HES
MTB,MTB
NMR,NMR
STE,STE
SHG,SHG
SKM,SKM
VAR,VAR
TIF,TIF
PAGS.K,PAGS
BXP,BXP
ZEN,ZEN
AVTR.K,AVTR
KEY,KEY
HPE,HPE
FMC,FMC
CTLT.K,CTLT
KMX,KMX
BURL.K,BURL
BAP,BAP
ALB,ALB
RF,RF
CE,CE
DPZ,DPZ
CFG,CFG
LYV,LYV
MGP,MGP
CNHI.K,CNHI
GSX,GSX
WAT,WAT
FICO.K,FICO
LDOS.K,LDOS
MGM,MGM
GDDY.K,GDDY
IEX,IEX
VIV,VIV
SUI,SUI
PBA,PBA
CDAY.K,CDAY
EXR,EXR
NVR,NVR
CPB,CPB
TDY,TDY
WAB,WAB
DRI,DRI
AVLR.K,AVLR
DRE,DRE
AGR,AGR
J,J
MAA,MAA
AES,AES
ELAN.K,ELAN
EMN,EMN
GPC,GPC
SUZ,SUZ
OMC,OMC
BIO,BIO
BKI,BKI
MKL,MKL
VICI.K,VICI
IT,IT
MAS,MAS
GNRC.K,GNRC
SJM,SJM
BFa,BF.A
FDS,FDS
CCK,CCK
NTCO.K,NTCO
OSH,OSH
PKG,PKG
AVY,AVY
BRO,BRO
MOH,MOH
ESTC.K,ESTC
RJF,RJF
CABO.K,CABO
EVRG.K,EVRG
KEP,KEP
WPP,WPP
ARES.K,ARES
DVA,DVA
IFF,IFF
JHX,JHX
NI_pb,NI$B
ATO,ATO
CNP,CNP
WPC,WPC
CXO,CXO
BAH,BAH
ALLY.K,ALLY
TEVA.K,TEVA
BEN,BEN
ASX,ASX
CRL,CRL
L,L
WRK,WRK
EQH,EQH
UDR,UDR
ENIA.K,ENIA
ATHM.K,ATHM
NLY,NLY
QGEN.K,QGEN
WRB,WRB
MTN,MTN
WHR,WHR
IHG,IHG
WTRG.K,WTRG
FBHS.K,FBHS
SAM,SAM
DT,DT
LB,LB
RPM,RPM
GGG,GGG
KL,KL
LW,LW
YSG,YSG
DNB,DNB
LUMN.K,LUMN
PHM,PHM
RDY,RDY
SNP,SNP
UHS,UHS
FSLY.K,FSLY
ELS,ELS
HWM,HWM
MPW,MPW
TXT,TXT
XPO,XPO
LII,LII
BILL.K,BILL
FNF,FNF
GWRE.K,GWRE
WLK,WLK
ALLE.K,ALLE
AAP,AAP
LNC,LNC
PLAN.K,PLAN
CHGG.K,CHGG
BFAM.K,BFAM
MMP,MMP
SBSW.K,SBSW
PWR,PWR
GL,GL
SMG,SMG
HEIa,HEI.A
CNA,CNA
SNA,SNA
TS,TS
