RNR_pf,RNR$F
NDMO.K,NDMO
GOF,GOF
GS_pk,GS$K
SCHW_pd.K,SCHW$D
CRS,CRS
GME,GME
GES,GES
ERJ,ERJ
CBB,CBB
BRBR.K,BRBR
WFC_pn,WFC$N
AJAX_u.K,AJAX.U
SYF_pa,SYF$A
UHT,UHT
LBRT.K,LBRT
VAPO.K,VAPO
TPRE.K,TPRE
WNC,WNC
APSG_u.K,APSG.U
SXI,SXI
RTP_u,RTP.U
BMA,BMA
EQH_pa,EQH$A
AXL,AXL
AIO,AIO
AC,AC
HCC,HCC
THQ,THQ
EMD,EMD
HY,HY
TRWH.K,TRWH
FTHY.K,FTHY
TPB,TPB
BHE,BHE
OFG,OFG
NKX,NKX
JWS_u,JWS.U
DDD,DDD
WFC_py,WFC$Y
CCX_u,CCX.U
OXM,OXM
GFLU.K,GFLU
CXW,CXW
NLS,NLS
PAM,PAM
HMI,HMI
HUD,HUD
RA,RA
GS_pn,GS$N
EVRI.K,EVRI
CMRE.K,CMRE
GWB,GWB
VLRS.K,VLRS
PHK,PHK
GS_pa,GS$A
IMAX.K,IMAX
IIM,IIM
WIW,WIW
SWT,SWT
GIM,GIM
CYD,CYD
PLT,PLT
DK,DK
CYH,CYH
HTD,HTD
HNGR.K,HNGR
NEE_pn,NEE$N
VGM,VGM
TEN,TEN
LDP,LDP
NIE,NIE
MEG,MEG
AHH,AHH
LL,LL
ONE,ONE
WTRU.K,WTRU
VKQ,VKQ
AIR,AIR
SHI,SHI
CII,CII
HGH,HGH
HZO,HZO
WFC_po,WFC$O
NLY_pf,NLY$F
IGR,IGR
CRY,CRY
WLKP.K,WLKP
CPAC.K,CPAC
IQI,IQI
AGX,AGX
ATH_pb,ATH$B
TREB.K,TREB
TPC,TPC
FBM,FBM
BHLB.K,BHLB
ALL_pg,ALL$G
PACK.K,PACK
ETP_pe,ETP$E
ATH_pc,ATH$C
SPAQ_u.K,SPAQ.U
PFN,PFN
SPAQ.K,SPAQ
WFC_pp,WFC$P
RBAC.K,RBAC
CPG,CPG
CLB,CLB
GOAC.K,GOAC
USB_pp,USB$P
MYD,MYD
WCC_pa,WCC$A
NMCO.K,NMCO
HIO,HIO
CKH,CKH
VTOL.K,VTOL
NID,NID
NP,NP
PPR,PPR
NEW,NEW
ARR,ARR
BFK,BFK
HZAC.K,HZAC
GLT,GLT
RC,RC
SCHW_pc.K,SCHW$C
NX,NX
PCN,PCN
BOE,BOE
MET_pa,MET$A
PDT,PDT
RBAC_u.K,RBAC.U
CLW,CLW
ETJ,ETJ
NBB,NBB
ENVA.K,ENVA
SRI,SRI
AVAN_u.K,AVAN.U
TRTX.K,TRTX
BKD,BKD
BK_pc,BK$C
SRE_pb,SRE$B
VYGG_u.K,VYGG.U
RMAX.K,RMAX
AGM,AGM
BIT,BIT
SCU,SCU
NEE_pk,NEE$K
VCV,VCV
LGFa,LGF.A
NPK,NPK
CLNC.K,CLNC
MUC,MUC
VTA,VTA
BCSF.K,BCSF
MMD,MMD
CEL,CEL
GOAC_u.K,GOAC.U
KYN,KYN
BANC.K,BANC
KNL,KNL
PCPL.K,PCPL
GMRE.K,GMRE
IFFT.K,IFFT
BFS,BFS
SKT,SKT
STT_pg,STT$G
BOAC_u.K,BOAC.U
KEY_pi,KEY$I
UTL,UTL
HFRO.K,HFRO
NXJ,NXJ
RF_pb,RF$B
CFXA.K,CFXA
AGRO.K,AGRO
ATEN.K,ATEN
MVF,MVF
AMBC.K,AMBC
AXS_pe,AXS$E
CAPL.K,CAPL
IHC,IHC
EOI,EOI
RF_pc,RF$C
HZAC_u.K,HZAC.U
INN,INN
UMH,UMH
WLL,WLL
KODK.K,KODK
ARCH.K,ARCH
HIX,HIX
TREB_u.K,TREB.U
AIG_pa,AIG$A
TBI,TBI
CIR,CIR
TFC_po,TFC$O
VVR,VVR
EFC,EFC
MUI,MUI
MS_pl,MS$L
ACCO.K,ACCO
MMU,MMU
GEL,GEL
PSA_pl,PSA$L
BGY,BGY
CMO,CMO
ELAT.K,ELAT
UZD,UZD
DBD,DBD
SBE,SBE
STNG.K,STNG
ALL_pb,ALL$B
BGB,BGB
USB_pa,USB$A
GHY,GHY
MSGN.K,MSGN
COF_ph,COF$H
ECOM.K,ECOM
MPX,MPX
FF,FF
BCX,BCX
PROS.K,PROS
DFP,DFP
PBF,PBF
RAD,RAD
BLW,BLW
DUKH.K,DUKH
CARS.K,CARS
COE,COE
COF_pf,COF$F
REVG.K,REVG
BY,BY
TFC_pg,TFC$G
BLX,BLX
LEO,LEO
RES,RES
USB_po,USB$O
GLP,GLP
LGVW.K,LGVW
FRC_pk,FRC$K
NQP,NQP
VGAC_u.K,VGAC.U
JHB,JHB
HZON_u.K,HZON.U
ACIC_u.K,ACIC.U
IPOD_u.K,IPOD.U
HPS,HPS
MFL,MFL
EVN,EVN
MYN,MYN
MCA,MCA
EFT,EFT
MUA,MUA
NTST.K,NTST
LOMA.K,LOMA
JPI,JPI
MYE,MYE
IVR,IVR
PBFX.K,PBFX
SRG,SRG
MQY,MQY
FVAC.K,FVAC
TFC_ph,TFC$H
BME,BME
TG,TG
CO,CO
KEY_pk,KEY$K
MNRL.K,MNRL
EXK,EXK
AVK,AVK
CAF,CAF
DESP.K,DESP
HPI,HPI
BBAR.K,BBAR
KOP,KOP
LEAP_u.K,LEAP.U
DIAX.K,DIAX
SBE_u,SBE.U
ACB,ACB
NLY_pd,NLY$D
GBAB.K,GBAB
MX,MX
CSV,CSV
TALO.K,TALO
FSD,FSD
QTS_pb,QTS$B
TFC_pf,TFC$F
CFG_pe,CFG$E
DNOW.K,DNOW
PPT,PPT
CAI,CAI
JFR,JFR
KEY_pj,KEY$J
PACE_u.K,PACE.U
IGD,IGD
DSU,DSU
MDP,MDP
SEAH_u.K,SEAH.U
ISD,ISD
TCS,TCS
RIG,RIG
EFR,EFR
VEC,VEC
DFIN.K,DFIN
IFN,IFN
PCPL_u.K,PCPL.U
ACND.K,ACND
NAT,NAT
PMO,PMO
CEQP_p.K,CEQP$
SCE_pl,SCE$L
JIH,JIH
MIN,MIN
GTS,GTS
KNOP.K,KNOP
KOS,KOS
FUSE.K,FUSE
KTF,KTF
MNR_pc,MNR$C
REX,REX
GPRK.K,GPRK
CCO,CCO
FVAC_u.K,FVAC.U
STPK.K,STPK
SI,SI
LPG,LPG
EHI,EHI
GUT,GUT
PKO,PKO
SFTW_u.K,SFTW.U
ACND_u.K,ACND.U
YAC,YAC
FAII.K,FAII
DEH,DEH
NHF,NHF
FMAC_u.K,FMAC.U
RZA,RZA
ENPC_u.K,ENPC.U
LGVW_u.K,LGVW.U
WOW,WOW
EQD_u,EQD.U
BFZ,BFZ
NCV,NCV
MHN,MHN
SGU,SGU
NAN,NAN
BML_pl,BML$L
QVCC.K,QVCC
ETH,ETH
HVT,HVT
THW,THW
BTO,BTO
MUJ,MUJ
SPNV_u.K,SPNV.U
BZH,BZH
EBF,EBF
HQL,HQL
RPT,RPT
TWND.K,TWND
FRA,FRA
MIY,MIY
JCAP.K,JCAP
AVD,AVD
ASIX.K,ASIX
NLY_pi,NLY$I
CUBI.K,CUBI
VVI,VVI
ERF,ERF
IMPX_u.K,IMPX.U
AEL_pa,AEL$A
ARA,ARA
HMLP.K,HMLP
SCE_pg,SCE$G
CTT,CTT
SBR,SBR
SFTW.K,SFTW
DPG,DPG
BUI,BUI
BKT,BKT
MUX,MUX
AFB,AFB
PUMP.K,PUMP
VHC,VHC
VHI,VHI
NVGS.K,NVGS
NGA,NGA
VET,VET
DX,DX
TRNE.K,TRNE
FINV.K,FINV
CPF,CPF
HCI,HCI
HIG_pg,HIG$G
SRLP.K,SRLP
ESGC.K,ESGC
PMM,PMM
ARLO.K,ARLO
ASA,ASA
HPF,HPF
AWP,AWP
PMX,PMX
BCEI.K,BCEI
BYM,BYM
DCO,DCO
DLR_pl,DLR$L
EDD,EDD
SOAC.K,SOAC
GPMT.K,GPMT
NEX,NEX
NGL,NGL
BBDC.K,BBDC
RFP,RFP
JIH_u,JIH.U
NEV,NEV
INSW.K,INSW
RPLA.K,RPLA
SNV_pe,SNV$E
PARR.K,PARR
DSM,DSM
TRC,TRC
PSA_pe,PSA$E
WIA,WIA
NLY_pg,NLY$G
LXFR.K,LXFR
LEJU.K,LEJU
KKR_pa,KKR$A
FUSE_u.K,FUSE.U
DNK,DNK
GATO.K,GATO
MCR,MCR
BXG,BXG
DMYD.K,DMYD
PZN,PZN
OII,OII
SNPR_u.K,SNPR.U
NNN_pf,NNN$F
UVE,UVE
ALUS.K,ALUS
HLX,HLX
SAN_pb,SAN$B
ZTR,ZTR
LDL,LDL
ORC,ORC
STPK_u.K,STPK.U
ETB,ETB
TPGY_u.K,TPGY.U
FI,FI
MLR,MLR
YAC_u,YAC.U
MMT,MMT
TEI,TEI
UZA,UZA
FAII_u.K,FAII.U
DEH_u,DEH.U
THR,THR
QD,QD
VOYA_pb.K,VOYA$B
AIZP.K,AIZP
GBL,GBL
MBI,MBI
STK,STK
PMF,PMF
FLNG.K,FLNG
BLE,BLE
ETP_pd,ETP$D
HEXO.K,HEXO
DBI,DBI
RMT,RMT
CCAC.K,CCAC
CPSR.K,CPSR
OIA,OIA
ETP_pc,ETP$C
CLDT.K,CLDT
KCAC.K,KCAC
OPY,OPY
MEN,MEN
PSA_pd,PSA$D
TWND_u.K,TWND.U
TRNE_u.K,TRNE.U
MRC,MRC
TGI,TGI
CEPU.K,CEPU
PCQ,PCQ
RMM,RMM
TGS,TGS
LGC_u,LGC.U
NPTN.K,NPTN
FRC_pi,FRC$I
CAL,CAL
DMYT.K,DMYT
VPG,VPG
NGA_u,NGA.U
PUK_pa,PUK$A
MYJ,MYJ
TPVG.K,TPVG
LC,LC
CURO.K,CURO
PIAI_u.K,PIAI.U
ARES_pa.K,ARES$A
HIGA_u.K,HIGA.U
HYI,HYI
ALL_pi,ALL$I
PSA_ph,PSA$H
USX,USX
JRI,JRI
JRO,JRO
APO_pb,APO$B
OOMA.K,OOMA
CFG_pd,CFG$D
SOAC_u.K,SOAC.U
CIA,CIA
MOD,MOD
TNK,TNK
VNO_pm,VNO$M
PSA_pg,PSA$G
AMOV.K,AMOV
OLP,OLP
ETO,ETO
PSB_pz,PSB$Z
JGH,JGH
BAC_pe,BAC$E
AEL_pb,AEL$B
NCZ,NCZ
GRAM.K,GRAM
MSB,MSB
PFL,PFL
DTJ,DTJ
NMY,NMY
BQ,BQ
WTTR.K,WTTR
HPX,HPX
PRE_ph,PRE$H
IPV,IPV
EOT,EOT
PSA_pb,PSA$B
TDJ,TDJ
BKK,BKK
RPLA_u.K,RPLA.U
SOR,SOR
BSN_u,BSN.U
SNR,SNR
FIV,FIV
HBB,HBB
ASAQ.K,ASAQ
ACRE.K,ACRE
RFI,RFI
XPOA_u.K,XPOA.U
PLYM.K,PLYM
VNO_pk,VNO$K
ALUS_u.K,ALUS.U
CLNY_pi.K,CLNY$I
PSA_pi,PSA$I
PDAC_u.K,PDAC.U
FPH,FPH
PSF,PSF
DTY,DTY
PSA_pf,PSA$F
MQT,MQT
DMYD_u.K,DMYD.U
ASG,ASG
MYC,MYC
KIO,KIO
CHN,CHN
MVT,MVT
YRD,YRD
SXC,SXC
DL,DL
JWb,JW.B
RMG,RMG
UFI,UFI
IACA.K,IACA
MUE,MUE
FFA,FFA
VNO_pl,VNO$L
PCK,PCK
PIC,PIC
NRZ_pc,NRZ$C
NCA,NCA
AHL_pc,AHL$C
CCAC_u.K,CCAC.U
CPLG.K,CPLG
TVC,TVC
NUM,NUM
APO_pa,APO$A
AMC,AMC
SCVX.K,SCVX
RLJ_pa,RLJ$A
CAAP.K,CAAP
SCE_pj,SCE$J
ARDC.K,ARDC
ASPN.K,ASPN
VPV,VPV
FCT,FCT
FOF,FOF
DBL,DBL
TVE,TVE
HTZ,HTZ
MTL,MTL
MOGU.K,MOGU
DMYT_u.K,DMYT.U
CPSR_u.K,CPSR.U
UBA,UBA
HRTG.K,HRTG
RNR_pe,RNR$E
AMH_pd,AMH$D
NUO,NUO
GNK,GNK
SR_pa,SR$A
KIM_pm,KIM$M
CIO,CIO
CTK,CTK
ALP_pq,ALP$Q
APTS.K,APTS
STG,STG
TSI,TSI
CSPR.K,CSPR
PEO,PEO
MHI,MHI
CPS,CPS
GCO,GCO
BKN,BKN
EMP,EMP
RCS,RCS
NXP,NXP
LOAK.K,LOAK
CLNY_pj.K,CLNY$J
MTW,MTW
SCE_pk,SCE$K
IACA_u.K,IACA.U
NXQ,NXQ
CMCM.K,CMCM
NPV,NPV
ACV,ACV
RFL,RFL
CIM_pb,CIM$B
MFM,MFM
SOI,SOI
GPM,GPM
MOV,MOV
ODC,ODC
EMF,EMF
NRGX.K,NRGX
MAV,MAV
PUK_p,PUK$
RYI,RYI
REV,REV
GIK,GIK
LCI,LCI
WRB_pg,WRB$G
BGH,BGH
CTAC_u.K,CTAC.U
VRS,VRS
WSR,WSR
NS_pb,NS$B
IPV_u,IPV.U
AONE.K,AONE
IVC,IVC
BML_ph,BML$H
OAC,OAC
RVI,RVI
HPX_u,HPX.U
AHL_pd,AHL$D
GF,GF
OACB_u.K,OACB.U
PSA_pn,PSA$N
DUC,DUC
NGVC.K,NGVC
BGT,BGT
FINS.K,FINS
OAK_pb,OAK$B
GDO,GDO
AEB,AEB
GHL,GHL
FST,FST
ASAQ_u.K,ASAQ.U
EMPW_u.K,EMPW.U
ATAC_u.K,ATAC.U
NUW,NUW
PHD,PHD
LITB.K,LITB
AHL_pe,AHL$E
RMG_u,RMG.U
CLNY_ph.K,CLNY$H
MTT,MTT
SCVX_u.K,SCVX.U
FGNA_u.K,FGNA.U
GSH,GSH
PIC_u,PIC.U
SCE_ph,SCE$H
PSA_pj,PSA$J
GLOG.K,GLOG
DMB,DMB
PSB_px,PSB$X
CLA,CLA
RICE_u.K,RICE.U
RYAM.K,RYAM
TWO_pb,TWO$B
ASPL_u.K,ASPL.U
ECC,ECC
IDT,IDT
DMS,DMS
MCI,MCI
CMO_pe,CMO$E
AMH_pe,AMH$E
UMH_pc,UMH$C
NOA,NOA
VRTV.K,VRTV
FEI,FEI
IVR_pc,IVR$C
BWG,BWG
JOF,JOF
VTN,VTN
KIM_pl,KIM$L
JE,JE
SLG_pi,SLG$I
LOAK_u.K,LOAK.U
DLR_pk,DLR$K
MCS,MCS
FC,FC
NSH_u,NSH.U
CLII_u.K,CLII.U
TUFN.K,TUFN
SCPE.K,SCPE
BXC,BXC
SBG_u,SBG.U
TDW,TDW
TDE,TDE
AL_pa,AL$A
IIF,IIF
LND,LND
TWO_pc,TWO$C
NSA_pa,NSA$A
DSSI.K,DSSI
CINR.K,CINR
INSI.K,INSI
GTT,GTT
KRP,KRP
PHT,PHT
VBF,VBF
BMRG.K,BMRG
RM,RM
PZC,PZC
GIX,GIX
NRZ_pb,NRZ$B
MCB,MCB
ALTG.K,ALTG
IGI,IGI
ETX,ETX
EVF,EVF
CNF,CNF
GNE,GNE
SPXX.K,SPXX
PSA_pk,PSA$K
JCO,JCO
PKE,PKE
GIK_u,GIK.U
DFNS.K,DFNS
SF_pc,SF$C
NL,NL
MHD,MHD
FLC,FLC
DAC,DAC
NXR,NXR
OAC_u,OAC.U
QEP,QEP
MGU,MGU
BRT,BRT
SRT,SRT
EVG,EVG
WTI,WTI
AONE_u.K,AONE.U
JRS,JRS
DLR_pj,DLR$J
VIAO.K,VIAO
PSB_py,PSB$Y
DLR_pc,DLR$C
FRC_ph,FRC$H
BML_pj,BML$J
EP_pc,EP$C
NSCO.K,NSCO
ATCO_ph.K,ATCO$H
PIM,PIM
PSA_pm,PSA$M
ELJ,ELJ
BEP_pa,BEP$A
SNV_pd,SNV$D
BIP_pa,BIP$A
PSA_pc,PSA$C
MLP,MLP
EHT,EHT
CIT_pb,CIT$B
SAR,SAR
EFL,EFL
BXP_pb,BXP$B
GAM_pb,GAM$B
ETM,ETM
BMRG_u.K,BMRG.U
TCI,TCI
PDS,PDS
TYG,TYG
FST_u,FST.U
NTP,NTP
LGI,LGI
OCN,OCN
KMF,KMF
CLA_u,CLA.U
MIXT.K,MIXT
PSB_pw,PSB$W
JCE,JCE
AFT,AFT
VNTR.K,VNTR
TDA,TDA
DHF,DHF
RGS,RGS
CRDa,CRD.A
IVH,IVH
BSL,BSL
GS_pc,GS$C
SJIU.K,SJIU
NBR,NBR
IHIT.K,IHIT
PFD,PFD
MFA_pc,MFA$C
FPI,FPI
CIM_pc,CIM$C
HYB,HYB
MR,MR
OAK_pa,OAK$A
PANA.K,PANA
ATCO_pg.K,ATCO$G
SLCA.K,SLCA
CPE,CPE
PRE_pi,PRE$I
BGIO.K,BGIO
HT,HT
OPP,OPP
NIQ,NIQ
DDT,DDT
SCPE_u.K,SCPE.U
TLYS.K,TLYS
DFNS_u.K,DFNS.U
MYF,MYF
FLY,FLY
GRX,GRX
MPA,MPA
ENR_pa,ENR$A
MFAC_u.K,MFAC.U
NSL,NSL
NYCB_pu.K,NYCB$U
TK,TK
AIF,AIF
MOGb,MOG.B
MEC,MEC
PMT_pb,PMT$B
JHS,JHS
HOV,HOV
XYF,XYF
EOD,EOD
BTE,BTE
CTA_pb,CTA$B
TWN,TWN
AJX,AJX
BH,BH
TWI,TWI
IRS,IRS
SRC_pa,SRC$A
SCD,SCD
AT,AT
VIST.K,VIST
PSTL.K,PSTL
EEX,EEX
WEI,WEI
JTD,JTD
BNY,BNY
TWO_pe,TWO$E
PMVC_u.K,PMVC.U
TISI.K,TISI
TFC_pi,TFC$I
GCI,GCI
CEM,CEM
FT,FT
MSD,MSD
TRTN_pc.K,TRTN$C
TMST.K,TMST
FTK,FTK
NAZ,NAZ
GLEO.K,GLEO
GPX,GPX
IDE,IDE
SITC_pa.K,SITC$A
GIX_u,GIX.U
PRTY.K,PRTY
BEDU.K,BEDU
TCO_pj,TCO$J
OSG,OSG
NS_pa,NS$A
ANH,ANH
PRE_pg,PRE$G
BGR,BGR
MUS,MUS
ESTE.K,ESTE
MUH,MUH
SOL,SOL
BBK,BBK
FIF,FIF
CCZ,CCZ
AHH_pa,AHH$A
CBH,CBH
FDEU.K,FDEU
GLOP.K,GLOP
KKR_pb,KKR$B
AMH_pf,AMH$F
MFA_pb,MFA$B
SM,SM
SF_pb,SF$B
ACP,ACP
PANA_u.K,PANA.U
FMN,FMN
FHN_pe,FHN$E
WBS_pf,WBS$F
UTI,UTI
MXF,MXF
BGX,BGX
CHMI.K,CHMI
SCM,SCM
BTA,BTA
GGT,GGT
CIM_pd,CIM$D
BXS_pa,BXS$A
TGP_pb,TGP$B
JPT,JPT
MHF,MHF
GGM,GGM
FRT_pc,FRT$C
CULP.K,CULP
WEA,WEA
KF,KF
FRC_pg,FRC$G
OIS,OIS
SF_pa,SF$A
SUPV.K,SUPV
CBB_pb,CBB$B
NRP,NRP
GNL_pa,GNL$A
MGF,MGF
NNY,NNY
FPI_pb,FPI$B
EVC,EVC
TEAF.K,TEAF
TCO_pk,TCO$K
CXE,CXE
TREC.K,TREC
LEAF.K,LEAF
SPLP_pa.K,SPLP$A
ASGI.K,ASGI
TRTN_pd.K,TRTN$D
PFO,PFO
ARGD.K,ARGD
TNP,TNP
JDD,JDD
HZN,HZN
GLEO_u.K,GLEO.U
PAI,PAI
IGA,IGA
LGC,LGC
NGL_pb,NGL$B
NYC,NYC
CSLT.K,CSLT
CRDb,CRD.B
SITC_pk.K,SITC$K
EQC_pd,EQC$D
DMO,DMO
CATO.K,CATO
NMK_pb,NMK$B
SALT.K,SALT
SJT,SJT
INN_pe,INN$E
SPLP.K,SPLP
CTRA.K,CTRA
GHM,GHM
EZT,EZT
MNP,MNP
HFRO_pa.K,HFRO$A
EARN.K,EARN
GDL_pc,GDL$C
ATCO_pi.K,ATCO$I
NMT,NMT
CVEO.K,CVEO
NC,NC
WFC_pt,WFC$T
NS_pc,NS$C
EMO,EMO
RGT,RGT
MVC,MVC
PEB_pf,PEB$F
SQNS.K,SQNS
CIM_pa,CIM$A
BBF,BBF
RIV,RIV
ATCO_pe.K,ATCO$E
NRZ_pa,NRZ$A
EXTN.K,EXTN
BVH,BVH
NIM,NIM
RMI,RMI
CHS,CHS
ARL,ARL
WBAI.K,WBAI
CEE,CEE
IVR_pb,IVR$B
IPI,IPI
AGM_pf,AGM$F
QUAD.K,QUAD
TWO_pa,TWO$A
TRTN_pb.K,TRTN$B
BTU,BTU
COF_pk,COF$K
IHD,IHD
BAF,BAF
NKG,NKG
ARR_pc,ARR$C
TGP_pa,TGP$A
SFE,SFE
FNB_pe,FNB$E
AMH_ph,AMH$H
RFM,RFM
SBI,SBI
DTF,DTF
MCN,MCN
VGI,VGI
GDL,GDL
HEQ,HEQ
GSL,GSL
NGLS_pa.K,NGLS$A
IVR_pa,IVR$A
JSD,JSD
FAM,FAM
AMH_pg,AMH$G
HGLB.K,HGLB
DSX,DSX
STAR_pi.K,STAR$I
NGS,NGS
CMU,CMU
WMC,WMC
ATCO_pd.K,ATCO$D
KSM,KSM
ATTO.K,ATTO
QTS_pa,QTS$A
DCF,DCF
APRN.K,APRN
TDI,TDI
HT_pd,HT$D
BW,BW
DRH_pa,DRH$A
NCZ_pa,NCZ$A
MPV,MPV
PNI,PNI
MFT,MFT
SHO_pe,SHO$E
PCM,PCM
CMRE_pe.K,CMRE$E
TAPa,TAP.A
LXP_pc,LXP$C
DCP_pb,DCP$B
MTL_p,MTL$
MG,MG
PEB_pc,PEB$C
WPG,WPG
HIE,HIE
UBP_ph,UBP$H
HMLP_pa.K,HMLP$A
ALIN_pa.K,ALIN$A
JEQ,JEQ
EFF,EFF
PEB_pd,PEB$D
AGD,AGD
AGS,AGS
CIO_pa,CIO$A
PMT_pa,PMT$A
ASB_pf,ASB$F
AGO_pb,AGO$B
LAIX.K,LAIX
AGM_pd,AGM$D
IRET_pc.K,IRET$C
GAB_ph,GAB$H
GAB_pk,GAB$K
HCHC.K,HCHC
CEIX.K,CEIX
JTA,JTA
MITT.K,MITT
EPR_pg,EPR$G
DTLA_p.K,DTLA$
NCV_pa,NCV$A
BNED.K,BNED
EDF,EDF
DEX,DEX
DX_pb,DX$B
STON.K,STON
DS,DS
TNP_pf,TNP$F
GDV_pg,GDV$G
DLNG.K,DLNG
NMI,NMI
PINE.K,PINE
SWZ,SWZ
NXC,NXC
ASB_pd,ASB$D
VCIF.K,VCIF
JLS,JLS
PBT,PBT
BANC_pe.K,BANC$E
FHN_pa,FHN$A
ELU,ELU
NMK_pc,NMK$C
FENG.K,FENG
FHN_pd,FHN$D
STAR_pd.K,STAR$D
GCV,GCV
JEMD.K,JEMD
EPR_pc,EPR$C
ELVT.K,ELVT
XIN,XIN
CLPR.K,CLPR
BANC_pd.K,BANC$D
SPE,SPE
BFS_pe,BFS$E
CDR_pc,CDR$C
GNT,GNT
CMRE_pd.K,CMRE$D
BSD,BSD
LPI,LPI
PEB_pe,PEB$E
ALIN_pb.K,ALIN$B
DHX,DHX
FPL,FPL
NWHM.K,NWHM
CMRE_pc.K,CMRE$C
FSLF.K,FSLF
CODI_pc.K,CODI$C
MFO,MFO
IAE,IAE
NTG,NTG
CODI_pb.K,CODI$B
ASC,ASC
EPR_pe,EPR$E
UBP_pk,UBP$K
GGZ,GGZ
REXR_pa.K,REXR$A
RENN.K,RENN
JT,JT
AGMa,AGM.A
ALIN_pe.K,ALIN$E
TLI,TLI
BHa,BH.A
SB,SB
SFUN.K,SFUN
ENZ,ENZ
XFLT.K,XFLT
BORR.K,BORR
TNP_pe,TNP$E
AAIC.K,AAIC
RRD,RRD
DX_pc,DX$C
TSQ,TSQ
CODI_pa.K,CODI$A
EXD,EXD
NMS,NMS
BML_pg,BML$G
PGP,PGP
CDR,CDR
UBP,UBP
PNF,PNF
JAX,JAX
GLOG_pa.K,GLOG$A
GAB_pj,GAB$J
NHA,NHA
ORN,ORN
CHRA.K,CHRA
BSE,BSE
LUB,LUB
CXH,CXH
BHR,BHR
GTNa,GTN.A
CCR,CCR
WHG,WHG
GLOP_pa.K,GLOP$A
AGM_pc,AGM$C
RSF,RSF
CCM,CCM
EFC_pa,EFC$A
EIC,EIC
CTR,CTR
AGM_pe,AGM$E
REXR_pb.K,REXR$B
FTAI_pb.K,FTAI$B
CUBI_pf.K,CUBI$F
REXR_pc.K,REXR$C
TRTN_pa.K,TRTN$A
VLT,VLT
BGSF.K,BGSF
XAN_pc,XAN$C
MITT_pb.K,MITT$B
BFO,BFO
MITT_pc.K,MITT$C
STAG_pc.K,STAG$C
STAR_pg.K,STAR$G
USDP.K,USDP
MFAC.K,MFAC
FHN_pb,FHN$B
GFY,GFY
RPT_pd,RPT$D
UAN,UAN
CLNY_pg.K,CLNY$G
HIL,HIL
GNL_pb,GNL$B
RYB,RYB
SHO_pf,SHO$F
CORR_pa.K,CORR$A
JHAA.K,JHAA
EDN,EDN
KFS,KFS
AFI,AFI
DYFN.K,DYFN
GAB_pg,GAB$G
NREF.K,NREF
GEN,GEN
NTZ,NTZ
MZA,MZA
GMRE_pa.K,GMRE$A
IHTA.K,IHTA
GLP_pa,GLP$A
SZC,SZC
DCP_pc,DCP$C
BFY,BFY
EDI,EDI
TTI,TTI
NR,NR
TNP_pd,TNP$D
BFS_pd,BFS$D
ASB_pc,ASB$C
TWO_pd,TWO$D
LXU,LXU
PGZ,PGZ
INN_pd,INN$D
NMM,NMM
DLNG_pa.K,DLNG$A
JMM,JMM
EEA,EEA
CHMI_pa.K,CHMI$A
HCFT.K,HCFT
MAA_pi,MAA$I
MN,MN
MFD,MFD
CORR.K,CORR
FEO,FEO
SMM,SMM
EGF,EGF
BHR_pb,BHR$B
SD,SD
FTAI_pa.K,FTAI$A
XAN,XAN
CTA_pa,CTA$A
GLOP_pb.K,GLOP$B
HT_pe,HT$E
SB_pd,SB$D
DSX_pb,DSX$B
JP,JP
NNA,NNA
DDF,DDF
TPZ,TPZ
CUBI_pe.K,CUBI$E
SBOW.K,SBOW
FMY,FMY
SPE_pb,SPE$B
AP,AP
MCC,MCC
MH_pc,MH$C
CUBI_pc.K,CUBI$C
GDV_ph,GDV$H
OPP_pa,OPP$A
CAI_pa,CAI$A
FET,FET
GER,GER
KTN,KTN
DVD,DVD
GGT_pg,GGT$G
ATV,ATV
HTY,HTY
GLOP_pc.K,GLOP$C
FHN_pc,FHN$C
GUT_pc,GUT$C
AXR,AXR
GGT_pe,GGT$E
FMO,FMO
NXN,NXN
VNCE.K,VNCE
SPG_pj,SPG$J
IRR,IRR
NCB,NCB
MH_pa,MH$A
SRL,SRL
TNP_pc,TNP$C
UMH_pd,UMH$D
JMP,JMP
NREF_pa.K,NREF$A
SRG_pa,SRG$A
ARC,ARC
PYN,PYN
CAI_pb,CAI$B
EGY,EGY
MH_pd,MH$D
BBW,BBW
LEE,LEE
CMRE_pb.K,CMRE$B
HT_pc,HT$C
ANH_pa,ANH$A
CIF,CIF
RLH,RLH
TY_p,TY$
EXPR.K,EXPR
MIE,MIE
SMLP.K,SMLP
SB_pc,SB$C
PCF,PCF
PYS,PYS
RMPL_p.K,RMPL$
CMS_pb,CMS$B
PEI,PEI
CRT,CRT
FEDU.K,FEDU
JCAP_pb.K,JCAP$B
ABR_pa,ABR$A
DLNG_pb.K,DLNG$B
SMHI.K,SMHI
RNGR.K,RNGR
IRL,IRL
MFV,MFV
ETI_p,ETI$
CHMI_pb.K,CHMI$B
GSL_pb,GSL$B
CEN,CEN
WPG_ph,WPG$H
HVTa,HVT.A
GRX_pb,GRX$B
MITT_pa.K,MITT$A
FGB,FGB
IID,IID
AHT_pg,AHT$G
PRIF_pa.K,PRIF$A
NINE.K,NINE
PRIF_pc.K,PRIF$C
SRV,SRV
OFG_pb,OFG$B
WPG_pi,WPG$I
NYV,NYV
OFG_pa,OFG$A
