BABA.K,BABA
TSM,TSM
V,V
JNJ,JNJ
WMT,WMT
JPM,JPM
MA,MA
PG,PG
UNH,UNH
BRKb,BRK.B
DIS,DIS
HD,HD
BAC,BAC
VZ,VZ
BRKa,BRK.A
ABT,ABT
NKE,NKE
KO,KO
NVS,NVS
CRM,CRM
T,T
LLY,LLY
TM,TM
PFE,PFE
MRK,MRK
TMO,TMO
XOM,XOM
ABBV.K,ABBV
ORCL.K,ORCL
CVX,CVX
ACN,ACN
DHR,DHR
NEE,NEE
SAP,SAP
UL,UL
MDT,MDT
MCD,MCD
HON,HON
BMY,BMY
SHOP.K,SHOP
UPS,UPS
UNP,UNP
HDB,HDB
LIN,LIN
WFC,WFC
PM,PM
LOW,LOW
MS,MS
NVO,NVO
C,C
SNE,SNE
RY,RY
BA,BA
TOT,TOT
SE,SE
HSBC.K,HSBC
BLK,BLK
NOW,NOW
IBM,IBM
BUD,BUD
MMM,MMM
TD,TD
RTX,RTX
BHP,BHP
AMT,AMT
CAT,CAT
SQ,SQ
RIO,RIO
GE,GE
SCHW.K,SCHW
AXP,AXP
GSK,GSK
UBER.K,UBER
CVS,CVS
GS,GS
DEO,DEO
DE,DE
TGT,TGT
LMT,LMT
NIO,NIO
UN,UN
EL,EL
BTI,BTI
SYK,SYK
VALE.K,VALE
BX,BX
MO,MO
SNAP.K,SNAP
CI,CI
TJX,TJX
RDSa,RDS.A
FIS,FIS
BP,BP
SNOW.K,SNOW
SPGI.K,SPGI
PLD,PLD
INFY.K,INFY
ANTM.K,ANTM
BDX,BDX
ZTS,ZTS
CNI,CNI
GM,GM
BEKE.K,BEKE
ENB,ENB
CCI,CCI
CL,CL
DUK,DUK
RDSb,RDS.B
CB,CB
TFC,TFC
USB,USB
BNS,BNS
SHW,SHW
FDX,FDX
ICE,ICE
ABB,ABB
PNC,PNC
ITW,ITW
SO,SO
PLTR.K,PLTR
NSC,NSC
APD,APD
SPOT.K,SPOT
ECL,ECL
EQNR.K,EQNR
BAM,BAM
BBL,BBL
MUFG.K,MUFG
WBK,WBK
DD,DD
D,D
VMW,VMW
DASH.K,DASH
UBS,UBS
TAK,TAK
HCA,HCA
DELL.K,DELL
MMC,MMC
GPN,GPN
TWLO.K,TWLO
SCCO.K,SCCO
SAN,SAN
BSX,BSX
EW,EW
PGR,PGR
HUM,HUM
IBN,IBN
PHG,PHG
MCO,MCO
RELX.K,RELX
COF,COF
NOC,NOC
BMO,BMO
DG,DG
EMR,EMR
STLA.K,STLA
NEM,NEM
WM,WM
ETN,ETN
AON,AON
CP,CP
HMC,HMC
CEO,CEO
KMB,KMB
ABEV.K,ABEV
TAL,TAL
TME,TME
EPD,EPD
MET,MET
ROP,ROP
PUK,PUK
CVNA.K,CVNA
COP,COP
SMFG.K,SMFG
GD,GD
CHWY.K,CHWY
VEEV.K,VEEV
PINS.K,PINS
RKT,RKT
NGG,NGG
F,F
U,U
CMG,CMG
TRP,TRP
TWTR.K,TWTR
TRI,TRI
DLR,DLR
FCX,FCX
DOW,DOW
RACE.K,RACE
PSA,PSA
GOLD.K,GOLD
TEL,TEL
XPEV.K,XPEV
BAX,BAX
PBR,PBR
BCE,BCE
CM,CM
TDOC.K,TDOC
APH,APH
SYY,SYY
RLX,RLX
LVS,LVS
A,A
E,E
LHX,LHX
INFO.K,INFO
STZ,STZ
ALC,ALC
LU,LU
STM,STM
GIS,GIS
APTV.K,APTV
SRE,SRE
CMI,CMI
BK,BK
MFC,MFC
WIT,WIT
JCI,JCI
TRV,TRV
ING,ING
CNC,CNC
TT,TT
IQV,IQV
PH,PH
PANW.K,PANW
CRH,CRH
KKR,KKR
ALL,ALL
AIG,AIG
RNG,RNG
CARR.K,CARR
CS,CS
PPG,PPG
MSCI.K,MSCI
BCS,BCS
KMI,KMI
ZBH,ZBH
AFL,AFL
LYG,LYG
PRU,PRU
HPQ,HPQ
SPG,SPG
BBVA.K,BBVA
ORAN.K,ORAN
AMX,AMX
SLB,SLB
EOG,EOG
RMD,RMD
PSX,PSX
VFC,VFC
YUM,YUM
HSY,HSY
ES,ES
CHT,CHT
TDG,TDG
CTVA.K,CTVA
NTR,NTR
RSG,RSG
ROK,ROK
LYB,LYB
MPC,MPC
BBY,BBY
AWK,AWK
MCK,MCK
BLL,BLL
PEG,PEG
HLT,HLT
SWK,SWK
MSI,MSI
PBRa,PBR.A
EDU,EDU
BSBR.K,BSBR
ADM,ADM
WEC,WEC
DHI,DHI
MTD,MTD
GLW,GLW
W,W
OTIS.K,OTIS
ZTO,ZTO
QSR,QSR
SLF,SLF
CNQ,CNQ
KEYS.K,KEYS
KR,KR
TU,TU
PXD,PXD
CLX,CLX
AME,AME
NOK,NOK
LUV,LUV
DFS,DFS
SU,SU
WCN,WCN
AZO,AZO
WMB,WMB
ITUB.K,ITUB
HRL,HRL
WELL.K,WELL
FRC,FRC
DAL,DAL
STT,STT
GSX,GSX
EC,EC
NWG,NWG
WY,WY
MT,MT
FMS,FMS
AMP,AMP
WORK.K,WORK
MPLX.K,MPLX
NET,NET
CAJ,CAJ
TEF,TEF
ED,ED
YUMC.K,YUMC
VLO,VLO
TSN,TSN
DTE,DTE
ANET.K,ANET
ARE,ARE
TLK,TLK
EQR,EQR
FNV,FNV
LEN,LEN
AVB,AVB
UMC,UMC
BFb,BF.B
PCG,PCG
O,O
MKC,MKC
PAYC.K,PAYC
FTV,FTV
EIX,EIX
AJG,AJG
WST,WST
EFX,EFX
BIP,BIP
ABC,ABC
DB,DB
PPL,PPL
CCEP.K,CCEP
CHD,CHD
MGA,MGA
CBRE.K,CBRE
LH,LH
BKR,BKR
APO,APO
FLT,FLT
SYF,SYF
K,K
FTCH.K,FTCH
BBD,BBD
ATUS.K,ATUS
BEPC.K,BEPC
GWW,GWW
IX,IX
VMC,VMC
KMX,KMX
IP,IP
EPAM.K,EPAM
OXY,OXY
KSU,KSU
ETR,ETR
CTLT.K,CTLT
SNN,SNN
VIPS.K,VIPS
UI,UI
FTS,FTS
BBDO.K,BBDO
CCL,CCL
URI,URI
OKE,OKE
AEE,AEE
GIB,GIB
WPM,WPM
RCI,RCI
MLM,MLM
COO,COO
XYL,XYL
IR,IR
TFX,TFX
CNHI.K,CNHI
ALB,ALB
ROL,ROL
VTR,VTR
CCC,CCC
MTB,MTB
HIG,HIG
AMCR.K,AMCR
PKX,PKX
TYL,TYL
ET,ET
HES,HES
HUBS.K,HUBS
AVTR.K,AVTR
TRU,TRU
DOV,DOV
CAG,CAG
RF,RF
KEY,KEY
AEM,AEM
ZEN,ZEN
BR,BR
FE,FE
NVR,NVR
DGX,DGX
QS,QS
BURL.K,BURL
WAT,WAT
SKM,SKM
CMS,CMS
PAGS.K,PAGS
AES,AES
NMR,NMR
STE,STE
CAH,CAH
LFC,LFC
INVH.K,INVH
HPE,HPE
PKI,PKI
PEAK.K,PEAK
HAL,HAL
VAR,VAR
GNRC.K,GNRC
CFG,CFG
ESS,ESS
FMX,FMX
SUZ,SUZ
RCL,RCL
DRI,DRI
LDOS.K,LDOS
NUE,NUE
MAA,MAA
SHG,SHG
LYV,LYV
EXR,EXR
CPB,CPB
ASX,ASX
DRE,DRE
MGP,MGP
DPZ,DPZ
KB,KB
MGM,MGM
AGR,AGR
PBA,PBA
MAS,MAS
FICO.K,FICO
BAP,BAP
ALLY.K,ALLY
BXP,BXP
IEX,IEX
VIV,VIV
WAB,WAB
CE,CE
AI,AI
FMC,FMC
CDAY.K,CDAY
SUI,SUI
IT,IT
BEN,BEN
BIO,BIO
GPC,GPC
ELAN.K,ELAN
VICI.K,VICI
OMC,OMC
ATHM.K,ATHM
KEP,KEP
RJF,RJF
J,J
TDY,TDY
EMN,EMN
MKL,MKL
GME,GME
SJM,SJM
TEVA.K,TEVA
ESTC.K,ESTC
GDDY.K,GDDY
DVA,DVA
BAH,BAH
AVLR.K,AVLR
WPP,WPP
LUMN.K,LUMN
CRL,CRL
MOH,MOH
AVY,AVY
BKI,BKI
OSH,OSH
NTCO.K,NTCO
LN,LN
L,L
JHX,JHX
SMG,SMG
YSG,YSG
BEP,BEP
NI_pb,NI$B
PKG,PKG
BRO,BRO
SNP,SNP
FSLY.K,FSLY
CABO.K,CABO
IFF,IFF
MPW,MPW
QGEN.K,QGEN
IFF_w,IFFV
EVRG.K,EVRG
WHR,WHR
CCK,CCK
FBHS.K,FBHS
CHGG.K,CHGG
DT,DT
PHM,PHM
ARES.K,ARES
CVE,CVE
WPC,WPC
GGG,GGG
CNP,CNP
FDS,FDS
NLY,NLY
IHG,IHG
DVN,DVN
BFa,BF.A
ENIA.K,ENIA
LB,LB
TTM,TTM
UDR,UDR
EQH,EQH
SAM,SAM
WTRG.K,WTRG
WRB,WRB
LW,LW
ELS,ELS
ATO,ATO
RPM,RPM
RDY,RDY
LII,LII
FNF,FNF
UHS,UHS
MTN,MTN
TXT,TXT
HWM,HWM
WRK,WRK
CNA,CNA
TREX.K,TREX
KL,KL
MHK,MHK
XPO,XPO
SBSW.K,SBSW
BCH,BCH
TAP,TAP
AAP,AAP
DAR,DAR
BWA,BWA
TTC,TTC
MOS,MOS
WSM,WSM
DNB,DNB
ALLE.K,ALLE
BILL.K,BILL
AQN,AQN
