BABA.K,BABA
TSM,TSM
V,V
WMT,WMT
JNJ,JNJ
JPM,JPM
MA,MA
PG,PG
UNH,UNH
DIS,DIS
BRKb,BRK.B
HD,HD
BAC,BAC
VZ,VZ
KO,KO
NKE,NKE
BRKa,BRK.A
TM,TM
NVS,NVS
CRM,CRM
PFE,PFE
MRK,MRK
T,T
ABT,ABT
ORCL.K,ORCL
ABBV.K,ABBV
TMO,TMO
XOM,XOM
ACN,ACN
CVX,CVX
MCD,MCD
LLY,LLY
DHR,DHR
SAP,SAP
UL,UL
MDT,MDT
UPS,UPS
NEE,NEE
HON,HON
SHOP.K,SHOP
UNP,UNP
BMY,BMY
LIN,LIN
HDB,HDB
PM,PM
C,C
NVO,NVO
WFC,WFC
MS,MS
BA,BA
SNE,SNE
CHL,CHL
LOW,LOW
RY,RY
BUD,BUD
TOT,TOT
IBM,IBM
BLK,BLK
RTX,RTX
NOW,NOW
HSBC.K,HSBC
TD,TD
MMM,MMM
SQ,SQ
SCHW.K,SCHW
LMT,LMT
AMT,AMT
CAT,CAT
BHP,BHP
EL,EL
AXP,AXP
RIO,RIO
DEO,DEO
GE,GE
SE,SE
UBER.K,UBER
GSK,GSK
SYK,SYK
GS,GS
UN,UN
CVS,CVS
TGT,TGT
FIS,FIS
BTI,BTI
VALE.K,VALE
SNOW.K,SNOW
DE,DE
TJX,TJX
CNI,CNI
ANTM.K,ANTM
BX,BX
ZTS,ZTS
MO,MO
SPGI.K,SPGI
RDSa,RDS.A
BEKE.K,BEKE
CL,CL
CI,CI
PLD,PLD
BDX,BDX
SNAP.K,SNAP
INFY.K,INFY
BP,BP
USB,USB
FDX,FDX
NIO,NIO
CB,CB
CCI,CCI
DUK,DUK
SHW,SHW
BNS,BNS
ENB,ENB
TFC,TFC
ITW,ITW
ICE,ICE
SO,SO
RDSb,RDS.B
GPN,GPN
PNC,PNC
BAM,BAM
ECL,ECL
D,D
NSC,NSC
GM,GM
VMW,VMW
SPOT.K,SPOT
APD,APD
MMC,MMC
ABB,ABB
PGR,PGR
TWLO.K,TWLO
MUFG.K,MUFG
TAK,TAK
EW,EW
BBL,BBL
HCA,HCA
DELL.K,DELL
EQNR.K,EQNR
SAN,SAN
UBS,UBS
HUM,HUM
WBK,WBK
MCO,MCO
DG,DG
NOC,NOC
DD,DD
BSX,BSX
WM,WM
PHG,PHG
IBN,IBN
SCCO.K,SCCO
HMC,HMC
BMO,BMO
NEM,NEM
PUK,PUK
RELX.K,RELX
EMR,EMR
ABEV.K,ABEV
AON,AON
DASH.K,DASH
ETN,ETN
CP,CP
KMB,KMB
LVS,LVS
PLTR.K,PLTR
COF,COF
ROP,ROP
RACE.K,RACE
TWTR.K,TWTR
CEO,CEO
CVNA.K,CVNA
EPD,EPD
GD,GD
U,U
SMFG.K,SMFG
COP,COP
PINS.K,PINS
VEEV.K,VEEV
MET,MET
PBR,PBR
NGG,NGG
TAL,TAL
RKT,RKT
GOLD.K,GOLD
BAX,BAX
TRI,TRI
DOW,DOW
QS,QS
PSA,PSA
TEL,TEL
LHX,LHX
CMG,CMG
APH,APH
DLR,DLR
BCE,BCE
TRP,TRP
CHWY.K,CHWY
CM,CM
SYY,SYY
E,E
ING,ING
STZ,STZ
BK,BK
INFO.K,INFO
SRE,SRE
GIS,GIS
MSCI.K,MSCI
A,A
LYG,LYG
FCX,FCX
BCS,BCS
TRV,TRV
F,F
RNG,RNG
TT,TT
APTV.K,APTV
PH,PH
PANW.K,PANW
MFC,MFC
CNC,CNC
PPG,PPG
KKR,KKR
IQV,IQV
LU,LU
BBVA.K,BBVA
CRH,CRH
JCI,JCI
VFC,VFC
STM,STM
TDG,TDG
CMI,CMI
YUM,YUM
BSBR.K,BSBR
AMX,AMX
ALC,ALC
CARR.K,CARR
ALL,ALL
ORAN.K,ORAN
AIG,AIG
WIT,WIT
HSY,HSY
HPQ,HPQ
TME,TME
CS,CS
KMI,KMI
ZBH,ZBH
AFL,AFL
RSG,RSG
RMD,RMD
PRU,PRU
PSX,PSX
LYB,LYB
PBRa,PBR.A
CHT,CHT
SLB,SLB
XPEV.K,XPEV
BLL,BLL
HLT,HLT
ITUB.K,ITUB
EDU,EDU
ES,ES
ZTO,ZTO
PEG,PEG
ROK,ROK
MSI,MSI
TDOC.K,TDOC
OTIS.K,OTIS
CTVA.K,CTVA
EOG,EOG
WEC,WEC
SWK,SWK
QSR,QSR
SPG,SPG
MCK,MCK
FCAU.K,FCAU
CNQ,CNQ
ADM,ADM
GLW,GLW
AME,AME
LUV,LUV
AZO,AZO
AWK,AWK
PAYC.K,PAYC
NWG,NWG
DFS,DFS
MTD,MTD
WCN,WCN
EC,EC
NTR,NTR
BBY,BBY
MPC,MPC
WELL.K,WELL
SU,SU
SLF,SLF
DHI,DHI
DAL,DAL
TU,TU
HRL,HRL
CLX,CLX
STT,STT
MT,MT
WY,WY
FRC,FRC
KEYS.K,KEYS
PCG,PCG
WMB,WMB
WORK.K,WORK
ED,ED
FMS,FMS
BFb,BF.B
TLK,TLK
YUMC.K,YUMC
KR,KR
NET,NET
FNV,FNV
ARE,ARE
W,W
AJG,AJG
EIX,EIX
EFX,EFX
TSN,TSN
CHA,CHA
FTV,FTV
MKC,MKC
DB,DB
DTE,DTE
BBD,BBD
FLT,FLT
VLO,VLO
AMP,AMP
AVB,AVB
MPLX.K,MPLX
GWW,GWW
EQR,EQR
ANET.K,ANET
MGA,MGA
CCEP.K,CCEP
NOK,NOK
CHD,CHD
O,O
BKR,BKR
LEN,LEN
UMC,UMC
K,K
TEF,TEF
APO,APO
FTCH.K,FTCH
CBRE.K,CBRE
BEPC.K,BEPC
PPL,PPL
BIP,BIP
BBDO.K,BBDO
CAJ,CAJ
ATUS.K,ATUS
WST,WST
CCL,CCL
SYF,SYF
EPAM.K,EPAM
ABC,ABC
LH,LH
IP,IP
VMC,VMC
PKX,PKX
ETR,ETR
ROL,ROL
FTS,FTS
AEE,AEE
TFX,TFX
TRU,TRU
IR,IR
KSU,KSU
IX,IX
WPM,WPM
SNN,SNN
VTR,VTR
RCI,RCI
HUBS.K,HUBS
PXD,PXD
AMCR.K,AMCR
CCC,CCC
CHU,CHU
GIB,GIB
XYL,XYL
PAGS.K,PAGS
DOV,DOV
CAG,CAG
COO,COO
BR,BR
CNHI.K,CNHI
VIPS.K,VIPS
TYL,TYL
MLM,MLM
UI,UI
HIG,HIG
AEM,AEM
BURL.K,BURL
OKE,OKE
CTLT.K,CTLT
CMS,CMS
ET,ET
HAL,HAL
INVH.K,INVH
LFC,LFC
SKM,SKM
URI,URI
RCL,RCL
ZEN,ZEN
HES,HES
LYV,LYV
OXY,OXY
FMX,FMX
MTB,MTB
PEAK.K,PEAK
FE,FE
DGX,DGX
VAR,VAR
KB,KB
TIF,TIF
ALB,ALB
NMR,NMR
KEY,KEY
STE,STE
DPZ,DPZ
CDAY.K,CDAY
SHG,SHG
PKI,PKI
CAH,CAH
NUE,NUE
BAP,BAP
AVTR.K,AVTR
KEP,KEP
ESS,ESS
AES,AES
NVR,NVR
MGM,MGM
DRI,DRI
RF,RF
WAT,WAT
HPE,HPE
OSH,OSH
CFG,CFG
CE,CE
LDOS.K,LDOS
KMX,KMX
IEX,IEX
BXP,BXP
SUZ,SUZ
FICO.K,FICO
MGP,MGP
DRE,DRE
EXR,EXR
CPB,CPB
GNRC.K,GNRC
SUI,SUI
FMC,FMC
MAS,MAS
ELAN.K,ELAN
GPC,GPC
VIV,VIV
AVLR.K,AVLR
MAA,MAA
TDY,TDY
IT,IT
BIO,BIO
GDDY.K,GDDY
AGR,AGR
AI,AI
J,J
BKI,BKI
VICI.K,VICI
WAB,WAB
MKL,MKL
CABO.K,CABO
NTCO.K,NTCO
WPP,WPP
EMN,EMN
OMC,OMC
ESTC.K,ESTC
SJM,SJM
CCK,CCK
PBA,PBA
ALLY.K,ALLY
BRO,BRO
JHX,JHX
RJF,RJF
PKG,PKG
DVA,DVA
AVY,AVY
BEN,BEN
NI_pb,NI$B
ASX,ASX
ARES.K,ARES
FDS,FDS
WPC,WPC
ENIA.K,ENIA
CRL,CRL
BFa,BF.A
MOH,MOH
EVRG.K,EVRG
L,L
GGG,GGG
GSX,GSX
SAM,SAM
QGEN.K,QGEN
BAH,BAH
HWM,HWM
FBHS.K,FBHS
NLY,NLY
PHM,PHM
CHGG.K,CHGG
WRB,WRB
ATO,ATO
RPM,RPM
DT,DT
RDY,RDY
IFF,IFF
CNP,CNP
MPW,MPW
WHR,WHR
WRK,WRK
IHG,IHG
SNP,SNP
UHS,UHS
BEP,BEP
FNF,FNF
BILL.K,BILL
KL,KL
ATHM.K,ATHM
LW,LW
ELS,ELS
WTRG.K,WTRG
CXO,CXO
UDR,UDR
EQH,EQH
DNB,DNB
MTN,MTN
SMG,SMG
TXT,TXT
LB,LB
LUMN.K,LUMN
AAP,AAP
XPO,XPO
GWRE.K,GWRE
TEVA.K,TEVA
SBSW.K,SBSW
ALLE.K,ALLE
BCH,BCH
CNA,CNA
LII,LII
YSG,YSG
PLAN.K,PLAN
WLK,WLK
FSLY.K,FSLY
BFAM.K,BFAM
TTC,TTC
MHK,MHK
FND,FND
PWR,PWR
GL,GL
DLB,DLB
