TSM,TSM
BABA.K,BABA
JPM,JPM
V,V
JNJ,JNJ
WMT,WMT
MA,MA
BRKb,BRK.B
UNH,UNH
BAC,BAC
DIS,DIS
HD,HD
PG,PG
BRKa,BRK.A
VZ,VZ
XOM,XOM
KO,KO
T,T
TM,TM
ORCL.K,ORCL
NKE,NKE
ABT,ABT
CRM,CRM
PFE,PFE
CVX,CVX
NVS,NVS
MRK,MRK
ABBV.K,ABBV
ACN,ACN
TMO,TMO
LLY,LLY
MCD,MCD
WFC,WFC
MDT,MDT
DHR,DHR
SAP,SAP
HON,HON
C,C
BA,BA
NEE,NEE
UPS,UPS
LIN,LIN
UNP,UNP
UL,UL
MS,MS
SHOP.K,SHOP
BMY,BMY
HDB,HDB
LOW,LOW
PM,PM
SONY.K,SONY
RY,RY
SCHW.K,SCHW
CAT,CAT
IBM,IBM
NVO,NVO
TD,TD
TOT,TOT
HSBC.K,HSBC
BLK,BLK
SE,SE
GE,GE
RTX,RTX
DE,DE
AXP,AXP
MMM,MMM
GS,GS
AMT,AMT
EL,EL
UBER.K,UBER
LMT,LMT
BUD,BUD
BHP,BHP
SQ,SQ
TGT,TGT
NOW,NOW
RIO,RIO
DEO,DEO
CVS,CVS
MO,MO
VALE.K,VALE
SYK,SYK
GSK,GSK
FIS,FIS
BX,BX
BTI,BTI
UN,UN
SPGI.K,SPGI
GM,GM
ANTM.K,ANTM
USB,USB
CI,CI
CNI,CNI
BP,BP
INFY.K,INFY
TJX,TJX
RDSa,RDS.A
SNAP.K,SNAP
PLD,PLD
TFC,TFC
CPNG.K,CPNG
CCI,CCI
PNC,PNC
BNS,BNS
ZTS,ZTS
ENB,ENB
FDX,FDX
DUK,DUK
NSC,NSC
CB,CB
BDX,BDX
MUFG.K,MUFG
COP,COP
ITW,ITW
BEKE.K,BEKE
RDSb,RDS.B
WBK,WBK
BAM,BAM
SHW,SHW
DELL.K,DELL
CL,CL
SNOW.K,SNOW
SO,SO
ICE,ICE
APD,APD
VMW,VMW
ABB,ABB
MMC,MMC
HCA,HCA
EQNR.K,EQNR
BBL,BBL
ECL,ECL
GPN,GPN
NIO,NIO
UBS,UBS
D,D
COF,COF
