012320,경동인베스트,KR7012320008,00143527
011040,경동제약,KR7011040003,00101549
000050,경방,KR7000050005,00101628
214390,경보제약,KR7214390007,00101664
012610,경인양행,KR7012610002,00102113
009140,경인전자,KR7009140005,00102140
024910,경창산업,KR7024910002,00102353
013580,계룡건설,KR7013580006,00102432
012205,계양전기우,KR7012201000,00102618
012200,계양전기,KR7012200002,00102618
002140,고려산업,KR7002140002,01223954
198440,고려시멘트,KR7198440000,01032583
049720,고려신용정보,KR7049720006,00336297
010130,고려아연,KR7010130003,00102858
002240,고려제강,KR7002240000,00103006
014570,고려제약,KR7014570006,00103015
348150,고바이오랩,KR7348150004,01399071
098460,고영,KR7098460009,00579999
038530,골드퍼시픽,KR7038530002,00255105
215000,골프존,KR7215000001,01067516
121440,골프존뉴딘홀딩스,KR7121440002,00674498
183410,골프존데카,KR7183410000,00764807
076340,관악산업,KR7076340009,00321204
009290,광동제약,KR7009290008,00103592
014200,광림,KR7014200000,00103635
017040,광명전기,KR7017040007,00103662
017900,광전자,KR7017900002,00152729
037710,광주신세계,KR7037710001,00220561
026910,광진실업,KR7026910000,00104120
090150,광진윈텍,KR7090150004,00365624
355150,교보10호스팩,KR7355150004,01476219
331520,교보9호스팩,KR7331520007,01398151
030610,교보증권,KR7030610000,00113359
339770,교촌에프앤비,KR7339770000,00453284
329050,구스앤홈,KR7329050009,01337114
053270,구영테크,KR7053270005,00202060
007690,국도화학,KR7007690001,00104388
005320,국동,KR7005320007,00168331
066620,국보디자인,KR7066620006,00253985
001140,국보,KR7001140003,01088476
043650,국순당,KR7043650001,00256715
006050,국영지앤엠,KR7006050009,00104537
060480,국일신동,KR7060480001,00203847
078130,국일제지,KR7078130002,00104573
307750,국전약품,KR7307750000,01329957
002720,국제약품,KR7002720001,00104722
243870,굿센,KR7243870003,00565215
114090,GKL,KR7114090004,00557508
900290,GRT,HK0000307485,01170962
204020,그리티,KR7204020002,00671978
083420,그린케미칼,KR7083420000,00454946
186230,그린플러스,KR7186230009,00602279
014530,극동유화,KR7014530000,00105156
083450,GST,KR7083450007,00540863
900070,글로벌에스엠,KYG3931T1076,00783246
204620,글로벌텍스프리,KR7204620009,01042711
019660,글로본,KR7019660000,00159731
014285,금강공업우,KR7014281000,00105299
014280,금강공업,KR7014280002,00105299
053260,금강철강,KR7053260006,00209911
008870,금비,KR7008870008,00168401
045890,GV,KR7045890001,00455112
001570,금양,KR7001570001,00106119
002995,금호산업우,KR7002991008,00106313
002990,금호산업,KR7002990000,00106313
011785,금호석유우,KR7011781002,00106368
011780,금호석유,KR7011780004,00106368
214330,금호에이치티,KR7214330003,00105606
001210,금호전기,KR7001210004,00106395
073240,금호타이어,KR7073240004,00481454
036190,금화피에스시,KR7036190007,00176516
049080,기가레인,KR7049080005,00377018
035460,기산텔레콤,KR7035460005,00258421
092440,기신정기,KR7092440007,00106614
000270,기아,KR7000270009,00106641
013700,까뮤이앤씨,KR7013700000,00129420
308100,까스텔바작,KR7308100007,01181807
004545,깨끗한나라우,KR7004541009,00113492
004540,깨끗한나라,KR7004540001,00113492
187790,나노,KR7187790001,00994994
286750,나노브릭,KR7286750005,01136001
151910,나노스,KR7151910007,00653103
121600,나노신소재,KR7121600001,00439965
247660,나노씨엠에스,KR7247660004,00660459
039860,나노엔텍,KR7039860002,00230425
091970,나노캠텍,KR7091970004,00542074
244880,나눔테크,KR7244880001,01117422
288490,나라소프트,KR7288490006,01267550
051490,나라엠앤디,KR7051490001,00297095
190510,나무가,KR7190510008,00819374
242040,나무기술,KR7242040004,01136348
089600,나스미디어,KR7089600001,00486097
293580,나우IB,KR7293580007,00651017
257990,나우코스,KR7257990002,00425254
138610,나이벡,KR7138610001,00767628
130580,나이스디앤비,KR7130580004,00606293
036800,나이스정보통신,KR7036800001,00264945
030190,NICE평가정보,KR7030190003,00158325
267320,나인테크,KR7267320000,01208849
001260,남광토건,KR7001260009,00107066
008355,남선알미우,KR7008351009,00107224
008350,남선알미늄,KR7008350001,00107224
004270,남성,KR7004270005,00172185
003925,남양유업우,KR7003921004,00107598
003920,남양유업,KR7003920006,00107598
025860,남해화학,KR7025860008,00107987
111710,남화산업,KR7111710000,00245694
091590,남화토건,KR7091590000,00108001
168330,내츄럴엔도텍,KR7168330009,00923792
094860,네오리진,KR7094860004,00599106
253590,네오셈,KR7253590004,01170865
212560,네오오토,KR7212560007,00876865
095660,네오위즈,KR7095660007,00628860
042420,네오위즈홀딩스,KR7042420000,00266952
950220,네오이뮨텍(Reg.S),KR8840140006,01511558
311390,네오크레마,KR7311390009,01219155
085910,네오티스,KR7085910008,00911797
092730,네오팜,KR7092730001,00551920
290660,네오펙트,KR7290660000,01246034
306620,네온테크,KR7306620006,01325429
153460,네이블,KR7153460001,00842585
