BABA.K,BABA
TSM,TSM
V,V
WMT,WMT
JNJ,JNJ
JPM,JPM
PG,PG
UNH,UNH
MA,MA
BRKb,BRK.B
HD,HD
DIS,DIS
VZ,VZ
BAC,BAC
KO,KO
CRM,CRM
BRKa,BRK.A
PFE,PFE
T,T
MRK,MRK
NKE,NKE
ABT,ABT
TM,TM
NVS,NVS
TMO,TMO
ABBV.K,ABBV
ORCL.K,ORCL
DHR,DHR
CVX,CVX
MCD,MCD
ACN,ACN
XOM,XOM
MDT,MDT
NEE,NEE
BMY,BMY
UPS,UPS
HON,HON
LLY,LLY
SAP,SAP
LIN,LIN
CHL,CHL
UNP,UNP
HDB,HDB
NVO,NVO
LOW,LOW
PM,PM
BUD,BUD
RY,RY
SHOP.K,SHOP
BA,BA
SNE,SNE
IBM,IBM
LMT,LMT
AMT,AMT
RTX,RTX
TOT,TOT
MS,MS
BLK,BLK
WFC,WFC
HSBC.K,HSBC
C,C
MMM,MMM
GSK,GSK
NOW,NOW
CAT,CAT
AXP,AXP
CVS,CVS
DEO,DEO
UN,UN
FIS,FIS
EL,EL
TD,TD
SCHW.K,SCHW
SYK,SYK
UBER.K,UBER
BTI,BTI
ANTM.K,ANTM
SPGI.K,SPGI
DE,DE
CI,CI
TGT,TGT
BHP,BHP
GE,GE
RIO,RIO
CNI,CNI
SQ,SQ
ZTS,ZTS
SE,SE
BEKE.K,BEKE
GS,GS
TJX,TJX
PLD,PLD
MO,MO
UL,UL
DUK,DUK
CL,CL
FDX,FDX
D,D
BDX,BDX
CCI,CCI
ITW,ITW
APD,APD
CB,CB
BX,BX
SO,SO
USB,USB
TFC,TFC
SHW,SHW
SNOW.K,SNOW
RDSa,RDS.A
BP,BP
INFY.K,INFY
ENB,ENB
ECL,ECL
VALE.K,VALE
NSC,NSC
GM,GM
VMW,VMW
GPN,GPN
ABB,ABB
SNAP.K,SNAP
MMC,MMC
HUM,HUM
BNS,BNS
NIO,NIO
BAM,BAM
RDSb,RDS.B
MUFG.K,MUFG
ICE,ICE
BSX,BSX
PGR,PGR
PNC,PNC
TAK,TAK
UBS,UBS
DG,DG
NOC,NOC
WM,WM
NEM,NEM
HCA,HCA
MCO,MCO
EW,EW
EQNR.K,EQNR
WBK,WBK
CEO,CEO
HMC,HMC
DELL.K,DELL
PHG,PHG
SPOT.K,SPOT
KMB,KMB
BBL,BBL
EMR,EMR
GOLD.K,GOLD
ETN,ETN
RELX.K,RELX
IBN,IBN
AON,AON
DD,DD
ABEV.K,ABEV
LVS,LVS
SAN,SAN
NGG,NGG
CP,CP
PUK,PUK
GD,GD
BMO,BMO
RKT,RKT
TWLO.K,TWLO
TAL,TAL
ROP,ROP
SCCO.K,SCCO
BAX,BAX
MET,MET
TRI,TRI
CNC,CNC
PSA,PSA
SMFG.K,SMFG
LU,LU
TRP,TRP
VEEV.K,VEEV
LHX,LHX
RACE.K,RACE
DOW,DOW
COF,COF
EPD,EPD
SRE,SRE
BCE,BCE
DLR,DLR
COP,COP
SYY,SYY
APH,APH
INFO.K,INFO
GIS,GIS
CM,CM
TEL,TEL
CMG,CMG
BK,BK
CMI,CMI
TRV,TRV
TT,TT
PINS.K,PINS
ING,ING
STZ,STZ
A,A
PPG,PPG
TWTR.K,TWTR
PH,PH
WEC,WEC
JCI,JCI
AIG,AIG
KKR,KKR
CARR.K,CARR
F,F
PBR,PBR
MFC,MFC
RSG,RSG
E,E
AMX,AMX
ES,ES
ALC,ALC
IQV,IQV
HSY,HSY
ORAN.K,ORAN
MSCI.K,MSCI
ZTO,ZTO
CRH,CRH
TDG,TDG
ZBH,ZBH
BLL,BLL
YUM,YUM
RMD,RMD
PEG,PEG
BCS,BCS
STM,STM
VFC,VFC
PRU,PRU
CHT,CHT
LYG,LYG
AWK,AWK
MCK,MCK
AFL,AFL
APTV.K,APTV
EDU,EDU
KMI,KMI
BBY,BBY
ROK,ROK
HLT,HLT
FCX,FCX
ALL,ALL
SWK,SWK
OTIS.K,OTIS
CS,CS
WELL.K,WELL
MSI,MSI
WCN,WCN
WIT,WIT
ADM,ADM
GLW,GLW
HRL,HRL
ED,ED
QSR,QSR
CHA,CHA
HPQ,HPQ
LYB,LYB
AZO,AZO
CTVA.K,CTVA
AME,AME
MTD,MTD
SLF,SLF
U,U
LUV,LUV
ITUB.K,ITUB
FNV,FNV
BSBR.K,BSBR
DHI,DHI
DTE,DTE
FMS,FMS
SLB,SLB
PSX,PSX
TME,TME
TDOC.K,TDOC
CLX,CLX
RNG,RNG
KR,KR
STT,STT
CHWY.K,CHWY
EOG,EOG
CNQ,CNQ
MPC,MPC
BFb,BF.B
WMB,WMB
XPEV.K,XPEV
BBVA.K,BBVA
W,W
SPG,SPG
TU,TU
PBRa,PBR.A
YUMC.K,YUMC
NTR,NTR
AVB,AVB
EIX,EIX
DAL,DAL
FTV,FTV
DFS,DFS
FLT,FLT
FRC,FRC
PLTR.K,PLTR
PANW.K,PANW
EQR,EQR
PPL,PPL
O,O
MKC,MKC
EC,EC
NWG,NWG
ABC,ABC
SU,SU
FCAU.K,FCAU
DB,DB
PAYC.K,PAYC
K,K
TSN,TSN
ETR,ETR
AJG,AJG
ARE,ARE
GWW,GWW
AMP,AMP
CHD,CHD
TEF,TEF
BIP,BIP
KEYS.K,KEYS
WY,WY
LEN,LEN
CHU,CHU
PCG,PCG
WST,WST
NOK,NOK
AEE,AEE
VLO,VLO
MPLX.K,MPLX
BBD,BBD
TLK,TLK
WPM,WPM
LH,LH
FTS,FTS
ANET.K,ANET
APO,APO
CAJ,CAJ
CMS,CMS
IP,IP
CBRE.K,CBRE
NET,NET
EFX,EFX
ROL,ROL
AMCR.K,AMCR
VMC,VMC
CCEP.K,CCEP
COO,COO
BKR,BKR
VTR,VTR
BEP,BEP
IX,IX
SNN,SNN
RCI,RCI
MGA,MGA
IR,IR
BBDO.K,BBDO
AEM,AEM
KSU,KSU
EPAM.K,EPAM
TRU,TRU
LFC,LFC
SYF,SYF
DOV,DOV
TFX,TFX
XYL,XYL
CAG,CAG
BEPC.K,BEPC
PKX,PKX
BR,BR
ESS,ESS
CAH,CAH
CCC,CCC
GSX,GSX
TYL,TYL
ATUS.K,ATUS
MLM,MLM
RCL,RCL
CTLT.K,CTLT
HIG,HIG
DGX,DGX
STE,STE
UI,UI
AGR,AGR
MT,MT
TIF,TIF
MTB,MTB
FE,FE
GIB,GIB
PEAK.K,PEAK
VAR,VAR
KB,KB
INVH.K,INVH
NMR,NMR
NUE,NUE
HUBS.K,HUBS
KMX,KMX
BURL.K,BURL
NVR,NVR
KEY,KEY
AVTR.K,AVTR
URI,URI
PXD,PXD
DPZ,DPZ
CE,CE
EXR,EXR
SKM,SKM
MAA,MAA
IEX,IEX
DRI,DRI
ELAN.K,ELAN
DRE,DRE
FMX,FMX
ET,ET
RF,RF
OKE,OKE
PAGS.K,PAGS
MKL,MKL
BXP,BXP
GPC,GPC
BKI,BKI
CPB,CPB
FMC,FMC
LYV,LYV
ZEN,ZEN
SHG,SHG
SUI,SUI
IT,IT
PKI,PKI
MAS,MAS
CFG,CFG
CDAY.K,CDAY
VIPS.K,VIPS
WAT,WAT
FTCH.K,FTCH
AES,AES
MGP,MGP
HES,HES
BIO,BIO
WORK.K,WORK
GNRC.K,GNRC
TDY,TDY
CVNA.K,CVNA
VICI.K,VICI
LDOS.K,LDOS
SJM,SJM
BRO,BRO
EVRG.K,EVRG
J,J
WAB,WAB
CNP,CNP
UMC,UMC
MOH,MOH
CNHI.K,CNHI
PBA,PBA
AVLR.K,AVLR
HPE,HPE
HAL,HAL
CCK,CCK
EMN,EMN
ATO,ATO
NI_pb,NI$B
WRB,WRB
AVY,AVY
ALB,ALB
FICO.K,FICO
PKG,PKG
FDS,FDS
OMC,OMC
MGM,MGM
BFa,BF.A
WPP,WPP
NTCO.K,NTCO
ATHM.K,ATHM
KL,KL
CCL,CCL
WPC,WPC
IFF,IFF
DVA,DVA
SUZ,SUZ
BAH,BAH
OSH,OSH
GDDY.K,GDDY
KEP,KEP
RJF,RJF
SNP,SNP
UDR,UDR
RPM,RPM
L,L
OXY,OXY
ENIA.K,ENIA
ARES.K,ARES
WHR,WHR
PHM,PHM
CRL,CRL
WTRG.K,WTRG
CABO.K,CABO
JHX,JHX
GGG,GGG
ELS,ELS
LII,LII
SAM,SAM
LW,LW
UHS,UHS
FBHS.K,FBHS
DNB,DNB
IHG,IHG
EQH,EQH
ALLY.K,ALLY
WRK,WRK
LUMN.K,LUMN
BAP,BAP
NLY,NLY
QGEN.K,QGEN
ALLE.K,ALLE
ASX,ASX
AAP,AAP
TEVA.K,TEVA
MTN,MTN
RDY,RDY
MPW,MPW
BEN,BEN
PNW,PNW
BFAM.K,BFAM
CXO,CXO
TXT,TXT
HWM,HWM
FNF,FNF
CPT,CPT
VST,VST
AU,AU
KGC,KGC
GL,GL
GFI,GFI
DT,DT
AQN,AQN
NI,NI
RE,RE
WLK,WLK
HEIa,HEI.A
CNA,CNA
BCH,BCH
BWA,BWA
PEN,PEN
LB,LB
VIV,VIV
SNA,SNA
XPO,XPO
PWR,PWR
TTC,TTC
AMH,AMH
RNR,RNR
ARMK.K,ARMK
Y,Y
