PSA_pn,PSA$N
FTS,FTS
ETR,ETR
MGM,MGM
KEY,KEY
MTB,MTB
TFX,TFX
BBD,BBD
DOV,DOV
FE,FE
LYV,LYV
NMR,NMR
COO,COO
CFG,CFG
AES,AES
ESS,ESS
XYL,XYL
DRI,DRI
GIB,GIB
CAG,CAG
SUZ,SUZ
ALB,ALB
AMCR.K,AMCR
WPM,WPM
VICI.K,VICI
EXR,EXR
INVH.K,INVH
CTLT.K,CTLT
KB,KB
BBDO.K,BBDO
PEAK.K,PEAK
TYL,TYL
SNN,SNN
ALLY.K,ALLY
BR,BR
NVR,NVR
TRU,TRU
CMS,CMS
SUI,SUI
BEPC.K,BEPC
CAH,CAH
WAT,WAT
LB,LB
IT,IT
PAGS.K,PAGS
CVE,CVE
GPC,GPC
BXP,BXP
MAA,MAA
OMC,OMC
ATUS.K,ATUS
MGP,MGP
PBA,PBA
CE,CE
ELP,ELP
DGX,DGX
RJF,RJF
FMX,FMX
SKM,SKM
AVTR.K,AVTR
ROL,ROL
J,J
VAR,VAR
SHG,SHG
ASX,ASX
STE,STE
ZEN,ZEN
LFC,LFC
ELAN.K,ELAN
DVN,DVN
MKL,MKL
CLVT.K,CLVT
DRE,DRE
WPP,WPP
LUMN.K,LUMN
DT,DT
IEX,IEX
EMN,EMN
BEN,BEN
AVY,AVY
AGR,AGR
CPB,CPB
MAS,MAS
SNP,SNP
GME,GME
TDY,TDY
TTM,TTM
WAB,WAB
AEM,AEM
CRL,CRL
ARES.K,ARES
BAP,BAP
DPZ,DPZ
PKI,PKI
KEP,KEP
FMC,FMC
FICO.K,FICO
BIO,BIO
EQH,EQH
VIV,VIV
L,L
UWMC.K,UWMC
MOH,MOH
TS,TS
SAM,SAM
EVRG.K,EVRG
WRB,WRB
SJM,SJM
HWM,HWM
LDOS.K,LDOS
OSH,OSH
WRK,WRK
WHR,WHR
JHX,JHX
UDR,UDR
SJR,SJR
BRO,BRO
IHG,IHG
CDAY.K,CDAY
CCK,CCK
SMG,SMG
PHM,PHM
CHGG.K,CHGG
MHK,MHK
XPO,XPO
ENIA.K,ENIA
GDDY.K,GDDY
PKG,PKG
SBSW.K,SBSW
MOS,MOS
BILL.K,BILL
MTN,MTN
BCH,BCH
TPR,TPR
CNA,CNA
DAR,DAR
FBHS.K,FBHS
NI_pb,NI$B
CNP,CNP
MPW,MPW
AVLR.K,AVLR
WPC,WPC
TXT,TXT
BKI,BKI
FNF,FNF
NLY,NLY
TEVA.K,TEVA
NTCO.K,NTCO
PWR,PWR
FDS,FDS
TPL,TPL
SNA,SNA
ATHM.K,ATHM
VEDL.K,VEDL
BHC,BHC
ELS,ELS
GGG,GGG
DVA,DVA
BSAC.K,BSAC
LW,LW
AAP,AAP
LNC,LNC
GPS,GPS
BWA,BWA
UHS,UHS
IVZ,IVZ
BEP,BEP
WLK,WLK
TECK.K,TECK
ATO,ATO
RPM,RPM
IPG,IPG
LII,LII
BFa,BF.A
SKLZ.K,SKLZ
LEA,LEA
TREX.K,TREX
QGEN.K,QGEN
CABO.K,CABO
TTC,TTC
NCLH.K,NCLH
BG,BG
ALLE.K,ALLE
BAH,BAH
LAD,LAD
CX,CX
WTRG.K,WTRG
CPT,CPT
AGCO.K,AGCO
NRG,NRG
WSM,WSM
ESTC.K,ESTC
AOS,AOS
ARMK.K,ARMK
GFL,GFL
CF,CF
PEN,PEN
DNB,DNB
IRM,IRM
AMH,AMH
GL,GL
FND,FND
HUBB.K,HUBB
DLB,DLB
RDY,RDY
MMP,MMP
WU,WU
BFAM.K,BFAM
RE,RE
PNR,PNR
AFG,AFG
WAL,WAL
CLR,CLR
LEVI.K,LEVI
ST,ST
AEG,AEG
HEIa,HEI.A
WEX,WEX
TAP,TAP
RH,RH
FHN,FHN
AQN,AQN
KSS,KSS
ATH,ATH
COLD.K,COLD
CMA,CMA
DECK.K,DECK
RS,RS
AU,AU
OC,OC
NLSN.K,NLSN
SSL,SSL
KL,KL
NI,NI
ATR,ATR
Y,Y
ACM,ACM
LSPD.K,LSPD
VER,VER
VNO,VNO
MRO,MRO
SID,SID
YSG,YSG
JLL,JLL
STOR.K,STOR
PNW,PNW
CCIV_u.K,CCIV.U
RL,RL
CIEN.K,CIEN
SGFY.K,SGFY
ACI,ACI
RGA,RGA
GWRE.K,GWRE
ALK,ALK
GLOB.K,GLOB
VST,VST
OHI,OHI
H,H
UGI,UGI
KGC,KGC
RNR,RNR
RHI,RHI
USFD.K,USFD
PSO,PSO
NYT,NYT
ALV,ALV
FSLY.K,FSLY
FVRR.K,FVRR
GFI,GFI
SMAR.K,SMAR
CPRI.K,CPRI
PII,PII
WSO,WSO
JNPR.K,JNPR
AI,AI
PLAN.K,PLAN
SCI,SCI
CSL,CSL
JEF,JEF
SC,SC
AER,AER
PTR,PTR
KIM,KIM
THO,THO
NVTA.K,NVTA
FRT,FRT
G,G
WFG,WFG
ARW,ARW
CCIV.K,CCIV
BC,BC
OSK,OSK
AIZ,AIZ
CLF,CLF
CAE,CAE
TPX,TPX
EHC,EHC
VOYA.K,VOYA
KRC,KRC
HII,HII
IAA,IAA
WES,WES
NNN,NNN
SITE.K,SITE
BERY.K,BERY
TIXT.K,TIXT
ICL,ICL
SPCE.K,SPCE
CUBE.K,CUBE
EBR,EBR
FOUR.K,FOUR
DCI,DCI
JBL,JBL
VAC,VAC
PVH,PVH
TRGP.K,TRGP
COG,COG
ITT,ITT
MBT,MBT
MNSO.K,MNSO
KNX,KNX
HST,HST
CCJ,CCJ
WMS,WMS
AN,AN
OMF,OMF
PFGC.K,PFGC
HRC,HRC
OSCR.K,OSCR
PB,PB
CFR,CFR
CHE,CHE
TX,TX
DXC,DXC
VRT,VRT
HEI,HEI
HBI,HBI
PLNT.K,PLNT
SNV,SNV
JWN,JWN
MTZ,MTZ
STWD.K,STWD
SEE,SEE
SF,SF
BYD,BYD
TFII.K,TFII
OVV,OVV
COTY.K,COTY
PSXP.K,PSXP
TOL,TOL
AZEK.K,AZEK
DKS,DKS
CHPT.K,CHPT
PAG,PAG
EVR,EVR
AXTA.K,AXTA
LDI,LDI
MP,MP
ADT,ADT
POST.K,POST
ORI,ORI
LSI,LSI
SQM,SQM
AIRC.K,AIRC
REXR.K,REXR
OGE,OGE
BLD,BLD
LMND.K,LMND
WH,WH
XEC,XEC
WF,WF
TMX,TMX
OCFT.K,OCFT
NVST.K,NVST
BB,BB
PSTG.K,PSTG
MSA,MSA
YETI.K,YETI
HFC,HFC
LEG,LEG
MDU,MDU
ARD,ARD
GIL,GIL
SKX,SKX
SON,SON
AMG,AMG
TKR,TKR
M,M
QTWO.K,QTWO
RBA,RBA
CACI.K,CACI
HTA,HTA
GMED.K,GMED
INGR.K,INGR
GRUB.K,GRUB
HUYA.K,HUYA
CHH,CHH
EME,EME
BRX,BRX
HUN,HUN
HAE,HAE
PRI,PRI
FAF,FAF
BWXT.K,BWXT
RBC,RBC
ACC,ACC
INSP.K,INSP
FL,FL
HESM.K,HESM
DQ,DQ
FR,FR
NOV,NOV
FSR,FSR
AMC,AMC
RXN,RXN
PHI,PHI
DEI,DEI
BBU,BBU
EGP,EGP
CLGX.K,CLGX
THC,THC
BJ,BJ
GGB,GGB
KT,KT
GTLS.K,GTLS
LPX,LPX
NYCB.K,NYCB
AL,AL
X,X
TIMB.K,TIMB
UNM,UNM
AYX,AYX
HOG,HOG
OLN,OLN
WFC_pl,WFC$L
PK,PK
MAN,MAN
NEP,NEP
CFX,CFX
ADS,ADS
ORCC.K,ORCC
ENIC.K,ENIC
EXP,EXP
TNET.K,TNET
SAIC.K,SAIC
PRGO.K,PRGO
HLF,HLF
AA,AA
PSTH.K,PSTH
STAG.K,STAG
ASR,ASR
SNX,SNX
JHG,JHG
CUZ,CUZ
WBS,WBS
TNL,TNL
HHC,HHC
CR,CR
ASH,ASH
SWI,SWI
STZb,STZ.B
KMPR.K,KMPR
MMS,MMS
SHLX.K,SHLX
ASAN.K,ASAN
SPR,SPR
NVRO.K,NVRO
RLI,RLI
VMI,VMI
ASGN.K,ASGN
UAA,UAA
FLS,FLS
EQT,EQT
VNT,VNT
DCP,DCP
AMWL.K,AMWL
IDA,IDA
AYI,AYI
CIT,CIT
SHAK.K,SHAK
TV,TV
SLG,SLG
ELC,ELC
HXL,HXL
ESNT.K,ESNT
XRX,XRX
COR,COR
FLO,FLO
AEO,AEO
PAC,PAC
LAZ,LAZ
SRC,SRC
ESI,ESI
CW,CW
EBS,EBS
MSM,MSM
NVT,NVT
TKC,TKC
SAIL.K,SAIL
NCR,NCR
CLH,CLH
GTES.K,GTES
SBS,SBS
BE,BE
MSGS.K,MSGS
GPK,GPK
TDC,TDC
VVV,VVV
GOOS.K,GOOS
STN,STN
WK,WK
SEM,SEM
ALSN.K,ALSN
SSD,SSD
STL,STL
SLQT.K,SLQT
BXMT.K,BXMT
NOMD.K,NOMD
BHVN.K,BHVN
HLI,HLI
THG,THG
PRSP.K,PRSP
RYN,RYN
DM,DM
RHP,RHP
NRZ,NRZ
ORA,ORA
IIPR.K,IIPR
KBR,KBR
AWI,AWI
BKU,BKU
HIW,HIW
UA,UA
NFG,NFG
AVNT.K,AVNT
MTG,MTG
PFSI.K,PFSI
WWE,WWE
WCC,WCC
HE,HE
RDN,RDN
SNDR.K,SNDR
FCN,FCN
JBT,JBT
AXS,AXS
BAC_pl,BAC$L
NAV,NAV
UNF,UNF
NEA,NEA
NEU,NEU
MDLA.K,MDLA
ADC,ADC
DAVA.K,DAVA
HASI.K,HASI
