BABA.K,BABA
TSM,TSM
V,V
JPM,JPM
JNJ,JNJ
WMT,WMT
UNH,UNH
BRKb,BRK.B
MA,MA
HD,HD
BAC,BAC
DIS,DIS
PG,PG
BRKa,BRK.A
XOM,XOM
VZ,VZ
KO,KO
ORCL.K,ORCL
T,T
PFE,PFE
NKE,NKE
TM,TM
CVX,CVX
ABT,ABT
ABBV.K,ABBV
CRM,CRM
MRK,MRK
NVS,NVS
ACN,ACN
WFC,WFC
UPS,UPS
LLY,LLY
DHR,DHR
TMO,TMO
MCD,MCD
MDT,MDT
SAP,SAP
MS,MS
HON,HON
UL,UL
LIN,LIN
C,C
UNP,UNP
PM,PM
LOW,LOW
NEE,NEE
BMY,BMY
RY,RY
SHOP.K,SHOP
BA,BA
SCHW.K,SCHW
BLK,BLK
CAT,CAT
NVO,NVO
HDB,HDB
IBM,IBM
RTX,RTX
HSBC.K,HSBC
TD,TD
AXP,AXP
GS,GS
TOT,TOT
SE,SE
DE,DE
BUD,BUD
SONY.K,SONY
MMM,MMM
BHP,BHP
GE,GE
RIO,RIO
VALE.K,VALE
CVS,CVS
AMT,AMT
EL,EL
LMT,LMT
BX,BX
DEO,DEO
TGT,TGT
SQ,SQ
ANTM.K,ANTM
GSK,GSK
SYK,SYK
NOW,NOW
SPGI.K,SPGI
FIS,FIS
MO,MO
USB,USB
BTI,BTI
BP,BP
CI,CI
UN,UN
TJX,TJX
UBER.K,UBER
PLD,PLD
GM,GM
PNC,PNC
RDSa,RDS.A
FDX,FDX
SNAP.K,SNAP
TFC,TFC
ZTS,ZTS
ENB,ENB
CNI,CNI
CB,CB
BNS,BNS
CCI,CCI
INFY.K,INFY
DUK,DUK
DELL.K,DELL
COP,COP
SHW,SHW
ITW,ITW
WBK,WBK
NSC,NSC
MUFG.K,MUFG
RDSb,RDS.B
COF,COF
HCA,HCA
EQNR.K,EQNR
MMC,MMC
BAM,BAM
SO,SO
BBL,BBL
BDX,BDX
CL,CL
ABB,ABB
VMW,VMW
SAN,SAN
CPNG.K,CPNG
ECL,ECL
ICE,ICE
FCX,FCX
APD,APD
D,D
BMO,BMO
MCO,MCO
PGR,PGR
BSX,BSX
UBS,UBS
NIO,NIO
BEKE.K,BEKE
HUM,HUM
WM,WM
NOC,NOC
SNOW.K,SNOW
GPN,GPN
SCCO.K,SCCO
ETN,ETN
PUK,PUK
MET,MET
AON,AON
IBN,IBN
EW,EW
STLA.K,STLA
EMR,EMR
GD,GD
NEM,NEM
HMC,HMC
TWLO.K,TWLO
CP,CP
TAK,TAK
DG,DG
PHG,PHG
ING,ING
RELX.K,RELX
DOW,DOW
EPD,EPD
SMFG.K,SMFG
KKR,KKR
TRP,TRP
ABEV.K,ABEV
PSA,PSA
EOG,EOG
TRI,TRI
CM,CM
JCI,JCI
ROP,ROP
F,F
NGG,NGG
LYG,LYG
KMB,KMB
INFO.K,INFO
E,E
TEL,TEL
SPOT.K,SPOT
BK,BK
LHX,LHX
IQV,IQV
SLB,SLB
HPQ,HPQ
SYY,SYY
DD,DD
LVS,LVS
BCE,BCE
AIG,AIG
TT,TT
BCS,BCS
BAX,BAX
TWTR.K,TWTR
CVNA.K,CVNA
DLR,DLR
GOLD.K,GOLD
PPG,PPG
PRU,PRU
SRE,SRE
MFC,MFC
WIT,WIT
PH,PH
CNC,CNC
SPG,SPG
STZ,STZ
A,A
CNQ,CNQ
APH,APH
DASH.K,DASH
TRV,TRV
KMI,KMI
APTV.K,APTV
CMG,CMG
CRH,CRH
MSCI.K,MSCI
ALL,ALL
VEEV.K,VEEV
BBVA.K,BBVA
GLW,GLW
MPC,MPC
CARR.K,CARR
CMI,CMI
RACE.K,RACE
BSMX.K,BSMX
GIS,GIS
MFG,MFG
LYB,LYB
AFL,AFL
PINS.K,PINS
PSX,PSX
ADM,ADM
DHI,DHI
RBLX.K,RBLX
PLTR.K,PLTR
LUV,LUV
IFF,IFF
DFS,DFS
PXD,PXD
YUM,YUM
CTVA.K,CTVA
ZBH,ZBH
RKT,RKT
PATH.K,PATH
MT,MT
SU,SU
SWK,SWK
RSG,RSG
VFC,VFC
ALC,ALC
NTR,NTR
HSY,HSY
HLT,HLT
ORAN.K,ORAN
MSI,MSI
PBR,PBR
STM,STM
OTIS.K,OTIS
AMX,AMX
PANW.K,PANW
TDG,TDG
AZO,AZO
VLO,VLO
FRC,FRC
NWG,NWG
WCN,WCN
QSR,QSR
PEG,PEG
SLF,SLF
W,W
CHT,CHT
AME,AME
MCK,MCK
ROK,ROK
AMP,AMP
WELL.K,WELL
WEC,WEC
CSAN.K,CSAN
WMB,WMB
BBY,BBY
STT,STT
WY,WY
LEN,LEN
BLL,BLL
MTD,MTD
FERG.K,FERG
AJG,AJG
NUE,NUE
DAL,DAL
CHWY.K,CHWY
MGA,MGA
DB,DB
CBRE.K,CBRE
EFX,EFX
MPLX.K,MPLX
ES,ES
TSN,TSN
NOK,NOK
RMD,RMD
KR,KR
FNV,FNV
KSU,KSU
EQR,EQR
TU,TU
AWK,AWK
LU,LU
DTE,DTE
PKX,PKX
AVB,AVB
TME,TME
LH,LH
ED,ED
SYF,SYF
KEYS.K,KEYS
TEF,TEF
ZTO,ZTO
ARE,ARE
ET,ET
YUMC.K,YUMC
CCL,CCL
PBRa,PBR.A
EPAM.K,EPAM
CCEP.K,CCEP
APO,APO
BKR,BKR
EDU,EDU
OXY,OXY
HRL,HRL
HES,HES
O,O
VMC,VMC
ITUB.K,ITUB
EC,EC
URI,URI
ANET.K,ANET
CAJ,CAJ
U,U
ABC,ABC
FTV,FTV
WST,WST
CS,CS
GWW,GWW
BBD,BBD
IP,IP
WORK.K,WORK
UMC,UMC
HUBS.K,HUBS
FLT,FLT
HIG,HIG
OKE,OKE
BFb,BF.B
MLM,MLM
RNG,RNG
TDOC.K,TDOC
FMS,FMS
CNHI.K,CNHI
K,K
CLX,CLX
TLK,TLK
PPL,PPL
KEY,KEY
BIP,BIP
NET,NET
MKC,MKC
EIX,EIX
BURL.K,BURL
DOV,DOV
RF,RF
ETR,ETR
PCG,PCG
AEE,AEE
XYL,XYL
RCL,RCL
HPE,HPE
CHD,CHD
XPEV.K,XPEV
FTS,FTS
KMX,KMX
IR,IR
BBDO.K,BBDO
CFG,CFG
MTB,MTB
GNRC.K,GNRC
KB,KB
VTR,VTR
HAL,HAL
FE,FE
TRU,TRU
IX,IX
GIB,GIB
IT,IT
ALLY.K,ALLY
SKM,SKM
RCI,RCI
COO,COO
INVH.K,INVH
PAYC.K,PAYC
EXR,EXR
WPM,WPM
MGM,MGM
VIPS.K,VIPS
WAT,WAT
SNN,SNN
SHG,SHG
GPC,GPC
TFX,TFX
AMCR.K,AMCR
BR,BR
CE,CE
ALB,ALB
NVR,NVR
ESS,ESS
RJF,RJF
LB,LB
DRI,DRI
CMS,CMS
SUI,SUI
AVY,AVY
CTLT.K,CTLT
OMC,OMC
ROL,ROL
CAG,CAG
J,J
AVTR.K,AVTR
DGX,DGX
PEAK.K,PEAK
STE,STE
MAA,MAA
DVN,DVN
ASX,ASX
SUZ,SUZ
UI,UI
LYV,LYV
RLX,RLX
FMX,FMX
PBA,PBA
DRE,DRE
CRL,CRL
BEN,BEN
AES,AES
MGP,MGP
IEX,IEX
ATUS.K,ATUS
EMN,EMN
CLVT.K,CLVT
MAS,MAS
BXP,BXP
CAH,CAH
VICI.K,VICI
WPP,WPP
AEM,AEM
DPZ,DPZ
MKL,MKL
XPO,XPO
NMR,NMR
TYL,TYL
ENIA.K,ENIA
PHM,PHM
TDY,TDY
ZEN,ZEN
MHK,MHK
CVE,CVE
WRK,WRK
FTCH.K,FTCH
WHR,WHR
PKI,PKI
AGR,AGR
MOH,MOH
ELAN.K,ELAN
FMC,FMC
WAB,WAB
LUMN.K,LUMN
FBHS.K,FBHS
LFC,LFC
L,L
TXT,TXT
CCK,CCK
JHX,JHX
BRO,BRO
CPB,CPB
BIO,BIO
EQH,EQH
SJM,SJM
ARES.K,ARES
RH,RH
LDOS.K,LDOS
EVRG.K,EVRG
VEDL.K,VEDL
HWM,HWM
PKG,PKG
WRB,WRB
BEPC.K,BEPC
FICO.K,FICO
PAGS.K,PAGS
CNP,CNP
VIV,VIV
SJR,SJR
WSM,WSM
TS,TS
MOS,MOS
KEP,KEP
OSH,OSH
PWR,PWR
EDR,EDR
UDR,UDR
SAM,SAM
TPR,TPR
SNP,SNP
TTM,TTM
GDDY.K,GDDY
RE,RE
SNA,SNA
TPL,TPL
SMG,SMG
SID,SID
DVA,DVA
ATO,ATO
TECK.K,TECK
AAP,AAP
WPC,WPC
FNF,FNF
GGG,GGG
GPS,GPS
WLK,WLK
UHS,UHS
DT,DT
LNC,LNC
IPG,IPG
IHG,IHG
LII,LII
CNA,CNA
NTCO.K,NTCO
AGL,AGL
CX,CX
CDAY.K,CDAY
IVZ,IVZ
SBSW.K,SBSW
BG,BG
BWA,BWA
NLY,NLY
BILL.K,BILL
FDS,FDS
ELS,ELS
ALLE.K,ALLE
RPM,RPM
TREX.K,TREX
QS,QS
MTN,MTN
MPW,MPW
TTC,TTC
NI_pb,NI$B
BFa,BF.A
ATH,ATH
CHGG.K,CHGG
LEVI.K,LEVI
CPT,CPT
