TSM,TSM
LLY,LLY
JPM,JPM
V,V
BRKb,BRK.B
WMT,WMT
XOM,XOM
MA,MA
NVO,NVO
UNH,UNH
PG,PG
JNJ,JNJ
HD,HD
BRKa,BRK.A
ORCL.K,ORCL
TM,TM
MRK,MRK
ABBV.K,ABBV
CVX,CVX
BAC,BAC
CRM,CRM
KO,KO
SHEL.K,SHEL
SAP,SAP
ACN,ACN
TMO,TMO
DIS,DIS
WFC,WFC
NVS,NVS
MCD,MCD
ABT,ABT
CAT,CAT
DHR,DHR
BABA.K,BABA
IBM,IBM
TTE,TTE
VZ,VZ
GE,GE
AXP,AXP
NOW,NOW
BX,BX
UBER.K,UBER
HSBC.K,HSBC
COP,COP
MS,MS
BHP,BHP
PFE,PFE
HDB,HDB
UNP,UNP
RY,RY
PM,PM
SPGI.K,SPGI
LOW,LOW
NKE,NKE
RTX,RTX
GS,GS
NEE,NEE
SYK,SYK
ETN,ETN
SCHW.K,SCHW
UPS,UPS
PGR,PGR
T,T
UL,UL
MUFG.K,MUFG
BLK,BLK
ELV,ELV
C,C
PLD,PLD
DE,DE
BA,BA
MDT,MDT
BP,BP
TJX,TJX
LMT,LMT
UBS,UBS
CI,CI
TD,TD
BMY,BMY
SONY.K,SONY
CB,CB
BUD,BUD
BSX,BSX
MMC,MMC
SHOP.K,SHOP
CVS,CVS
ANET.K,ANET
FI,FI
IBN,IBN
DELL.K,DELL
KKR,KKR
AMT,AMT
SCCO.K,SCCO
HCA,HCA
CNQ,CNQ
STLA.K,STLA
GSK,GSK
SHW,SHW
CNI,CNI
WM,WM
RIO,RIO
EQNR.K,EQNR
CP,CP
RACE.K,RACE
GD,GD
CMG,CMG
DEO,DEO
SAN,SAN
RELX.K,RELX
ICE,ICE
TGT,TGT
ITW,ITW
MPC,MPC
EOG,EOG
SLB,SLB
SMFG.K,SMFG
SO,SO
ZTS,ZTS
ENB,ENB
DUK,DUK
INFY.K,INFY
PH,PH
MCO,MCO
CL,CL
MO,MO
FCX,FCX
PSX,PSX
BMO,BMO
APH,APH
MCK,MCK
BDX,BDX
TRI,TRI
TT,TT
TDG,TDG
USB,USB
FDX,FDX
NOC,NOC
BBVA.K,BBVA
BN,BN
BTI,BTI
APO,APO
EMR,EMR
ECL,ECL
PNC,PNC
EPD,EPD
AON,AON
PXD,PXD
BNS,BNS
SPOT.K,SPOT
OXY,OXY
VLO,VLO
HMC,HMC
RSG,RSG
AMX,AMX
CRH,CRH
MSI,MSI
PBR,PBR
ING,ING
NU,NU
NSC,NSC
EW,EW
COF,COF
E,E
VALE.K,VALE
F,F
MET,MET
AJG,AJG
ET,ET
AZO,AZO
HLT,HLT
APD,APD
TRV,TRV
AIG,AIG
WELL.K,WELL
EL,EL
CARR.K,CARR
DHI,DHI
TFC,TFC
SNOW.K,SNOW
GM,GM
MMM,MMM
PLTR.K,PLTR
PSA,PSA
MFG,MFG
SU,SU
GWW,GWW
NGG,NGG
AFL,AFL
SPG,SPG
STZ,STZ
SQ,SQ
NUE,NUE
HES,HES
COR,COR
WMB,WMB
URI,URI
CM,CM
OKE,OKE
O,O
ALL,ALL
NEM,NEM
FERG.K,FERG
SRE,SRE
DLR,DLR
TEL,TEL
MFC,MFC
JCI,JCI
IQV,IQV
AMP,AMP
CCI,CCI
MSCI.K,MSCI
WCN,WCN
LYG,LYG
BK,BK
TAK,TAK
KMB,KMB
MPLX.K,MPLX
A,A
FIS,FIS
PBRa,PBR.A
ALC,ALC
DOW,DOW
ARES.K,ARES
AME,AME
PRU,PRU
CMI,CMI
D,D
KMI,KMI
LEN,LEN
CTVA.K,CTVA
CVE,CVE
KR,KR
HSY,HSY
LHX,LHX
OTIS.K,OTIS
TRP,TRP
GIS,GIS
LVS,LVS
CNC,CNC
MLM,MLM
KVUE.K,KVUE
WDS,WDS
PWR,PWR
HUM,HUM
SYY,SYY
STM,STM
YUM,YUM
ABEV.K,ABEV
IR,IR
HLN,HLN
BCS,BCS
IT,IT
LNG,LNG
HAL,HAL
PCG,PCG
VMC,VMC
GEV,GEV
RCL,RCL
VEEV.K,VEEV
DG,DG
FLUT.K,FLUT
HUBS.K,HUBS
DVN,DVN
LYB,LYB
PEG,PEG
CPNG.K,CPNG
PPG,PPG
GPN,GPN
ROK,ROK
DB,DB
ADM,ADM
NET,NET
EFX,EFX
VRT,VRT
ITUB.K,ITUB
DD,DD
SE,SE
EXR,EXR
DFS,DFS
ED,ED
NWG,NWG
SLF,SLF
GOLD.K,GOLD
VICI.K,VICI
XYL,XYL
FICO.K,FICO
ORAN.K,ORAN
HIG,HIG
AEM,AEM
CHT,CHT
DAL,DAL
BCE,BCE
FTV,FTV
CBRE.K,CBRE
WIT,WIT
HPQ,HPQ
WST,WST
GRMN.K,GRMN
OWL,OWL
MTD,MTD
FMX,FMX
KEYS.K,KEYS
RMD,RMD
NTR,NTR
GLW,GLW
RKT,RKT
HWM,HWM
EIX,EIX
RJF,RJF
CAH,CAH
AVB,AVB
WAB,WAB
ZBH,ZBH
VST,VST
TRGP.K,TRGP
WEC,WEC
PUK,PUK
NVR,NVR
WY,WY
IX,IX
CHD,CHD
EC,EC
TEF,TEF
BLDR.K,BLDR
BRO,BRO
PHM,PHM
EQR,EQR
DOV,DOV
RBLX.K,RBLX
BR,BR
ASX,ASX
TECK.K,TECK
TU,TU
LYV,LYV
HPE,HPE
MTB,MTB
AWK,AWK
QSR,QSR
CQP,CQP
STT,STT
TS,TS
FNV,FNV
PINS.K,PINS
IRM,IRM
MT,MT
DECK.K,DECK
PKX,PKX
WPM,WPM
DTE,DTE
ETR,ETR
MOH,MOH
HUBB.K,HUBB
WRB,WRB
ARE,ARE
FE,FE
CPAY.K,CPAY
GIB,GIB
ROL,ROL
IFF,IFF
INVH.K,INVH
VLTO.K,VLTO
BAX,BAX
CCJ,CCJ
TLK,TLK
TSN,TSN
CTRA.K,CTRA
STE,STE
GPC,GPC
BALL.K,BALL
ES,ES
PBA,PBA
APTV.K,APTV
UMC,UMC
WLK,WLK
PPL,PPL
WAT,WAT
TME,TME
WSM,WSM
MKL,MKL
K,K
TDY,TDY
AEE,AEE
KB,KB
RS,RS
FTS,FTS
HRL,HRL
NOK,NOK
CSL,CSL
BAH,BAH
MKC,MKC
RF,RF
DRI,DRI
TXT,TXT
IOT,IOT
PHG,PHG
NMR,NMR
OMC,OMC
CE,CE
J,J
SNAP.K,SNAP
GDDY.K,GDDY
IEX,IEX
CLX,CLX
CNP,CNP
TYL,TYL
BEKE.K,BEKE
LH,LH
CMS,CMS
CRBG.K,CRBG
AER,AER
CCL,CCL
VTR,VTR
AVY,AVY
WSO,WSO
ATO,ATO
DPZ,DPZ
PSTG.K,PSTG
LDOS.K,LDOS
AVTR.K,AVTR
SYF,SYF
JHX,JHX
LII,LII
BBY,BBY
LUV,LUV
PKG,PKG
DKS,DKS
SHG,SHG
BAM,BAM
EXPD.K,EXPD
MRO,MRO
MAS,MAS
EME,EME
L,L
IHG,IHG
FDS,FDS
JBL,JBL
CVNA.K,CVNA
RCI,RCI
VIV,VIV
EG,EG
TKO,TKO
ZTO,ZTO
EQT,EQT
EBR,EBR
H,H
CFG,CFG
SUZ,SUZ
TEVA.K,TEVA
CNHI.K,CNHI
NRG,NRG
SUI,SUI
ESS,ESS
EPAM.K,EPAM
GGG,GGG
GFI,GFI
BBD,BBD
SNA,SNA
MAA,MAA
ALB,ALB
YUMC.K,YUMC
BFb,BF.B
TRU,TRU
MGA,MGA
BG,BG
CF,CF
XPO,XPO
CAG,CAG
OC,OC
OVV,OVV
RTO,RTO
MGM,MGM
SWK,SWK
RPM,RPM
FNF,FNF
DGX,DGX
BEN,BEN
KEY,KEY
EDU,EDU
DT,DT
BLD,BLD
AGR,AGR
BAP,BAP
BBDO.K,BBDO
TAP,TAP
PNR,PNR
PR,PR
WES,WES
RBA,RBA
TFII.K,TFII
BIP,BIP
DOC,DOC
CX,CX
AMH,AMH
TPL,TPL
ACM,ACM
IP,IP
WMS,WMS
AMCR.K,AMCR
GFL,GFL
RVTY.K,RVTY
CRL,CRL
KMX,KMX
CPB,CPB
FND,FND
AES,AES
TOL,TOL
NVT,NVT
RGA,RGA
AOS,AOS
HEIa,HEI.A
BURL.K,BURL
TOST.K,TOST
WRK,WRK
USFD.K,USFD
KIM,KIM
EQH,EQH
EDR,EDR
PATH.K,PATH
SJM,SJM
DINO.K,DINO
NI,NI
RDY,RDY
WPC,WPC
UDR,UDR
ACI,ACI
JNPR.K,JNPR
CNA,CNA
IPG,IPG
ELS,ELS
EMN,EMN
CNM,CNM
RNR,RNR
PAYC.K,PAYC
DVA,DVA
ALLY.K,ALLY
ALLE.K,ALLE
BCH,BCH
SOLV.K,SOLV
UHALb.K,UHAL.B
FTI,FTI
RRX,RRX
FIX,FIX
SBS,SBS
UHS,UHS
HII,HII
INFA.K,INFA
LW,LW
AFG,AFG
TWLO.K,TWLO
CPT,CPT
PCOR.K,PCOR
FMS,FMS
PFGC.K,PFGC
AEG,AEG
ITT,ITT
CLH,CLH
RL,RL
KNSL.K,KNSL
CLF,CLF
SNN,SNN
SCI,SCI
REXR.K,REXR
TREX.K,TREX
KEP,KEP
BBWI.K,BBWI
MOS,MOS
ONON.K,ONON
APG,APG
CUBE.K,CUBE
HEI,HEI
PAG,PAG
CTLT.K,CTLT
TFX,TFX
UNM,UNM
FBIN.K,FBIN
SNX,SNX
THC,THC
BJ,BJ
GL,GL
U,U
UWMC.K,UWMC
WPP,WPP
WEX,WEX
COTY.K,COTY
BXP,BXP
WTRG.K,WTRG
ASR,ASR
CW,CW
ESTC.K,ESTC
TPR,TPR
AU,AU
ALV,ALV
DAY,DAY
NLY,NLY
GWRE.K,GWRE
BSAC.K,BSAC
CHE,CHE
JEF,JEF
AIZ,AIZ
JLL,JLL
ONTO.K,ONTO
TPX,TPX
STN,STN
BIO,BIO
CCK,CCK
ATR,ATR
ELF,ELF
QGEN.K,QGEN
EXP,EXP
HLI,HLI
VIPS.K,VIPS
X,X
BWXT.K,BWXT
AR,AR
NIO,NIO
TTC,TTC
AGCO.K,AGCO
SN,SN
DCI,DCI
SKX,SKX
TIMB.K,TIMB
PSN,PSN
GPK,GPK
BFa,BF.A
WCC,WCC
MTN,MTN
STVN.K,STVN
MUSA.K,MUSA
GPS,GPS
PSO,PSO
COHR.K,COHR
RRC,RRC
PRI,PRI
KBR,KBR
MTDR.K,MTDR
TX,TX
HESM.K,HESM
KNX,KNX
YPF,YPF
ARMK.K,ARMK
PEN,PEN
AGI,AGI
GLOB.K,GLOB
ORI,ORI
EGP,EGP
CACI.K,CACI
PNW,PNW
FHN,FHN
FRT,FRT
WBS,WBS
BIRK.K,BIRK
OSK,OSK
SWN,SWN
NCLH.K,NCLH
AYI,AYI
EHC,EHC
LEVI.K,LEVI
SSD,SSD
YMM,YMM
GNRC.K,GNRC
SKM,SKM
BWA,BWA
NOV,NOV
LEA,LEA
SF,SF
RHI,RHI
DLB,DLB
WF,WF
MHK,MHK
W,W
SITE.K,SITE
RBC,RBC
CR,CR
KGC,KGC
OHI,OHI
LAD,LAD
NNN,NNN
CIVI.K,CIVI
ELAN.K,ELAN
MSA,MSA
AIT,AIT
IVZ,IVZ
EVR,EVR
BRBR.K,BRBR
PAC,PAC
FMC,FMC
SUM,SUM
RDDT.K,RDDT
MTZ,MTZ
INGR.K,INGR
HST,HST
CAVA.K,CAVA
DAR,DAR
FCN,FCN
MUR,MUR
AZEK.K,AZEK
CHWY.K,CHWY
NE,NE
AS,AS
IBP,IBP
AXTA.K,AXTA
ALSN.K,ALSN
VOYA.K,VOYA
CFR,CFR
GMED.K,GMED
PBF,PBF
FLR,FLR
CMA,CMA
DDS,DDS
SQM,SQM
NYT,NYT
S,S
TAL,TAL
OLN,OLN
KT,KT
XPEV.K,XPEV
FR,FR
RHP,RHP
STAG.K,STAG
INSP.K,INSP
ARW,ARW
WTS,WTS
ESAB.K,ESAB
CIEN.K,CIEN
BERY.K,BERY
FN,FN
OGE,OGE
AM,AM
COLD.K,COLD
UI,UI
WAL,WAL
BILL.K,BILL
MNSO.K,MNSO
BRX,BRX
CMC,CMC
VNT,VNT
GTLS.K,GTLS
ATKR.K,ATKR
WFG,WFG
HRB,HRB
AN,AN
ICL,ICL
PAAS.K,PAAS
BEP,BEP
RLI,RLI
TNET.K,TNET
AA,AA
BFAM.K,BFAM
ATI,ATI
CAE,CAE
BC,BC
BYD,BYD
WHR,WHR
FLS,FLS
PVH,PVH
SSB,SSB
KVYO.K,KVYO
FAF,FAF
TMHC.K,TMHC
ENLC.K,ENLC
GXO,GXO
RYAN.K,RYAN
TRNO.K,TRNO
TKR,TKR
UGP,UGP
STWD.K,STWD
POST.K,POST
CHH,CHH
GIL,GIL
MLI,MLI
ESI,ESI
ANF,ANF
OBDC.K,OBDC
ESNT.K,ESNT
DTM,DTM
BCC,BCC
KNTK.K,KNTK
PB,PB
THO,THO
SM,SM
WH,WH
ADT,ADT
OMF,OMF
HXL,HXL
MTH,MTH
BXSL.K,BXSL
FOUR.K,FOUR
NEU,NEU
CLS,CLS
CSAN.K,CSAN
KEX,KEX
HOG,HOG
BLCO.K,BLCO
ADC,ADC
G,G
SNV,SNV
LPX,LPX
SON,SON
PDI,PDI
BRFS.K,BRFS
DV,DV
AL,AL
SPXC.K,SPXC
MTG,MTG
VVV,VVV
AIRC.K,AIRC
PLNT.K,PLNT
SSL,SSL
ZWS,ZWS
AXS,AXS
HMY,HMY
AMG,AMG
PII,PII
VNO,VNO
CPG,CPG
ETRN.K,ETRN
MGY,MGY
SWX,SWX
RIG,RIG
ST,ST
FSK,FSK
HR,HR
M,M
ALK,ALK
ALIT.K,ALIT
SMAR.K,SMAR
MSM,MSM
AWI,AWI
RITM.K,RITM
R,R
JHG,JHG
SFB,SFB
GGB,GGB
VAL,VAL
VFC,VFC
PHI,PHI
FRO,FRO
CBT,CBT
FSS,FSS
UGI,UGI
LNC,LNC
TDW,TDW
FG,FG
SLGN.K,SLGN
JXN,JXN
MDU,MDU
CADE.K,CADE
CPRI.K,CPRI
SQSP.K,SQSP
MOD,MOD
RH,RH
TKC,TKC
KBH,KBH
KOF,KOF
KD,KD
LENb,LEN.B
GKOS.K,GKOS
MMS,MMS
CLVT.K,CLVT
NFG,NFG
FNB,FNB
SUN,SUN
FLO,FLO
ATH_pa,ATH$A
HOMB.K,HOMB
RDN,RDN
SEE,SEE
HGV,HGV
AEO,AEO
DOCS.K,DOCS
ASH,ASH
THG,THG
ALTM.K,ALTM
RYN,RYN
ERJ,ERJ
WFC_pl,WFC$L
GATX.K,GATX
IDA,IDA
MDC,MDC
HRI,HRI
SKY,SKY
AAP,AAP
LAZ,LAZ
OGN,OGN
SIG,SIG
BMI,BMI
AGO,AGO
GTES.K,GTES
ASGN.K,ASGN
MOGa,MOG.A
WU,WU
KNF,KNF
VMI,VMI
KRG,KRG
PFSI.K,PFSI
ABG,ABG
WTM,WTM
BROS.K,BROS
ELC,ELC
PAGS.K,PAGS
AEL,AEL
HUN,HUN
MSGS.K,MSGS
GBCI.K,GBCI
EPRT.K,EPRT
BIPC.K,BIPC
WK,WK
BEPC.K,BEPC
TEX,TEX
